episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_selector
1,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,-0.15538720070320078,0.0016336282231303556,0.71557,0.26910092499774296,0.09709319742116307,0.19145669560094608,0.5071287641124591,-0.18212910119382686,sharpe_ratio
2,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,0.5998946526231308,0.00020204228614405627,0.4311400000000001,0.32967570403259217,0.11809254035368366,0.21263561108961787,0.5553751779795347,-0.2183030571146164,sharpe_ratio
3,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,1.5073816605504624,0.00015656493219670466,0.14671,0.05583687344259847,0.03611743379761312,0.1922719081414137,0.18784560961994082,-0.2357478507375771,sharpe_ratio
4,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,2.8375244295631488,0.00014195098609547053,0.050000000000000044,-0.11663611546979324,-0.022862539119775094,0.17626295933111344,-0.12970699690130225,-0.2985944734188831,sharpe_ratio
5,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,3.6846413412899923,0.00013616832738254486,0.050000000000000044,0.0005132674346266519,0.018922607627741117,0.19252213016826766,0.09828796103181713,-0.32065989985756993,sharpe_ratio
6,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.097372870758265,0.00012708327379107223,0.050000000000000044,-0.08264260707165028,-0.009850835488463328,0.1843803278438222,-0.05342671641633805,-0.3518591474088214,sharpe_ratio
7,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.476241315040499,0.00012675145641484475,0.050000000000000044,-0.076249262697628,-0.007189301451871355,0.18706000472046022,-0.038433129853786455,-0.2785318307150332,sharpe_ratio
8,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.3060356194434775,0.00014196178231399374,0.050000000000000044,-0.007464018843077569,0.012472011680353834,0.17147764336681068,0.07273258155102322,-0.31438917487836116,sharpe_ratio
9,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.1592624151310975,0.00015121847612469295,0.050000000000000044,-0.14788321174409924,-0.037372575617527715,0.15383594200018763,-0.24293786700043174,-0.32082007301435234,sharpe_ratio
10,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.741321944943505,0.00014208882657779396,0.050000000000000044,0.07125670753468905,0.03650912403662776,0.16934780327215482,0.2155866408137271,-0.33876791917740057,sharpe_ratio
11,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.518018582157778,0.0001407511059544399,0.050000000000000044,0.12461066363900142,0.05724270128478204,0.19486784102306393,0.2937514008686891,-0.32853796253063083,sharpe_ratio
12,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.1854413623810816,0.00013643426180098787,0.050000000000000044,0.004742236252672338,0.016572922226904874,0.1727941183629132,0.09591137929878706,-0.38172554699698735,sharpe_ratio
13,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.603412779405459,0.00014002094525028018,0.050000000000000044,-0.25213809825826894,-0.07165769032115388,0.1807008128034486,-0.3965543331512138,-0.43396296346776386,sharpe_ratio
14,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.956772927328572,0.00013889490704848626,0.050000000000000044,-0.07362117401409529,-0.005161081085311436,0.19314120973375928,-0.026721801589758436,-0.2981683839224465,sharpe_ratio
15,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.674594607669462,0.0001357085222350222,0.050000000000000044,0.01653227633949772,0.025727677402319626,0.20129180663153942,0.12781283964236864,-0.300781048153018,sharpe_ratio
16,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.797328632091981,0.00014024221180914388,0.050000000000000044,0.4352466574527649,0.14283495208089003,0.2034946149224424,0.7019102305745463,-0.27511586561467494,sharpe_ratio
17,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,5.4112195292440095,0.00013771033611280952,0.050000000000000044,0.010934504592599259,0.020598742644462043,0.18421092388436452,0.11182150444776323,-0.3562182691153949,sharpe_ratio
18,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.984835744367481,0.00014260963876110345,0.050000000000000044,-0.22242353333873022,-0.05967870811135845,0.18423348695173974,-0.32392975402452967,-0.35716245272638936,sharpe_ratio
19,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,5.146600466030037,0.0001501459006533537,0.050000000000000044,0.010839395785575467,0.025439934939058828,0.20852379243925562,0.12200015471361453,-0.3550540907273765,sharpe_ratio
20,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,5.153437451328029,0.00015774068189648794,0.050000000000000044,0.16150577639747143,0.06732576346274244,0.19176134635622621,0.3510914203620289,-0.2759874683775685,sharpe_ratio
