step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,58.619998931884766,1,9990.0,-0.0010000000000000009
1,2015-01-26,0,59.779998779296875,1,10187.686773913327,0.019788465857189852
2,2015-01-27,0,57.790000915527344,1,9848.552024317753,-0.0332886902710795
3,2015-01-28,0,56.349998474121094,1,9603.147304908523,-0.02491784770017791
4,2015-01-29,1,58.099998474121094,1,9901.38170133549,0.03105590146206838
5,2015-01-30,0,56.45000076293945,1,9620.189660478272,-0.028399272883226967
6,2015-02-02,0,57.279998779296875,1,9761.63763616052,0.01470324189795802
7,2015-02-03,1,58.61000061035156,1,9988.296089492722,0.02321930620458401
8,2015-02-04,1,58.9900016784668,1,10053.055740458978,0.0064835533894895825
9,2015-02-05,1,59.2599983215332,1,10099.068475248816,0.0045769899200556186
10,2015-02-06,0,59.16999816894531,1,10083.73068028574,-0.0015187336337669777
11,2015-02-09,0,57.97999954223633,1,9880.931524751184,-0.020111520424780815
12,2015-02-10,1,58.790000915527344,1,10018.971679418875,0.013970358394034932
13,2015-02-11,1,58.79999923706055,1,10020.675589926153,0.00017006840240685328
14,2015-02-12,1,61.2599983215332,1,10439.907785451061,0.041836719666522804
15,2015-02-13,2,62.849998474121094,0,10700.164188002758,0.024928994383876413
16,2015-02-17,1,62.06999969482422,1,10689.464023814755,-0.0010000000000000009
17,2015-02-18,1,63.0,1,10849.625210429715,0.014983088605578399
18,2015-02-19,0,62.810001373291016,1,10816.904355028304,-0.0030158512176029495
19,2015-02-20,0,63.7400016784668,1,10977.065541643266,0.014806564000032996
20,2015-02-23,0,62.58000183105469,1,10777.294691030931,-0.01819893029284303
21,2015-02-24,1,61.93000030517578,1,10665.353850681826,-0.010386729096520386
22,2015-02-25,1,62.869998931884766,1,10827.236910969305,0.015178405006893492
23,2015-02-26,2,70.23999786376953,0,12084.374189709204,0.11610878094541999
24,2015-02-27,0,69.37999725341797,0,12084.374189709204,0.0
25,2015-03-02,0,68.45999908447266,0,12084.374189709204,0.0
26,2015-03-03,1,66.94999694824219,1,12072.289815519494,-0.0010000000000000009
27,2015-03-04,0,64.87999725341797,1,11699.031602329822,-0.03091859281822673
28,2015-03-05,2,65.58999633789062,0,11815.230162842554,0.00993232298727964
29,2015-03-06,1,64.55999755859375,1,11803.41493267971,-0.001000000000000112
30,2015-03-09,0,65.4800033569336,1,11971.618318505753,0.014250400141432307
31,2015-03-10,1,63.7599983215332,1,11657.15218023331,-0.026267638167710383
32,2015-03-11,1,63.68000030517578,1,11642.52625370658,-0.0012546740662382483
33,2015-03-12,0,64.94999694824219,1,11874.717980907593,0.019943414525442238
34,2015-03-13,0,64.5999984741211,1,11810.728244660986,-0.0053887373451303455
35,2015-03-16,2,66.43000030517578,0,12133.159639783478,0.02729987418584856
36,2015-03-17,1,67.55000305175781,1,12121.026480143695,-0.0010000000000000009
37,2015-03-18,1,68.55000305175781,1,12300.464317783117,0.014803848331935487
38,2015-03-19,1,68.87999725341797,1,12359.677763762562,0.004813919576502457
39,2015-03-20,0,67.69000244140625,1,12146.14766789305,-0.017276348133894115
40,2015-03-23,1,67.66000366210938,1,12140.764751804196,-0.0004431788774545975
41,2015-03-24,1,67.37000274658203,1,12088.727614608517,-0.004286149864484057
42,2015-03-25,1,65.77999877929688,1,11803.420740880769,-0.023601067277169152
43,2015-03-26,1,65.98999786376953,1,11841.1025225048,0.0031924458554224433
44,2015-03-27,0,66.55000305175781,1,11941.588642504275,0.008486213155278088
45,2015-03-30,1,66.8499984741211,1,11995.419172394866,0.004507819813771574
46,2015-03-31,1,66.80999755859375,1,11988.241494609043,-0.0005983682339623098
47,2015-04-01,1,66.08000183105469,1,11857.252639773418,-0.01092644445764035
48,2015-04-02,2,66.68000030517578,0,11952.950153488102,0.00807079992490678
49,2015-04-06,2,67.94000244140625,0,11952.950153488102,0.0
50,2015-04-07,1,68.19999694824219,1,11940.997203334613,-0.001000000000000112
51,2015-04-08,2,68.20999908447266,0,11930.80570833969,-0.0008534877633231686
52,2015-04-09,2,67.73999786376953,0,11930.80570833969,0.0
53,2015-04-10,2,67.63999938964844,0,11930.80570833969,0.0
54,2015-04-13,1,67.08000183105469,1,11918.87490263135,-0.0010000000000000009
55,2015-04-14,1,66.91000366210938,1,11888.669374097844,-0.0025342600522502146
56,2015-04-15,1,67.20999908447266,1,11941.973008756582,0.0044835660729931615
57,2015-04-16,2,67.91000366210938,0,12054.284516630567,0.009404769864379325
58,2015-04-17,1,65.80999755859375,1,12042.230232113936,-0.0010000000000000009
59,2015-04-20,2,66.9000015258789,0,12229.442722071752,0.015546330401370545
60,2015-04-21,1,67.37999725341797,1,12217.21327934968,-0.0010000000000000009
61,2015-04-22,1,67.70999908447266,1,12277.048585329401,0.004897623100421633
62,2015-04-23,1,68.47000122070312,1,12414.850730915241,0.011224370794663763
63,2015-04-24,0,67.83000183105469,1,12298.807255689484,-0.009347150259067405
64,2015-04-27,1,67.83999633789062,1,12300.619440708984,0.0001473464037466954
65,2015-04-28,1,66.88999938964844,1,12128.367796237191,-0.014003493507142029
66,2015-04-29,0,74.6500015258789,1,13535.396662533674,0.1160113949325492
67,2015-04-30,0,72.81999969482422,1,13203.584202115957,-0.02451442456327735
68,2015-05-01,2,73.36000061035156,0,13288.194647571601,0.006408142225660551
69,2015-05-04,1,71.5999984741211,1,13274.90645292403,-0.0010000000000000009
70,2015-05-05,0,72.75,1,13488.121019992494,0.016061474167412992
71,2015-05-06,1,73.79000091552734,1,13680.941064109824,0.01429554523061638
72,2015-05-07,0,74.5199966430664,1,13816.284991492976,0.009892881399672815
73,2015-05-08,0,72.4000015258789,1,13423.229999019874,-0.028448674351688297
74,2015-05-11,1,71.19999694824219,1,13200.744679876107,-0.016574648513063672
75,2015-05-12,1,71.7699966430664,1,13306.424746750992,0.008005614034486186
76,2015-05-13,1,71.79000091552734,1,13310.13361338838,0.00027872751005442176
77,2015-05-14,2,72.87999725341797,0,13498.710772067783,0.014167938816911585
78,2015-05-15,2,72.4000015258789,0,13498.710772067783,0.0
79,2015-05-18,1,72.80000305175781,1,13485.212061295715,-0.0010000000000000009
80,2015-05-19,1,71.4800033569336,1,13240.700041249578,-0.01813186317980997
81,2015-05-20,0,70.16000366210938,1,12996.188021203441,-0.018466698836496098
82,2015-05-21,2,72.91000366210938,0,13492.082592555635,0.03815692498008927
83,2015-05-22,2,75.01000213623047,0,13492.082592555635,0.0
84,2015-05-26,1,73.56999969482422,1,13478.590509963078,-0.001000000000000112
85,2015-05-27,1,73.94999694824219,1,13548.208933165162,0.005165111526359123
86,2015-05-28,0,72.68000030517578,1,13315.53576785422,-0.01717372137223039
87,2015-05-29,2,72.75,0,13315.031890765795,-3.7841292848450614e-05
88,2015-06-01,2,73.0999984741211,0,13315.031890765795,0.0
89,2015-06-02,1,72.9000015258789,1,13301.716858875028,-0.0010000000000000009
90,2015-06-03,1,73.47000122070312,1,13405.721994560869,0.00781892569126863
91,2015-06-04,0,72.20999908447266,1,13175.815392271352,-0.017149885875807125
92,2015-06-05,2,73.55000305175781,0,13406.899228957587,0.01753848470143149
93,2015-06-08,1,71.83999633789062,1,13393.49232972863,-0.0010000000000000009
94,2015-06-09,1,71.76000213623047,1,13378.578607833117,-0.0011135050910067168
95,2015-06-10,2,73.02999877929688,0,13601.735127688684,0.016680136686935576
96,2015-06-11,0,72.4000015258789,0,13601.735127688684,0.0
97,2015-06-12,0,71.7699966430664,0,13601.735127688684,0.0
98,2015-06-15,1,72.55999755859375,1,13588.133392560998,-0.0009999999999997788
99,2015-06-16,1,73.4000015258789,1,13745.438882387316,0.011576681305795589
100,2015-06-17,0,74.41999816894531,1,13936.451160671348,0.0138964117419913
101,2015-06-18,2,75.70999908447266,0,14163.848452638962,0.016316728652508772
102,2015-06-19,0,75.0,0,14163.848452638962,0.0
103,2015-06-22,1,74.77999877929688,1,14149.684604186325,-0.0009999999999998899
104,2015-06-23,1,74.19999694824219,1,14039.938106282576,-0.007756109127074029
105,2015-06-24,0,73.5,1,13907.48643199528,-0.009433921523345434
106,2015-06-25,2,73.61000061035156,0,13914.372172284095,0.00049511033661509
107,2015-06-26,2,72.33999633789062,0,13914.372172284095,0.0
108,2015-06-29,1,70.0,1,13900.45780011181,-0.0010000000000000009
109,2015-06-30,1,69.62999725341797,1,13826.983406329111,-0.0052857535226004115
110,2015-07-01,1,70.54000091552734,1,14007.690084944805,0.013069132529151428
111,2015-07-02,2,70.41999816894531,0,13969.876323122055,-0.0026995001740788283
112,2015-07-06,1,69.16000366210938,1,13955.906446798932,-0.0010000000000000009
113,2015-07-07,1,70.26000213623047,1,14177.876877446352,0.015905124578871943
114,2015-07-08,1,69.38999938964844,1,14002.317648168737,-0.012382617707513588
115,2015-07-09,2,69.95999908447266,0,14103.221448687953,0.007206221359534082
116,2015-07-10,2,71.13999938964844,0,14103.221448687953,0.0
117,2015-07-13,1,71.05000305175781,1,14089.118227239265,-0.0010000000000000009
118,2015-07-14,1,71.79000091552734,1,14235.858789417123,0.01041517004904935
119,2015-07-15,1,71.36000061035156,1,14150.590318239758,-0.005989696332247552
120,2015-07-16,2,72.41999816894531,0,14346.425594942808,0.013839371524354327
121,2015-07-17,2,72.80999755859375,0,14346.425594942808,0.0
122,2015-07-20,1,72.7699966430664,1,14332.079169347866,-0.0010000000000000009
123,2015-07-21,1,73.83000183105469,1,14540.84760379873,0.014566514180116785
124,2015-07-22,1,73.87000274658203,1,14548.72579968482,0.0005417975692167953
125,2015-07-23,0,72.20999908447266,1,14221.787432167033,-0.022471958851878915
126,2015-07-24,2,73.91999816894531,0,14544.013845165684,0.02265723732235192
127,2015-07-27,1,72.45999908447266,1,14529.469831320519,-0.0010000000000000009
128,2015-07-28,1,73.79000091552734,1,14796.157958895325,0.018354979959414486
129,2015-07-29,1,73.87999725341797,1,14814.20376475832,0.001219627819135649
130,2015-07-30,0,73.36000061035156,1,14709.935539071297,-0.007038395538683462
131,2015-07-31,2,73.30000305175781,0,14683.207096827471,-0.001817033267945467
132,2015-08-03,1,72.44000244140625,1,14668.523889730644,-0.0009999999999998899
133,2015-08-04,1,71.88999938964844,1,14557.152649639096,-0.0075925322090192315
134,2015-08-05,2,72.52999877929688,0,14672.060684372915,0.007893579019154329
135,2015-08-06,2,70.43000030517578,0,14672.060684372915,0.0
136,2015-08-07,0,70.41000366210938,0,14672.060684372915,0.0
137,2015-08-10,2,71.2699966430664,0,14672.060684372915,0.0
138,2015-08-11,1,71.62999725341797,1,14657.388623688541,-0.0010000000000000009
139,2015-08-12,1,71.04000091552734,1,14536.659795786718,-0.008236721492579369
140,2015-08-13,2,71.4000015258789,0,14595.715100027837,0.004062508517825858
141,2015-08-14,2,72.98999786376953,0,14595.715100027837,0.0
142,2015-08-17,2,74.04000091552734,0,14595.715100027837,0.0
143,2015-08-18,1,72.58000183105469,1,14581.11938492781,-0.0010000000000000009
144,2015-08-19,1,72.04000091552734,1,14472.63471120732,-0.0074400785602666275
145,2015-08-20,0,67.81999969482422,1,13624.84826795477,-0.0585785836628655
146,2015-08-21,2,69.1500015258789,0,13878.149874309896,0.018591150622270236
147,2015-08-24,1,65.16999816894531,1,13864.271724435586,-0.0010000000000000009
148,2015-08-25,1,65.18000030517578,1,13866.399579866309,0.00015347762024697786
149,2015-08-26,2,68.5199966430664,0,14562.37377365924,0.050191413407952634
150,2015-08-27,2,69.94000244140625,0,14562.37377365924,0.0
151,2015-08-28,2,70.25,0,14562.37377365924,0.0
152,2015-08-31,1,69.36000061035156,1,14547.81139988558,-0.0010000000000000009
153,2015-09-01,1,66.62999725341797,1,13975.210857667633,-0.03935990964403424
154,2015-09-02,1,67.9800033569336,1,14258.365903945252,0.020261236067308674
155,2015-09-03,2,68.25,0,14300.680957118018,0.0029677351147971986
156,2015-09-04,2,67.12999725341797,0,14300.680957118018,0.0
157,2015-09-08,2,70.76000213623047,0,14300.680957118018,0.0
