step,date,action,price,position,portfolio_value,reward
0,2015-01-23,0,36.45000076293945,0,10000.0,0.0
1,2015-01-26,0,35.810001373291016,0,10000.0,0.0
2,2015-01-27,1,34.189998626708984,1,9990.0,-0.0010000000000000009
3,2015-01-28,1,33.779998779296875,1,9870.201853168626,-0.011991806489627055
4,2015-01-29,2,34.209999084472656,0,9985.848104021745,0.011716705754704737
5,2015-01-30,0,33.040000915527344,0,9985.848104021745,0.0
6,2015-02-02,1,33.650001525878906,1,9975.862255917724,-0.0009999999999998899
7,2015-02-03,0,33.70000076293945,1,9990.685004185161,0.0014858613608708104
8,2015-02-04,2,33.599998474121094,0,9951.077338370336,-0.003964459473823179
9,2015-02-05,0,33.939998626708984,0,9951.077338370336,0.0
10,2015-02-06,0,33.29999923706055,0,9951.077338370336,0.0
11,2015-02-09,1,32.93000030517578,1,9941.126261031966,-0.0010000000000000009
12,2015-02-10,2,33.70000076293945,0,10163.405512209178,0.022359564232527607
13,2015-02-11,1,33.54999923706055,1,10153.24210669697,-0.0009999999999998899
14,2015-02-12,1,34.130001068115234,1,10328.768161747386,0.01728768537240355
15,2015-02-13,0,34.36000061035156,1,10398.372963233502,0.006738925726293088
16,2015-02-17,2,34.7400016784668,0,10502.859379843509,0.01004834284935252
17,2015-02-18,1,34.27000045776367,1,10492.356520463665,-0.0010000000000000009
18,2015-02-19,1,34.209999084472656,1,10473.986056738033,-0.0017508425004243433
19,2015-02-20,2,34.40999984741211,0,10524.68454811969,0.0048404199802274395
20,2015-02-23,0,33.7599983215332,0,10524.68454811969,0.0
21,2015-02-24,0,34.40999984741211,0,10524.68454811969,0.0
22,2015-02-25,2,33.95000076293945,0,10524.68454811969,0.0
23,2015-02-26,0,33.650001525878906,0,10524.68454811969,0.0
24,2015-02-27,1,33.25,1,10514.15986357157,-0.0010000000000000009
25,2015-03-02,2,34.060001373291016,0,10759.524423845314,0.023336582614066792
26,2015-03-03,0,34.099998474121094,0,10759.524423845314,0.0
27,2015-03-04,0,34.119998931884766,0,10759.524423845314,0.0
28,2015-03-05,1,33.72999954223633,1,10748.764899421469,-0.0010000000000000009
29,2015-03-06,0,33.189998626708984,1,10576.682392298762,-0.016009514463561136
30,2015-03-09,2,32.720001220703125,0,10416.48104944494,-0.015146653450657688
31,2015-03-10,2,31.700000762939453,0,10416.48104944494,0.0
32,2015-03-11,2,32.33000183105469,0,10416.48104944494,0.0
33,2015-03-12,1,30.799999237060547,1,10406.064568395494,-0.001000000000000112
34,2015-03-13,0,30.93000030517578,1,10449.986631456446,0.004220814004397999
35,2015-03-16,2,30.829999923706055,0,10405.784377235294,-0.004229886197949284
36,2015-03-17,2,30.59000015258789,0,10405.784377235294,0.0
37,2015-03-18,0,30.88999938964844,0,10405.784377235294,0.0
38,2015-03-19,1,30.739999771118164,1,10395.378592858058,-0.0010000000000000009
39,2015-03-20,0,31.309999465942383,1,10588.135999157017,0.018542605695129666
40,2015-03-23,2,31.200000762939453,0,10540.386682520844,-0.004509699973628489
41,2015-03-24,2,30.790000915527344,0,10540.386682520844,0.0
42,2015-03-25,2,29.88999938964844,0,10540.386682520844,0.0
43,2015-03-26,0,30.079999923706055,0,10540.386682520844,0.0
44,2015-03-27,0,32.0,0,10540.386682520844,0.0
45,2015-03-30,1,31.459999084472656,1,10529.846295838324,-0.0009999999999998899
46,2015-03-31,2,31.270000457763672,0,10455.786387956543,-0.007033332282452398
47,2015-04-01,1,30.809999465942383,1,10445.330601568587,-0.0010000000000000009
48,2015-04-02,1,30.809999465942383,1,10445.330601568587,0.0
49,2015-04-06,1,31.040000915527344,1,10523.306623035598,0.0074651559095029185
50,2015-04-07,0,31.260000228881836,1,10597.891679833341,0.0070876065356184625
51,2015-04-08,2,31.309999465942383,0,10604.227780734047,0.0005978642820780866
52,2015-04-09,2,31.239999771118164,0,10604.227780734047,0.0
53,2015-04-10,2,31.93000030517578,0,10604.227780734047,0.0
54,2015-04-13,0,31.729999542236328,0,10604.227780734047,0.0
55,2015-04-14,2,31.489999771118164,0,10604.227780734047,0.0
56,2015-04-15,2,32.83000183105469,0,10604.227780734047,0.0
57,2015-04-16,2,32.869998931884766,0,10604.227780734047,0.0
58,2015-04-17,1,32.470001220703125,1,10593.623552953313,-0.0010000000000000009
59,2015-04-20,1,32.72999954223633,1,10678.45029268766,0.008007339444367823
60,2015-04-21,1,32.43000030517578,1,10580.572902354632,-0.009165879659528087
61,2015-04-22,2,32.70000076293945,0,10657.994264100891,0.007317312820464439
62,2015-04-23,2,32.349998474121094,0,10657.994264100891,0.0
63,2015-04-24,2,32.08000183105469,0,10657.994264100891,0.0
64,2015-04-27,1,32.5,1,10647.336269836791,-0.0009999999999998899
65,2015-04-28,2,33.02000045776367,0,10806.876106322174,0.01498401407095118
66,2015-04-29,1,32.88999938964844,1,10796.069230215851,-0.0010000000000000009
67,2015-04-30,1,32.54999923706055,1,10684.464935483695,-0.010337493429534605
68,2015-05-01,2,33.41999816894531,0,10959.07011190637,0.025701350332546502
69,2015-05-04,2,33.43000030517578,0,10959.07011190637,0.0
70,2015-05-05,2,32.63999938964844,0,10959.07011190637,0.0
71,2015-05-06,0,32.220001220703125,0,10959.07011190637,0.0
72,2015-05-07,2,32.2400016784668,0,10959.07011190637,0.0
73,2015-05-08,1,32.79999923706055,1,10948.111041794464,-0.0010000000000000009
74,2015-05-11,1,32.689998626708984,1,10911.39461116012,-0.0033536772228723866
75,2015-05-12,1,32.25,1,10764.530161907202,-0.013459732187002582
76,2015-05-13,1,32.63999938964844,1,10894.705671767542,0.01209300433018412
77,2015-05-14,1,32.970001220703125,1,11004.854963670574,0.010110350405194701
78,2015-05-15,1,32.9900016784668,1,11011.530794084496,0.0006066259333685764
79,2015-05-18,1,33.40999984741211,1,11151.719412923492,0.012731074494593209
80,2015-05-19,1,33.150001525878906,1,11064.936164111417,-0.007782050964401321
81,2015-05-20,2,33.369998931884766,0,11127.229384343553,0.005629785776277707
82,2015-05-21,2,33.54999923706055,0,11127.229384343553,0.0
83,2015-05-22,0,33.45000076293945,0,11127.229384343553,0.0
