step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,47.18000030517578,0,10000.0,0.0
1,2015-01-26,1,47.0099983215332,1,9990.0,-0.0010000000000000009
2,2015-01-27,0,42.65999984741211,1,9065.590591192082,-0.09253347435514692
3,2015-01-28,1,41.189998626708984,1,8753.203594400858,-0.03445853788000652
4,2015-01-29,1,42.0099983215332,1,8927.46007693176,0.019907737852957963
5,2015-01-30,1,40.400001525878906,1,8585.322902652833,-0.03832413377719801
6,2015-02-02,2,41.279998779296875,0,8763.55701609679,0.020760327301013293
7,2015-02-03,2,41.599998474121094,0,8763.55701609679,0.0
8,2015-02-04,2,41.84000015258789,0,8763.55701609679,0.0
9,2015-02-05,2,42.45000076293945,0,8763.55701609679,0.0
10,2015-02-06,2,42.40999984741211,0,8763.55701609679,0.0
11,2015-02-09,0,42.36000061035156,0,8763.55701609679,0.0
12,2015-02-10,2,42.599998474121094,0,8763.55701609679,0.0
13,2015-02-11,1,42.380001068115234,1,8754.793459080694,-0.0010000000000000009
14,2015-02-12,0,43.09000015258789,1,8901.463944782286,0.016753163439791052
15,2015-02-13,0,43.869998931884766,1,9062.594856508875,0.018101619320835205
16,2015-02-17,1,43.58000183105469,1,9002.687714991373,-0.006610374011641551
17,2015-02-18,0,43.529998779296875,1,8992.358163801418,-0.0011473852605986545
18,2015-02-19,1,43.5,1,8986.161063514739,-0.0006891518524724249
19,2015-02-20,0,43.86000061035156,1,9060.529419091354,0.008275876100035884
20,2015-02-23,0,44.150001525878906,1,9120.437348642974,0.006611967886268166
21,2015-02-24,2,44.09000015258789,0,9098.934317675463,-0.0023576754212023543
22,2015-02-25,2,43.9900016784668,0,9098.934317675463,0.0
23,2015-02-26,0,44.060001373291016,0,9098.934317675463,0.0
24,2015-02-27,0,43.849998474121094,0,9098.934317675463,0.0
25,2015-03-02,1,43.880001068115234,1,9089.835383357788,-0.0010000000000000009
26,2015-03-03,1,43.279998779296875,1,8965.543635357813,-0.013673707251897538
27,2015-03-04,0,43.060001373291016,1,8919.970705624863,-0.0050831195057957634
28,2015-03-05,1,43.11000061035156,1,8930.328153735869,0.001161152704736379
29,2015-03-06,0,42.36000061035156,1,8774.96406140288,-0.01739735535563669
30,2015-03-09,0,42.849998474121094,1,8876.46815920242,0.011567465927981635
31,2015-03-10,1,42.029998779296875,1,8706.603481469498,-0.019136516313284058
32,2015-03-11,2,41.97999954223633,0,8687.549787325133,-0.0021884187312442016
33,2015-03-12,0,41.02000045776367,0,8687.549787325133,0.0
34,2015-03-13,0,41.380001068115234,0,8687.549787325133,0.0
35,2015-03-16,2,41.560001373291016,0,8687.549787325133,0.0
36,2015-03-17,2,41.70000076293945,0,8687.549787325133,0.0
37,2015-03-18,2,42.5,0,8687.549787325133,0.0
38,2015-03-19,0,42.290000915527344,0,8687.549787325133,0.0
39,2015-03-20,0,42.880001068115234,0,8687.549787325133,0.0
40,2015-03-23,2,42.86000061035156,0,8687.549787325133,0.0
41,2015-03-24,1,42.900001525878906,1,8678.862237537809,-0.0009999999999998899
42,2015-03-25,1,41.459999084472656,1,8387.543301263555,-0.033566489281767975
43,2015-03-26,1,41.209999084472656,1,8336.967182797087,-0.006029908478546897
44,2015-03-27,0,40.970001220703125,1,8288.41454123826,-0.005823777459387447
45,2015-03-30,0,40.959999084472656,1,8286.39106433062,-0.00024413316896398918
46,2015-03-31,0,40.65999984741211,1,8225.699876516926,-0.007324200287256999
47,2015-04-01,0,40.720001220703125,1,8237.838422771794,0.0014756855267137325
48,2015-04-02,1,40.290000915527344,1,8150.847437271045,-0.010559928592466794
49,2015-04-06,2,41.54999923706055,0,8397.344984045914,0.030241953204487748
50,2015-04-07,1,41.529998779296875,1,8388.94763906187,-0.0009999999999998899
51,2015-04-08,1,41.41999816894531,1,8366.727812728424,-0.0026487024701383755
52,2015-04-09,0,41.47999954223633,1,8378.847928153544,0.0014486087866609765
53,2015-04-10,0,41.720001220703125,1,8427.32761929547,0.005785961454083832
54,2015-04-13,0,41.7599983215332,1,8435.406925687,0.0009587032516726879
55,2015-04-14,0,41.650001525878906,1,8413.187869912108,-0.0026340229903115686
56,2015-04-15,0,42.2599983215332,1,8536.405575887346,0.014645780871707093
57,2015-04-16,0,42.15999984741211,1,8516.206154070696,-0.0023662678204636745
58,2015-04-17,0,41.619998931884766,1,8407.127426920273,-0.012808370908011013
59,2015-04-20,0,42.90999984741211,1,8667.704129371214,0.03099473687249632
60,2015-04-21,0,42.63999938964844,1,8613.164765796002,-0.006292250261565879
61,2015-04-22,0,42.9900016784668,1,8683.864283271372,0.008208308954697818
62,2015-04-23,0,43.34000015258789,1,8754.563030188194,0.008141392427449157
63,2015-04-24,1,47.869998931884766,1,9669.610554424578,0.10452235263839471
64,2015-04-27,0,48.029998779296875,1,9701.930091666345,0.0033423825147722575
65,2015-04-28,2,49.15999984741211,0,9920.257069618643,0.02250345816651822
66,2015-04-29,0,49.060001373291016,0,9920.257069618643,0.0
67,2015-04-30,1,48.63999938964844,1,9910.336812549025,-0.0009999999999998899
68,2015-05-01,0,48.65999984741211,1,9914.411879887231,0.00041119362694574946
69,2015-05-04,0,48.2400016784668,1,9828.837797503758,-0.008631281756316
70,2015-05-05,0,47.599998474121094,1,9698.43797440001,-0.013267064305086507
71,2015-05-06,2,46.279998779296875,0,9420.06025824735,-0.028703355827759736
72,2015-05-07,2,46.70000076293945,0,9420.06025824735,0.0
73,2015-05-08,2,47.75,0,9420.06025824735,0.0
74,2015-05-11,0,47.369998931884766,0,9420.06025824735,0.0
75,2015-05-12,2,47.349998474121094,0,9420.06025824735,0.0
76,2015-05-13,2,47.630001068115234,0,9420.06025824735,0.0
77,2015-05-14,2,48.720001220703125,0,9420.06025824735,0.0
78,2015-05-15,1,48.29999923706055,1,9410.640197989102,-0.0010000000000000009
79,2015-05-18,0,48.0099983215332,1,9354.137210075569,-0.0060041598366077364
80,2015-05-19,0,47.58000183105469,1,9270.357865930437,-0.008956394615945107
81,2015-05-20,0,47.58000183105469,1,9270.357865930437,0.0
82,2015-05-21,1,47.41999816894531,1,9239.183188533825,-0.0033628342991138815
83,2015-05-22,1,46.900001525878906,1,9137.868459975707,-0.010965766831407042
84,2015-05-26,0,46.59000015258789,1,9077.468637387597,-0.0066098371685545665
85,2015-05-27,0,47.61000061035156,1,9276.202746319692,0.02189311986312603
86,2015-05-28,1,47.45000076293945,1,9245.028812168299,-0.0033606352732815647
87,2015-05-29,1,46.86000061035156,1,9130.074790626553,-0.012434144217099985
88,2015-06-01,0,47.22999954223633,1,9202.164373993175,0.00789583711194064
89,2015-06-02,0,46.91999816894531,1,9141.764551405066,-0.006563653955020565
90,2015-06-03,1,46.849998474121094,1,9128.126001666657,-0.0014918946623180274
91,2015-06-04,1,46.36000061035156,1,9032.656153497794,-0.010458866162828095
92,2015-06-05,1,46.13999938964844,1,8989.791715322672,-0.0047454965014386286
93,2015-06-08,0,45.72999954223633,1,8909.908462606896,-0.008885995943556546
94,2015-06-09,0,45.650001525878906,1,8894.321867153809,-0.001749355284456744
95,2015-06-10,0,46.61000061035156,1,9081.365472062174,0.021029552078512648
96,2015-06-11,1,46.439998626708984,1,9048.242748950883,-0.003647328500674285
97,2015-06-12,0,45.970001220703125,1,8956.669735456597,-0.010120530144364648
98,2015-06-15,0,45.47999954223633,1,8861.199144042517,-0.01065916174581516
99,2015-06-16,0,45.83000183105469,1,8929.392635979779,0.007695740816648922
100,2015-06-17,0,45.970001220703125,1,8956.669735456597,0.0030547541796861477
101,2015-06-18,1,46.720001220703125,1,9102.797691149735,0.016314987602441544
102,2015-06-19,1,46.099998474121094,1,8981.998045973518,-0.013270606386612926
103,2015-06-22,0,46.22999954223633,1,9007.327099735656,0.002819979878919243
104,2015-06-23,0,45.90999984741211,1,8944.979231432868,-0.006921905645529192
105,2015-06-24,0,45.63999938964844,1,8892.373078193912,-0.005881081652386211
106,2015-06-25,0,45.650001525878906,1,8894.321867153809,0.00021915285635909498
107,2015-06-26,1,45.2599983215332,1,8818.334705867393,-0.008543333873156866
108,2015-06-29,0,44.369998931884766,1,8644.929650697437,-0.01966414985978915
109,2015-06-30,0,44.150001525878906,1,8602.06595576753,-0.004958246817711065
110,2015-07-01,0,44.45000076293945,1,8660.516989395743,0.006794999472077068
111,2015-07-02,0,44.400001525878906,1,8650.77527433191,-0.0011248422092768884
112,2015-07-06,0,44.38999938964844,1,8648.826485372014,-0.00022527333078214973
113,2015-07-07,0,44.29999923706055,1,8631.291100959028,-0.0020274871328085364
114,2015-07-08,0,44.2400016784668,1,8619.601340180516,-0.0013543467184432556
115,2015-07-09,1,44.52000045776367,1,8674.155539134152,0.006329086091177993
116,2015-07-10,1,44.61000061035156,1,8691.690923547138,0.002021566748932946
117,2015-07-13,0,45.540000915527344,1,8872.889648066246,0.02084735020066275
118,2015-07-14,0,45.619998931884766,1,8888.476243519335,0.0017566538153086508
119,2015-07-15,0,45.7599983215332,1,8915.753342996153,0.0030688161535792347
120,2015-07-16,0,46.65999984741211,1,9091.107187126006,0.019667866234500897
121,2015-07-17,0,46.619998931884766,1,9083.313517776854,-0.0008572849476671252
122,2015-07-20,0,46.91999816894531,1,9141.764551405066,0.006434990217371261
123,2015-07-21,0,47.279998779296875,1,9211.906089057007,0.0076726475788704285
124,2015-07-22,2,45.540000915527344,0,8864.01675841818,-0.03776518423826436
125,2015-07-23,0,46.11000061035156,0,8864.01675841818,0.0
