episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,0.020328872581117485,0.002249259627975474,0.71557,0.0,sharpe_ratio,1,0,1.4119316709973306,0.19291076553679787,0.23783045694024607,0.8111272543418016,-0.2813811316847561,0.5012768786956954,0.17087226284450985,0.24862135163004773,0.6872791163116606,-0.5050093952567837
2,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,0.24832660153208497,0.0001661906302270449,0.4311400000000001,0.0,sharpe_ratio,0,1,1.0365912836424531,0.15592174202168008,0.2246785672938516,0.6939769284613331,-0.22295733208886925,0.34634525462503385,0.12394290398632091,0.21924847715074053,0.5653079355306359,-0.34011277361789694
3,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,0.9716185228146137,0.00013785942954403356,0.14671,0.0,sharpe_ratio,0,2,3.044209416136714,0.2909134471325001,0.20172180774578918,1.4421516958598282,-0.23144727392737952,0.30025282459006575,0.11189728254866171,0.21937401889716565,0.5100753640344027,-0.38502705407573645
4,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,2.214775595870748,0.000140012409378222,0.050000000000000044,0.0,sharpe_ratio,0,3,5.759118799266852,0.4203926744787916,0.242225565148954,1.7355421349529132,-0.17979100888103972,0.038236677750966175,0.0427146146612325,0.24541589118351811,0.1740499136190459,-0.46774934247684063
5,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,2.2825788079934366,0.00013317178493044783,0.050000000000000044,0.0,sharpe_ratio,0,4,9.735395139824776,0.5346136437057538,0.2399249423632701,2.228253713181249,-0.15453161953553407,0.34838522203160127,0.13282031238409786,0.2505771381787749,0.5300575836624682,-0.43748802527795283
6,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,2.272197394034161,0.00014636652376575076,0.050000000000000044,0.0,sharpe_ratio,0,5,14.738843582974889,0.6307894761910477,0.22442551451845036,2.810685217964331,-0.1577271523586702,0.32524078098383224,0.11328348314259862,0.19698321051796835,0.5750920743180047,-0.2456105262034195
7,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,2.813634828383002,0.00014279331523199822,0.050000000000000044,0.0,sharpe_ratio,0,6,7.811876265040354,0.47616026596498373,0.2156805184272421,2.2077110600307286,-0.16231059007825188,0.05676794547545949,0.03524752009032772,0.18619572458947461,0.18930359527879415,-0.4285856864565022
8,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,2.2463834776469023,0.00015206337427694299,0.050000000000000044,0.0,sharpe_ratio,0,7,9.314049419013633,0.5171374092547336,0.219407096241421,2.356976679941609,-0.13997259133838913,0.3337249747319406,0.12238640930641353,0.22590289222749316,0.5417655705937823,-0.3674272906422924
9,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,2.4713379441203474,0.0001593436495085314,0.050000000000000044,0.0,sharpe_ratio,0,8,13.619619037007832,0.6015799046588395,0.19807614014510816,3.037114435984715,-0.09502994373235651,-0.18309725530101328,-0.04136614623210466,0.20433077379540573,-0.20244697097620817,-0.43227210730007726
10,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,2.528198614297813,0.0001623378828574708,0.050000000000000044,0.0,sharpe_ratio,0,9,15.809947340696564,0.6443735579415351,0.21199073271338711,3.0396307880719124,-0.09502994373235651,-0.021659260256924218,0.01680728935846254,0.2170037015738243,0.07745162518688525,-0.3746010687515765
11,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,3.2725277256603817,0.00015904934631604434,0.050000000000000044,0.0,sharpe_ratio,0,10,21.322046238675284,0.7256421223287903,0.21438409400683717,3.3847759354089395,-0.14738153855997216,0.09234661676352696,0.05193657113072914,0.21495696979324397,0.24161380382633904,-0.2846380400807196
