episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,0.2042834884428777,0.00229247496683736,0.71557,0.0,sharpe_ratio,1,0,8.539023218230657,0.5394588927969686,0.32300652209038366,1.6701176474882982,-0.3095650778513236,0.39435857412951125,0.1995303598371838,0.38087789685931683,0.5238696219510041,-0.6170081137823156
2,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,1.419006884693786,0.00031916776533738155,0.4311400000000001,0.0,sharpe_ratio,1,0,4.742787899848294,0.4040101168070396,0.3032252615382947,1.3323761838227208,-0.35880891091394806,0.6358891960597708,0.2196050235060043,0.30321237148111607,0.7242614225576914,-0.4050532065209189
3,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,1.7849918654142656,0.00030105845493837787,0.14671,0.0,sharpe_ratio,1,0,10.296663028097258,0.5962113938052056,0.34742645137770023,1.7160794506030344,-0.3000262985615647,1.3555706931318565,0.38539451901958666,0.3456516196808481,1.1149796415692612,-0.4602122964718539
4,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,3.912566756009963,0.0003724019695407759,0.050000000000000044,0.0,sharpe_ratio,0,1,22.740604439013755,0.8009054711014694,0.3335159490316635,2.4014008128451834,-0.21879467342611925,0.11792006507614317,0.1153493478305041,0.371859991648038,0.31019563927619614,-0.6052926022118049
5,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,3.7711667291870112,0.00037662738482495823,0.050000000000000044,0.0,sharpe_ratio,0,2,17.409903185431656,0.736070715531757,0.3511194742736132,2.096354003304775,-0.28552208201228846,0.20052860599966071,0.16566004559824465,0.42751381973120284,0.38749635205337357,-0.7087879614414093
6,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.210162211471734,0.0003586216723877979,0.050000000000000044,0.0,sharpe_ratio,0,3,33.72300053439039,0.9378547190387168,0.36085011279079365,2.5990146207393514,-0.2660952944387637,-0.3713688819509361,-0.05797274820915299,0.3999489800212219,-0.14495035893347413,-0.7070031284698124
7,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.204594510440268,0.00037611696999236997,0.050000000000000044,0.0,sharpe_ratio,0,4,52.09336438133719,1.0779068554896019,0.3561986387433403,3.0261397384684843,-0.2660464032091645,0.1163728297885731,0.12937460806569212,0.4054270949445407,0.31910696073085487,-0.6702020391502157
8,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.088845947050474,0.0003606559519335452,0.050000000000000044,0.0,sharpe_ratio,0,5,35.877636011436834,0.9450115463814059,0.3428395330110489,2.756425252600465,-0.2324476986187899,0.10833351830181748,0.1242063465673433,0.39973081888712686,0.3107249696511787,-0.7126376299457702
9,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,3.7826054559138367,0.00034582708175777806,0.050000000000000044,0.0,sharpe_ratio,0,6,39.67361728926262,0.9829892415253352,0.3512232467158379,2.798759053442258,-0.2972198339297588,-0.07269439825551705,0.06562365820374594,0.4057744874804061,0.1617244558947653,-0.7000273623596663
10,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.9705274867125375,0.00035039773836314153,0.050000000000000044,0.0,sharpe_ratio,0,7,148.63976713130498,1.464623769591764,0.34581271345607334,4.2353092081382,-0.21877453130087188,-0.06726675152236872,0.05322379891469198,0.3686930507484978,0.14435802032785897,-0.5868516880976347
11,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,4.765383572056913,0.00034134730661644695,0.050000000000000044,0.0,sharpe_ratio,0,8,91.57115283109363,1.2574907522328687,0.32420523443648785,3.8786873827578883,-0.19787450734420353,0.06567306475313694,0.08104571488464529,0.34454732937947674,0.23522375004504345,-0.5497262145511774
12,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,5.283935390251364,0.0003555949946544111,0.050000000000000044,0.0,sharpe_ratio,0,9,118.64036315073076,1.3706203838535571,0.341398320042884,4.014725039307134,-0.20385523821826734,-0.2424557086303618,-0.0069095520515274345,0.38604345734527323,-0.01789837884844038,-0.683018419069748
13,42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,5.520119632305555,0.00036892714015825334,0.050000000000000044,0.0,sharpe_ratio,0,10,119.62412688422552,1.385777028019373,0.3563534392078615,3.8887713027263566,-0.2054210138120417,-0.04280329773585434,0.07640313641246221,0.4062389670277348,0.18807436660118823,-0.66082969611835
