step,date,action,price,position,portfolio_value,reward
0,2015-01-23,0,10.697999954223633,0,10000.0,0.0
1,2015-01-26,0,10.67300033569336,0,10000.0,0.0
2,2015-01-27,1,10.479000091552734,1,9990.0,-0.0010000000000000009
3,2015-01-28,1,10.5,1,10010.019952624802,0.0020039992617419955
4,2015-01-29,2,10.652999877929688,0,10145.72424686213,0.013556845528738926
5,2015-01-30,2,10.288000106811523,0,10145.72424686213,0.0
6,2015-02-02,0,10.241999626159668,0,10145.72424686213,0.0
7,2015-02-03,2,10.31999969482422,0,10145.72424686213,0.0
8,2015-02-04,2,10.479999542236328,0,10145.72424686213,0.0
9,2015-02-05,1,10.619999885559082,1,10135.578522615268,-0.0010000000000000009
10,2015-02-06,0,10.473999977111816,1,9996.238263452544,-0.013747637478395247
11,2015-02-09,0,10.223999977111816,1,9757.64177965226,-0.02386862712872917
12,2015-02-10,2,10.70400047302246,0,10205.53175433711,0.04590145701175863
13,2015-02-11,0,10.793999671936035,0,10205.53175433711,0.0
14,2015-02-12,0,10.970000267028809,0,10205.53175433711,0.0
15,2015-02-13,0,11.015000343322754,0,10205.53175433711,0.0
16,2015-02-17,2,11.086999893188477,0,10205.53175433711,0.0
17,2015-02-18,0,11.0,0,10205.53175433711,0.0
18,2015-02-19,0,11.09000015258789,0,10205.53175433711,0.0
19,2015-02-20,1,11.206000328063965,1,10195.326222582773,-0.0009999999999998899
20,2015-02-23,0,11.28499984741211,1,10267.200740484088,0.0070497516540581895
21,2015-02-24,2,11.317999839782717,0,10286.927224558318,0.0019213108395210732
22,2015-02-25,1,11.267999649047852,1,10276.640297333759,-0.0010000000000000009
23,2015-02-26,2,12.925000190734863,0,11776.069964340284,0.14590660212127382
24,2015-02-27,2,12.76200008392334,0,11776.069964340284,0.0
25,2015-03-02,2,12.902000427246094,0,11776.069964340284,0.0
26,2015-03-03,0,12.821999549865724,0,11776.069964340284,0.0
27,2015-03-04,2,12.9399995803833,0,11776.069964340284,0.0
28,2015-03-05,2,13.057000160217283,0,11776.069964340284,0.0
29,2015-03-06,1,12.788999557495115,1,11764.293894375944,-0.0010000000000000009
30,2015-03-09,0,12.711999893188477,1,11693.463750344801,-0.006020773083967534
31,2015-03-10,0,12.51200008392334,1,11509.488723648104,-0.015733150640781846
32,2015-03-11,0,12.465999603271484,1,11467.173985013695,-0.0036765089788451943
33,2015-03-12,0,12.612000465393066,1,11601.476675627517,0.011711925779563481
34,2015-03-13,1,12.5,1,11498.45013432009,-0.00888046790835395
35,2015-03-16,2,12.987000465393066,0,11934.48374947746,0.03792107719421378
36,2015-03-17,0,12.90999984741211,0,11934.48374947746,0.0
37,2015-03-18,2,13.043999671936035,0,11934.48374947746,0.0
38,2015-03-19,2,13.20400047302246,0,11934.48374947746,0.0
39,2015-03-20,1,13.32900047302246,1,11922.549265727983,-0.0010000000000000009
40,2015-03-23,2,13.444000244140623,0,12013.389061548769,0.007619158771850154
41,2015-03-24,2,13.312000274658203,0,12013.389061548769,0.0
42,2015-03-25,0,12.442999839782717,0,12013.389061548769,0.0
43,2015-03-26,0,12.470999717712402,0,12013.389061548769,0.0
44,2015-03-27,0,12.821000099182127,0,12013.389061548769,0.0
45,2015-03-30,2,13.05500030517578,0,12013.389061548769,0.0
46,2015-03-31,0,12.697999954223633,0,12013.389061548769,0.0
47,2015-04-01,0,12.562999725341797,0,12013.389061548769,0.0
48,2015-04-02,0,12.501999855041504,0,12013.389061548769,0.0
49,2015-04-06,0,12.583000183105469,0,12013.389061548769,0.0
50,2015-04-07,2,12.5649995803833,0,12013.389061548769,0.0
51,2015-04-08,0,12.678999900817873,0,12013.389061548769,0.0
52,2015-04-09,0,12.722000122070312,0,12013.389061548769,0.0
53,2015-04-10,0,12.682000160217283,0,12013.389061548769,0.0
54,2015-04-13,0,12.53499984741211,0,12013.389061548769,0.0
55,2015-04-14,0,12.39799976348877,0,12013.389061548769,0.0
56,2015-04-15,2,12.59000015258789,0,12013.389061548769,0.0
57,2015-04-16,2,12.532999992370604,0,12013.389061548769,0.0
58,2015-04-17,1,12.1850004196167,1,12001.37567248722,-0.0010000000000000009
59,2015-04-20,0,12.303000450134276,1,12117.597473622862,0.009684039922362997
60,2015-04-21,2,12.3100004196167,0,12112.367463453376,-0.0004316045470952323
61,2015-04-22,2,12.789999961853027,0,12112.367463453376,0.0
62,2015-04-23,1,12.406999588012695,1,12100.255095989924,-0.0010000000000000009
63,2015-04-24,2,11.949999809265137,0,11642.899398708525,-0.037797194658562905
64,2015-04-27,0,12.015000343322754,0,11642.899398708525,0.0
65,2015-04-28,0,11.744999885559082,0,11642.899398708525,0.0
66,2015-04-29,2,11.70300006866455,0,11642.899398708525,0.0
67,2015-04-30,0,11.687999725341797,0,11642.899398708525,0.0
68,2015-05-01,0,12.279999732971191,0,11642.899398708525,0.0
69,2015-05-04,0,12.116000175476074,0,11642.899398708525,0.0
70,2015-05-05,0,11.678999900817873,0,11642.899398708525,0.0
71,2015-05-06,0,11.678000450134276,0,11642.899398708525,0.0
72,2015-05-07,0,12.248000144958496,0,11642.899398708525,0.0
73,2015-05-08,0,12.333000183105469,0,11642.899398708525,0.0
74,2015-05-11,0,12.281000137329102,0,11642.899398708525,0.0
75,2015-05-12,0,12.295000076293944,0,11642.899398708525,0.0
76,2015-05-13,0,12.312999725341797,0,11642.899398708525,0.0
77,2015-05-14,0,12.694000244140623,0,11642.899398708525,0.0
78,2015-05-15,1,12.786999702453612,1,11631.256499309817,-0.0010000000000000009
79,2015-05-18,2,13.017999649047852,0,11829.536314445182,0.01704715351665831
80,2015-05-19,2,12.946999549865724,0,11829.536314445182,0.0
81,2015-05-20,2,12.91100025177002,0,11829.536314445182,0.0
82,2015-05-21,1,12.958999633789062,1,11817.706778130738,-0.0009999999999998899
83,2015-05-22,2,13.263999938964844,0,12083.75000748886,0.022512255072231868
84,2015-05-26,1,13.130000114440918,1,12071.66625748137,-0.0010000000000000009
85,2015-05-27,1,14.14900016784668,1,13008.53057232177,0.07760853347480356
86,2015-05-28,1,14.23799991607666,1,13090.356562288864,0.006290179318269473
87,2015-05-29,2,14.807000160217283,0,13599.87947357387,0.038923531903848785
88,2015-06-01,2,14.661999702453612,0,13599.87947357387,0.0
89,2015-06-02,2,14.416000366210938,0,13599.87947357387,0.0
90,2015-06-03,1,14.305999755859377,1,13586.279594100297,-0.0010000000000000009
91,2015-06-04,1,14.119999885559082,1,13409.6371863349,-0.013001528972074294
92,2015-06-05,1,14.380999565124512,1,13657.506239953062,0.018484396719603557
93,2015-06-08,0,13.86299991607666,1,13165.566621491409,-0.03601972496432437
