episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,-0.12077360312271057,0.0009796719046346717,0.71557,0.0,sharpe_ratio,1,0,-0.07416900877147359,0.0018134734853296752,0.1721270545617627,0.010535667910816216,-0.3073245725849073,-0.5065336883049716,-0.16969623787311794,0.2621237629125299,-0.6473897520300178,-0.5645617590326458
2,43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,-0.39208356906511466,0.00018171486321512582,0.4311400000000001,0.0,sharpe_ratio,0,1,0.03554125998137181,0.02104270833737454,0.17332831589144354,0.12140375465572342,-0.2964696307767246,-0.5783738512351441,-0.21533448338766292,0.23160559928254026,-0.9297464485086654,-0.6505667784572262
3,43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,0.8354958604799495,0.00014888889590953586,0.14671,0.0,sharpe_ratio,1,0,2.2244838417295805,0.23596378180040944,0.17261511294160184,1.366993757262954,-0.17650523507242644,-0.30380269461137344,-0.089574361219673,0.19593764414416037,-0.457157488092329,-0.5364824478117459
4,43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,1.033684345061881,0.00015603272354294985,0.050000000000000044,0.0,sharpe_ratio,1,0,4.194413580949405,0.3621014419014248,0.2519628448747685,1.4371223744572252,-0.281752477182612,-0.3657177210930035,-0.10286732192114134,0.25879072489438587,-0.3974923056578714,-0.6272766000642184
5,43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,1.699063538865634,0.00016761945282892495,0.050000000000000044,0.0,sharpe_ratio,1,0,2.1879017431692622,0.23905603486298266,0.19630067882106655,1.2178054416250328,-0.1649840401012751,-0.29172642896639256,-0.08248053466855043,0.20759728132097596,-0.3973102833703462,-0.5287970765257112
6,43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,2.1232648663204197,0.0001881953759368776,0.050000000000000044,0.0,sharpe_ratio,1,0,4.875709422829978,0.385106715407328,0.23590788603124302,1.6324452814448325,-0.16391754994119223,-0.30320800501272605,-0.059991073166774656,0.31886119404730806,-0.18814165626524637,-0.624931746208532
7,43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,1.786344778655383,0.00018487922979492174,0.050000000000000044,0.0,sharpe_ratio,1,0,6.3389580523348075,0.43405605038839945,0.22375596057965502,1.9398636320746394,-0.17872304078616352,0.43292299820375013,0.15341195826930476,0.24711231701208716,0.620818743979487,-0.4177435944119434
8,43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,1.6789089954157188,0.0001858653816434246,0.050000000000000044,0.0,sharpe_ratio,0,1,7.028830198944599,0.45806287470070295,0.23061469812034321,1.986269211954864,-0.1803598165804522,-0.10971602495502852,0.010618289787359902,0.30644234156529765,0.03465020444995303,-0.5342240972319325
9,43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,2.171425763907816,0.00018371648270284986,0.050000000000000044,0.0,sharpe_ratio,0,2,7.972802910487067,0.48111832633771634,0.21669317051348364,2.2202745254852365,-0.18475512920025916,0.15501897909851525,0.08711741954564545,0.2777147203187568,0.3136939210339782,-0.5655198317594208
10,43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,2.766128140836985,0.00018781555212524632,0.050000000000000044,0.0,sharpe_ratio,0,3,8.287466695124746,0.4959856682592767,0.2352745942870659,2.1081140093439457,-0.1622268836452807,-0.1387189981585375,-0.009036507659920479,0.2741502825741896,-0.0329618761471641,-0.5869768904467803
