step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,43.310001373291016,1,9990.0,-0.0010000000000000009
1,2015-01-26,1,43.0,1,9918.494259501753,-0.00715773178160628
2,2015-01-27,2,42.38999938964844,0,9768.012107928009,-0.015171874645144356
3,2015-01-28,1,41.91999816894531,1,9758.24409582008,-0.0010000000000000009
4,2015-01-29,0,42.099998474121094,1,9800.145025971566,0.004293900597283962
5,2015-01-30,1,41.16999816894531,1,9583.657182853878,-0.022090269332134205
6,2015-02-02,2,41.59000015258789,0,9671.744889556458,0.009191450092786768
7,2015-02-03,0,41.630001068115234,0,9671.744889556458,0.0
8,2015-02-04,0,41.68000030517578,0,9671.744889556458,0.0
9,2015-02-05,0,41.790000915527344,0,9671.744889556458,0.0
10,2015-02-06,2,41.45000076293945,0,9671.744889556458,0.0
11,2015-02-09,2,41.22999954223633,0,9671.744889556458,0.0
12,2015-02-10,0,42.400001525878906,0,9671.744889556458,0.0
13,2015-02-11,2,42.369998931884766,0,9671.744889556458,0.0
14,2015-02-12,1,42.16999816894531,1,9662.073144666901,-0.0010000000000000009
15,2015-02-13,1,41.9900016784668,1,9620.831993794207,-0.004268354239841177
16,2015-02-17,0,41.810001373291016,1,9579.58996889055,-0.004286742033356328
17,2015-02-18,0,41.72999954223633,1,9561.259791586277,-0.0019134615744306194
18,2015-02-19,1,42.11000061035156,1,9648.326385719656,0.009106184334620515
19,2015-02-20,1,41.970001220703125,1,9616.249449468138,-0.003324611437170555
20,2015-02-23,1,41.849998474121094,1,9588.754183511726,-0.002859250490629961
21,2015-02-24,0,42.130001068115234,1,9652.908930045725,0.006690623756349545
22,2015-02-25,0,42.04999923706055,1,9634.57875274145,-0.0018989278192835801
23,2015-02-26,2,42.459999084472656,0,9718.790207622105,0.0087405435195278
24,2015-02-27,2,43.29999923706055,0,9718.790207622105,0.0
25,2015-03-02,1,43.20000076293945,1,9709.071417414483,-0.0010000000000000009
26,2015-03-03,1,42.95000076293945,1,9652.884662518962,-0.005787036934834289
27,2015-03-04,1,42.5,1,9551.748332238654,-0.010477316762419031
28,2015-03-05,1,42.400001525878906,1,9529.273973217181,-0.0023529052734375666
29,2015-03-06,1,41.52000045776367,1,9331.49635592923,-0.02075474142561351
30,2015-03-09,1,41.38999938964844,1,9302.279003327843,-0.0031310468854035545
31,2015-03-10,1,40.689998626708984,1,9144.955918152016,-0.016912316338775213
32,2015-03-11,1,40.099998474121094,1,9012.355142304912,-0.014499881359067213
33,2015-03-12,2,40.56999969482422,0,9108.868529342024,0.010709008412691956
34,2015-03-13,2,39.90999984741211,0,9108.868529342024,0.0
35,2015-03-16,2,40.290000915527344,0,9108.868529342024,0.0
36,2015-03-17,2,40.5099983215332,0,9108.868529342024,0.0
37,2015-03-18,2,40.599998474121094,0,9108.868529342024,0.0
38,2015-03-19,1,40.02000045776367,1,9099.759660812682,-0.0010000000000000009
39,2015-03-20,2,40.650001525878906,0,9233.766482413464,0.014726413289558815
40,2015-03-23,2,40.619998931884766,0,9233.766482413464,0.0
41,2015-03-24,2,40.470001220703125,0,9233.766482413464,0.0
42,2015-03-25,2,40.45000076293945,0,9233.766482413464,0.0
43,2015-03-26,2,40.349998474121094,0,9233.766482413464,0.0
44,2015-03-27,2,40.08000183105469,0,9233.766482413464,0.0
45,2015-03-30,2,40.5099983215332,0,9233.766482413464,0.0
46,2015-03-31,2,40.54999923706055,0,9233.766482413464,0.0
47,2015-04-01,2,40.68000030517578,0,9233.766482413464,0.0
48,2015-04-02,1,40.68000030517578,1,9224.532715931051,-0.0010000000000000009
49,2015-04-06,2,41.16999816894531,0,9326.308214923054,0.011033133289910069
50,2015-04-07,0,41.0099983215332,0,9326.308214923054,0.0
51,2015-04-08,2,40.88999938964844,0,9326.308214923054,0.0
52,2015-04-09,1,41.04999923706055,1,9316.981906708132,-0.0009999999999998899
53,2015-04-10,1,40.880001068115234,1,9278.397987252,-0.004141246579898561
54,2015-04-13,1,40.70000076293945,1,9237.543916175413,-0.004403138465575385
55,2015-04-14,1,40.5099983215332,1,9194.419693478372,-0.004668364566205563
56,2015-04-15,0,40.400001525878906,1,9169.45408631749,-0.002715299931173587
57,2015-04-16,0,40.599998474121094,1,9214.846729016665,0.0049504193239713334
58,2015-04-17,1,40.29999923706055,1,9146.756899158741,-0.007389144047671992
59,2015-04-20,0,40.65999984741211,1,9228.465041311914,0.00893301779570499
60,2015-04-21,1,40.779998779296875,1,9255.700800093251,0.002951277234016114
61,2015-04-22,0,41.310001373291016,1,9375.993727511717,0.012996630943089116
62,2015-04-23,1,40.95000076293945,1,9294.285585358544,-0.00871461143509722
63,2015-04-24,2,40.88999938964844,0,9271.38660579023,-0.0024637697387291935
64,2015-04-27,0,40.83000183105469,0,9271.38660579023,0.0
65,2015-04-28,2,40.77000045776367,0,9271.38660579023,0.0
66,2015-04-29,2,40.4900016784668,0,9271.38660579023,0.0
67,2015-04-30,0,40.560001373291016,0,9271.38660579023,0.0
68,2015-05-01,0,40.90999984741211,0,9271.38660579023,0.0
69,2015-05-04,1,40.959999084472656,1,9262.11521918444,-0.001000000000000112
70,2015-05-05,0,40.75,1,9214.62899458034,-0.0051269308878539865
71,2015-05-06,0,40.65999984741211,1,9194.27763223548,-0.002208592701543388
72,2015-05-07,0,40.70000076293945,1,9203.3228738558,0.0009837903511424884
73,2015-05-08,0,40.97999954223633,1,9266.637839994599,0.0068795767579403755
74,2015-05-11,1,40.939998626708984,1,9257.59259837428,-0.0009761082472954374
75,2015-05-12,0,40.689998626708984,1,9201.06113214986,-0.006106497517977538
76,2015-05-13,0,41.04999923706055,1,9282.4665815293,0.008847397947938429
77,2015-05-14,0,41.5,1,9384.223393253598,0.01096225995866007
78,2015-05-15,1,41.52000045776367,1,9388.746014063758,0.0004819387412933196
79,2015-05-18,1,41.31999969482422,1,9343.520668563879,-0.004816974006127572
80,2015-05-19,1,41.310001373291016,1,9341.259789459658,-0.00024197293337480108
81,2015-05-20,0,41.349998474121094,1,9350.304168478258,0.0009682183369748021
82,2015-05-21,1,41.22999954223633,1,9323.169306219019,-0.0029020298987402215
83,2015-05-22,1,41.209999084472656,1,9318.64668540886,-0.00048509478500435854
84,2015-05-26,0,40.9900016784668,1,9268.899581700538,-0.005338447243226407
85,2015-05-27,0,41.119998931884766,1,9298.295323064,0.003171438109168534
86,2015-05-28,0,41.13999938964844,1,9302.817943874159,0.00048639246797654856
87,2015-05-29,1,40.959999084472656,1,9262.11521918444,-0.004375311323438491
88,2015-06-01,2,40.939998626708984,0,9248.335005775905,-0.001487804144348348
89,2015-06-02,0,40.9900016784668,0,9248.335005775905,0.0
90,2015-06-03,0,40.869998931884766,0,9248.335005775905,0.0
91,2015-06-04,2,40.59000015258789,0,9248.335005775905,0.0
92,2015-06-05,2,40.099998474121094,0,9248.335005775905,0.0
93,2015-06-08,2,40.15999984741211,0,9248.335005775905,0.0
94,2015-06-09,2,40.20000076293945,0,9248.335005775905,0.0
95,2015-06-10,0,40.33000183105469,0,9248.335005775905,0.0
96,2015-06-11,0,40.099998474121094,0,9248.335005775905,0.0
97,2015-06-12,2,39.959999084472656,0,9248.335005775905,0.0
98,2015-06-15,2,39.59000015258789,0,9248.335005775905,0.0
99,2015-06-16,0,40.08000183105469,0,9248.335005775905,0.0
100,2015-06-17,0,40.27000045776367,0,9248.335005775905,0.0
101,2015-06-18,0,40.650001525878906,0,9248.335005775905,0.0
102,2015-06-19,2,40.400001525878906,0,9248.335005775905,0.0
103,2015-06-22,2,40.47999954223633,0,9248.335005775905,0.0
104,2015-06-23,0,40.380001068115234,0,9248.335005775905,0.0
105,2015-06-24,0,40.189998626708984,0,9248.335005775905,0.0
106,2015-06-25,1,40.02000045776367,1,9239.08667077013,-0.0010000000000000009
107,2015-06-26,1,40.0,1,9234.469330424803,-0.0004997615575936809
108,2015-06-29,1,39.400001525878906,1,9095.95264273548,-0.014999961853027433
109,2015-06-30,2,39.22999954223633,0,9047.648984443877,-0.005310456220347759
110,2015-07-01,2,39.5,0,9047.648984443877,0.0
111,2015-07-02,0,39.4900016784668,0,9047.648984443877,0.0
112,2015-07-06,0,39.41999816894531,0,9047.648984443877,0.0
113,2015-07-07,0,40.25,0,9047.648984443877,0.0
114,2015-07-08,0,39.86000061035156,0,9047.648984443877,0.0
115,2015-07-09,0,39.91999816894531,0,9047.648984443877,0.0
116,2015-07-10,0,40.38999938964844,0,9047.648984443877,0.0
117,2015-07-13,2,40.65999984741211,0,9047.648984443877,0.0
118,2015-07-14,0,41.16999816894531,0,9047.648984443877,0.0
