step,date,action,price,position,portfolio_value,reward
0,2015-01-23,0,6.249429225921631,0,10000.0,0.0
1,2015-01-26,0,6.379428863525391,0,10000.0,0.0
2,2015-01-27,0,6.488142967224121,0,10000.0,0.0
3,2015-01-28,1,6.320857048034668,1,9990.0,-0.0010000000000000009
4,2015-01-29,0,6.340000152587891,1,10020.255329780975,0.0030285615396372645
5,2015-01-30,1,6.311429023742676,1,9975.099178487782,-0.004506487091100908
6,2015-02-02,0,6.301000118255615,1,9958.616482387555,-0.0016523841823822272
7,2015-02-03,0,6.527429103851318,1,10316.483390136149,0.03593540411778129
8,2015-02-04,0,6.41014289855957,1,10131.114668464319,-0.01796820822190881
9,2015-02-05,1,6.413000106811523,1,10135.630434320135,0.00044573238025558126
10,2015-02-06,0,6.3480000495910645,1,10032.89902199777,-0.010135670690449405
11,2015-02-09,0,6.329570770263672,1,10003.771880048262,-0.0029031630723727053
12,2015-02-10,2,6.485000133514404,0,10239.175746364723,0.023531510828026292
13,2015-02-11,2,6.498428821563721,0,10239.175746364723,0.0
14,2015-02-12,1,6.52471399307251,1,10228.936570618358,-0.0010000000000000009
15,2015-02-13,1,6.658570766448975,1,10438.786756522173,0.0205153472655788
16,2015-02-17,0,6.713714122772217,1,10525.236200087107,0.008281560451545822
17,2015-02-18,0,6.786571025848389,1,10639.455557608233,0.010851951951461158
18,2015-02-19,0,6.78000020980835,1,10629.154345852114,-0.0009682085422832998
19,2015-02-20,0,6.8314290046691895,1,10709.78039031834,0.00758536773884444
20,2015-02-23,0,6.740571022033691,1,10567.340347383186,-0.013299996614675624
21,2015-02-24,0,6.783999919891357,1,10635.42477866854,0.006442910803210022
22,2015-02-25,0,6.833285808563232,1,10712.691342319671,0.0072650190527514535
23,2015-02-26,0,6.900428771972656,1,10817.952831881901,0.009825867860712378
24,2015-02-27,0,6.78442907333374,1,10636.097571889184,-0.016810505907990825
25,2015-03-02,0,6.860713958740234,1,10755.691052147231,0.01124411274433279
26,2015-03-03,1,6.781570911407471,1,10631.61676903968,-0.011535686782559784
27,2015-03-04,2,6.710999965667725,0,10510.460175583788,-0.011395876665599047
28,2015-03-05,1,6.680714130401611,1,10499.949715408206,-0.0009999999999998899
29,2015-03-06,1,6.487429141998291,1,10196.167422173618,-0.02893178552929654
30,2015-03-09,0,6.366143226623535,1,10005.54468517804,-0.018695528339504386
31,2015-03-10,1,6.215143203735352,1,9768.220857754202,-0.0237192311754304
32,2015-03-11,0,6.288428783416748,1,9883.402391718888,0.011791454722612338
33,2015-03-12,0,6.404571056365967,1,10065.94096499065,0.018469203826478653
34,2015-03-13,1,6.262856960296631,1,9843.21164988327,-0.02212702378069109
35,2015-03-16,2,6.028142929077148,0,9464.84181192914,-0.038439673087656945
36,2015-03-17,1,5.978857040405273,1,9455.376970117211,-0.0010000000000000009
37,2015-03-18,0,6.0445709228515625,1,9559.30143703464,0.010991044275217243
38,2015-03-19,0,6.074429035186768,1,9606.52111561828,0.004939657870888237
39,2015-03-20,1,6.118570804595947,1,9676.329954844763,0.007266817861149466
40,2015-03-23,1,6.0714287757873535,1,9601.776298433677,-0.007704745162576687
41,2015-03-24,2,6.261143207550049,0,9891.901984325475,0.030215834744986347
42,2015-03-25,1,6.025000095367432,1,9882.01008234115,-0.0010000000000000009
43,2015-03-26,0,5.975142955780029,1,9800.23601623645,-0.008275043783939173
44,2015-03-27,1,5.925285816192627,1,9718.46195013175,-0.008344091506492401
45,2015-03-30,0,6.03671407699585,1,9901.222975739342,0.018805550358214296
46,2015-03-31,1,5.952713966369629,1,9763.448713998776,-0.013914873150332019
47,2015-04-01,1,5.901713848114014,1,9679.799971289196,-0.008567540544320629
48,2015-04-02,0,5.91542911529541,1,9702.295308454879,0.002323946489845463
49,2015-04-06,0,6.0329999923706055,1,9895.13125438957,0.01987529134128163
50,2015-04-07,1,6.049428939819336,1,9922.077482067712,0.002723180419278437
51,2015-04-08,1,6.304999828338623,1,10341.256578685878,0.04224710977874868
52,2015-04-09,1,6.278571128845215,1,10297.909081470429,-0.004191705029811477
53,2015-04-10,1,6.493856906890869,1,10651.013844218498,0.03428897652470342
54,2015-04-13,2,6.7811431884765625,0,11111.089290179258,0.04319546032798516
55,2015-04-14,1,6.838714122772217,1,11099.978200889078,-0.0010000000000000009
56,2015-04-15,1,6.792285919189453,1,11024.62016743085,-0.006789025356121137
57,2015-04-16,2,8.02928638458252,0,13019.374305652558,0.1809363141702287
58,2015-04-17,1,8.164999961853027,1,13006.354931346905,-0.001000000000000112
59,2015-04-20,0,8.105570793151855,1,12911.68783214132,-0.007278526513022077
60,2015-04-21,1,8.006285667419434,1,12753.53258526901,-0.012248998653654919
61,2015-04-22,1,7.966856956481934,1,12690.725014989213,-0.004924719473594519
62,2015-04-23,1,7.986570835113525,1,12722.128040556136,0.002474486329963943
63,2015-04-24,0,7.977142810821533,1,12707.109763665025,-0.0011804846518785883
64,2015-04-27,0,8.086856842041016,1,12881.877631106094,0.013753549838752877
65,2015-04-28,0,8.043713569641113,1,12813.152987339461,-0.005334986539592856
66,2015-04-29,1,8.040714263916016,1,12808.375273317355,-0.0003728757493823842
67,2015-04-30,1,7.949999809265137,1,12663.87259112443,-0.011281890099984593
68,2015-05-01,1,7.957571029663086,1,12675.933090845097,0.0009523547898864226
69,2015-05-04,1,7.927143096923828,1,12627.46322006948,-0.0038237714279688584
70,2015-05-05,2,8.079285621643066,0,12856.94731425404,0.018173412203634776
71,2015-05-06,1,8.00771427154541,1,12844.090366939785,-0.0010000000000000009
72,2015-05-07,1,8.074856758117676,1,12951.784539802522,0.008384725565302675
73,2015-05-08,1,8.208571434020996,1,13166.258148931043,0.01655938673697177
74,2015-05-11,2,8.427857398986816,0,13504.467093000629,0.025687552244830103
75,2015-05-12,1,8.337714195251465,1,13490.962625907629,-0.0010000000000000009
76,2015-05-13,1,8.287285804748535,1,13409.366217632185,-0.006048227286520547
77,2015-05-14,1,8.383570671081543,1,13565.16137955785,0.01161838370263979
78,2015-05-15,2,8.760713577270508,0,14161.227672571913,0.043940965856278824
79,2015-05-18,1,8.826713562011719,1,14147.066444899341,-0.0010000000000000009
80,2015-05-19,2,8.806857109069824,0,14101.126158180743,-0.0032473366049087238
81,2015-05-20,1,8.878999710083008,1,14087.025032022562,-0.0010000000000000009
82,2015-05-21,1,8.900285720825195,1,14120.796467538725,0.0023973433311428316
83,2015-05-22,1,8.883856773376465,1,14094.73103207112,-0.0018458898920838962
84,2015-05-26,2,8.799285888671875,0,13946.594082714333,-0.010510094092587963
85,2015-05-27,1,8.985713958740234,1,13932.64748863162,-0.0010000000000000009
86,2015-05-28,1,8.950714111328125,1,13878.379064509962,-0.003895054702700129
87,2015-05-29,1,8.915143013000488,1,13823.224896899233,-0.003974107304200225
88,2015-06-01,2,8.900285720825195,0,13786.387984492472,-0.002664856622207168
89,2015-06-02,1,8.913000106811523,1,13772.60159650798,-0.0010000000000000009
90,2015-06-03,2,8.880857467651367,0,13709.211013272297,-0.004602658603858556
91,2015-06-04,2,8.934857368469238,0,13709.211013272297,0.0
92,2015-06-05,1,9.04599952697754,1,13695.501802259025,-0.0010000000000000009
93,2015-06-08,2,8.960429191589355,0,13552.383703168894,-0.010450007685481322
94,2015-06-09,2,9.244999885559082,0,13552.383703168894,0.0
95,2015-06-10,2,9.587142944335938,0,13552.383703168894,0.0
96,2015-06-11,0,9.509428977966309,0,13552.383703168894,0.0
97,2015-06-12,1,9.44185733795166,1,13538.831319465726,-0.0010000000000000009
98,2015-06-15,2,9.343143463134766,0,13383.886620450063,-0.0114444663176273
99,2015-06-16,1,9.5272855758667,1,13370.502733829613,-0.0010000000000000009
100,2015-06-17,1,9.427143096923828,1,13229.963723235684,-0.010511123881553286
101,2015-06-18,1,9.474286079406738,1,13296.123740288735,0.005000770859020065
102,2015-06-19,1,9.3871431350708,1,13173.828153975146,-0.009197837557950783
103,2015-06-22,2,9.64142894744873,0,13517.159774658274,0.026061644092383984
104,2015-06-23,1,9.73128604888916,1,13503.642614883616,-0.0010000000000000009
105,2015-06-24,2,9.694429397583008,0,13439.045895189862,-0.004783651458796445
106,2015-06-25,2,9.489143371582031,0,13439.045895189862,0.0
107,2015-06-26,0,9.308856964111328,0,13439.045895189862,0.0
108,2015-06-29,1,9.223142623901367,1,13425.606849294672,-0.0010000000000000009
109,2015-06-30,1,9.384857177734377,1,13661.005575098254,0.017533563171183486
110,2015-07-01,1,9.363571166992188,1,13630.020733676209,-0.0022681230346999204
111,2015-07-02,1,9.40442943572998,1,13689.495803615482,0.004363534810502889
112,2015-07-06,2,9.45714282989502,0,13752.461481137909,0.004599561475872482
113,2015-07-07,2,9.409143447875977,0,13752.461481137909,0.0
114,2015-07-08,1,9.350713729858398,1,13738.709019656771,-0.0010000000000000009
115,2015-07-09,2,9.572713851928713,0,14050.821916450206,0.022717774744837937
116,2015-07-10,1,9.722857475280762,1,14036.771094533757,-0.0009999999999998899
117,2015-07-13,2,10.10871410369873,0,14579.233788848382,0.038645831770090844
118,2015-07-14,1,10.037142753601074,1,14564.654555059533,-0.0010000000000000009
119,2015-07-15,2,9.812999725341797,0,14225.16663381349,-0.023309026655088827
120,2015-07-16,2,11.581000328063965,0,14225.16663381349,0.0
121,2015-07-17,0,11.47700023651123,0,14225.16663381349,0.0
122,2015-07-20,2,11.05500030517578,0,14225.16663381349,0.0
123,2015-07-21,0,11.25100040435791,0,14225.16663381349,0.0
124,2015-07-22,2,11.149999618530272,0,14225.16663381349,0.0
125,2015-07-23,2,11.010000228881836,0,14225.16663381349,0.0
126,2015-07-24,2,10.934000015258787,0,14225.16663381349,0.0
127,2015-07-27,1,10.642999649047852,1,14210.941467179675,-0.001000000000000112
128,2015-07-28,1,10.6899995803833,1,14273.6975787266,0.00441604180073929
129,2015-07-29,2,10.708000183105469,0,14283.434941429163,0.0006821892259420981
130,2015-07-30,2,11.156000137329102,0,14283.434941429163,0.0
131,2015-07-31,0,11.430999755859377,0,14283.434941429163,0.0
132,2015-08-03,1,11.255999565124512,1,14269.151506487733,-0.0010000000000000009
133,2015-08-04,2,12.114999771118164,0,15342.741927869272,0.07523856067359103
134,2015-08-05,1,12.371000289916992,1,15327.399185941405,-0.0009999999999998899
135,2015-08-06,0,12.645000457763672,1,15666.879409947542,0.02214858632490735
136,2015-08-07,1,12.35200023651123,1,15303.858534718425,-0.023171230576946922
137,2015-08-10,0,12.303000450134276,1,15243.148869515557,-0.003966951541347741
138,2015-08-11,1,12.27400016784668,1,15207.218153105401,-0.0023571715212997724
139,2015-08-12,1,12.050999641418455,1,14930.925371023233,-0.018168528872307133
140,2015-08-13,1,12.373000144958496,1,15329.87696266251,0.026719816871734636
141,2015-08-14,1,12.33899974822998,1,15287.751213658763,-0.002747950887430406
142,2015-08-17,2,12.53600025177002,0,15516.29870466805,0.014949712865885312
143,2015-08-18,2,12.404999732971191,0,15516.29870466805,0.0
144,2015-08-19,2,12.206000328063965,0,15516.29870466805,0.0
