step,date,action,price,position,portfolio_value,reward
0,2020-10-20,1,9.270000457763672,1,9990.0,-0.0010000000000000009
1,2020-10-21,1,9.199999809265137,1,9914.562411653962,-0.007551310144748524
2,2020-10-22,1,9.68000030517578,1,10431.844473935987,0.05217396802848229
3,2020-10-23,2,9.489999771118164,0,10216.859540329004,-0.020608525572263336
4,2020-10-26,1,9.949999809265137,1,10206.642680788675,-0.0010000000000000009
5,2020-10-27,1,10.949999809265137,1,11232.435934702566,0.1005025144893803
6,2020-10-28,1,10.850000381469728,1,11129.857196274786,-0.009132367994271195
7,2020-10-29,2,10.75,0,11016.25020209475,-0.010207408071512436
8,2020-10-30,2,10.130000114440918,0,11016.25020209475,0.0
9,2020-11-02,1,10.539999961853027,1,11005.233951892656,-0.0009999999999998899
10,2020-11-03,1,10.5,1,10963.468397826946,-0.003795062808140237
11,2020-11-04,1,10.720000267028809,1,11193.179443073026,0.02095240638369611
12,2020-11-05,1,11.880000114440918,1,12404.381506747954,0.1082089382945155
13,2020-11-06,1,13.829999923706056,1,14440.45401004766,0.16414139650510484
14,2020-11-09,1,14.670000076293944,1,15317.531641196909,0.060737538483137676
15,2020-11-10,0,14.0,1,14617.957863769261,-0.04567144327263051
16,2020-11-11,1,15.960000038146973,1,16664.47200452773,0.14000000272478386
17,2020-11-12,1,14.579999923706056,1,15223.558895606728,-0.0864661723773491
18,2020-11-13,2,15.800000190734863,0,16480.91237847663,0.08259261132643259
19,2020-11-16,1,15.93000030517578,1,16464.431466098154,-0.0010000000000000009
20,2020-11-17,1,17.850000381469727,1,18448.845092303425,0.12052730944833234
21,2020-11-18,0,17.899999618530273,1,18500.52173989728,0.0028010776466118603
22,2020-11-19,0,18.979999542236328,1,19616.754281429134,0.060335192554307415
23,2020-11-20,2,18.149999618530273,0,18740.150011621496,-0.04468650915597716
24,2020-11-23,1,21.040000915527344,1,18721.409861609874,-0.0010000000000000009
25,2020-11-24,0,23.81999969482422,1,21195.05502783146,0.1321292137989052
26,2020-11-25,1,29.049999237060547,1,25848.71285794968,0.21956337570284434
27,2020-11-27,0,27.65999984741211,1,24611.890274838886,-0.047848517251427136
28,2020-11-30,1,27.11000061035156,1,24122.50050808349,-0.019884281999083542
29,2020-12-01,0,25.670000076293945,1,22841.186866165615,-0.05311694952554791
30,2020-12-02,0,22.510000228881836,1,20029.41644165164,-0.12310088967745447
31,2020-12-03,2,24.030000686645508,0,21360.532166419987,0.06645803828813812
32,2020-12-04,2,23.850000381469727,0,21360.532166419987,0.0
33,2020-12-07,1,28.940000534057617,1,21339.171634253566,-0.001000000000000112
34,2020-12-08,1,28.59000015258789,1,21081.09568144053,-0.01209400051868803
35,2020-12-09,0,26.6299991607666,1,19635.871189528,-0.06855547328998102
36,2020-12-10,0,27.040000915527344,1,19938.189698640963,0.015396236112721784
37,2020-12-11,2,27.200000762939453,0,20036.11086893653,0.0049112367660058
38,2020-12-14,1,27.239999771118164,1,20016.074758067592,-0.0010000000000000009
39,2020-12-15,0,26.43000030517578,1,19420.88349519953,-0.02973566346359524
40,2020-12-16,1,25.920000076293945,1,19046.13302553345,-0.019296262693646815
41,2020-12-17,1,27.229999542236328,1,20008.726544757075,0.05054010270395359
42,2020-12-18,2,25.969999313354492,0,19063.7898178671,-0.04722623025389794
43,2020-12-21,1,28.510000228881836,1,19044.72602804923,-0.001000000000000112
44,2020-12-22,0,28.040000915527344,1,18730.765730457235,-0.01648541948724236
45,2020-12-23,1,28.690000534057617,1,19164.96652154334,0.0231811553961232
46,2020-12-24,0,27.75,1,18537.044652247398,-0.03276404728336446
47,2020-12-28,1,25.6299991607666,1,17120.880680367347,-0.07639642663904123
48,2020-12-29,0,24.65999984741211,1,16472.919578230354,-0.03784624834632577
49,2020-12-30,1,25.100000381469727,1,16766.8406429813,0.01784268194566896
50,2020-12-31,1,23.549999237060547,1,15731.437384424631,-0.0617530327032777
