step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,27.09749984741211,1,9990.0,-0.0010000000000000009
1,2015-01-26,0,26.836000442504883,1,9893.59335474735,-0.009650314840105034
2,2015-01-27,0,26.059499740600582,1,9607.321851630622,-0.028935038347757014
3,2015-01-28,2,25.62150001525879,0,9436.399217904349,-0.01779087204175045
4,2015-01-29,1,25.661500930786133,1,9426.962818686445,-0.0010000000000000009
5,2015-01-30,1,26.877500534057617,1,9873.670245445936,0.0473861449706805
6,2015-02-02,0,26.61000061035156,1,9775.401954686951,-0.009952559515982284
7,2015-02-03,1,26.665000915527344,1,9795.60676785462,0.002066903566863676
8,2015-02-04,2,26.30500030517578,0,9653.694233660564,-0.014487365362578442
9,2015-02-05,1,26.491500854492188,1,9644.040539426904,-0.0010000000000000009
10,2015-02-06,1,26.694000244140625,1,9717.758987230422,0.007643937984513904
11,2015-02-09,0,26.464000701904297,1,9634.029306471295,-0.008616151199999034
12,2015-02-10,1,27.007999420166016,1,9832.068131116544,0.020556178349200538
13,2015-02-11,2,26.899999618530273,0,9782.958827751567,-0.004994809099171715
14,2015-02-12,1,27.300500869750977,1,9773.175868923816,-0.0009999999999998899
15,2015-02-13,1,27.558000564575195,1,9865.35695438147,0.009432050204966291
16,2015-02-17,2,27.250499725341797,0,9745.52092193613,-0.012147156255924219
17,2015-02-18,2,27.13249969482422,0,9745.52092193613,0.0
18,2015-02-19,1,27.322500228881836,1,9735.775401014193,-0.001000000000000112
19,2015-02-20,1,27.09000015258789,1,9652.929083709609,-0.008509472937918594
20,2015-02-23,0,26.75,1,9531.7774652934,-0.012550762298737417
21,2015-02-24,1,26.9325008392334,1,9596.807647977588,0.006822461279753167
22,2015-02-25,1,27.366500854492188,1,9751.454061636681,0.016114360038432363
23,2015-02-26,1,27.964500427246097,1,9964.538130864,0.021851517515281804
24,2015-02-27,1,28.131500244140625,1,10024.044863252166,0.005971850537040968
25,2015-03-02,2,28.750999450683594,0,10234.54506691664,0.020999527290242126
26,2015-03-03,2,28.93950080871582,0,10234.54506691664,0.0
27,2015-03-04,2,28.916500091552734,0,10234.54506691664,0.0
28,2015-03-05,2,29.07150077819824,0,10234.54506691664,0.0
29,2015-03-06,2,28.645000457763672,0,10234.54506691664,0.0
30,2015-03-09,2,28.704999923706055,0,10234.54506691664,0.0
31,2015-03-10,2,27.99250030517578,0,10234.54506691664,0.0
32,2015-03-11,0,27.784500122070312,0,10234.54506691664,0.0
33,2015-03-12,1,28.058500289916992,1,10224.310521849724,-0.0010000000000000009
34,2015-03-13,2,27.649999618530273,0,10065.380434760455,-0.015544332965008234
35,2015-03-16,2,28.082000732421875,0,10065.380434760455,0.0
36,2015-03-17,2,27.88050079345703,0,10065.380434760455,0.0
37,2015-03-18,1,28.308000564575195,1,10055.315054325694,-0.0010000000000000009
38,2015-03-19,2,28.183500289916992,0,10001.0800878792,-0.005393661576338471
39,2015-03-20,1,28.247499465942383,1,9991.07900779132,-0.0010000000000000009
40,2015-03-23,1,28.26849937438965,1,9998.506629648822,0.0007434253949658576
41,2015-03-24,2,28.87700080871582,0,10203.518528741039,0.020504251953415764
42,2015-03-25,1,28.350000381469727,1,10193.315010212298,-0.0009999999999998899
43,2015-03-26,0,28.18199920654297,1,10132.909758887026,-0.005925967289812428
44,2015-03-27,1,27.877500534057617,1,10023.426483858098,-0.010804722200639993
45,2015-03-30,1,28.05699920654297,1,10087.965689781851,0.006438836662062464
46,2015-03-31,0,27.73500061035156,1,9972.19027250988,-0.011476587136813876
47,2015-04-01,1,27.47450065612793,1,9878.526848953705,-0.009392462537981872
48,2015-04-02,0,27.065500259399418,1,9731.46971219682,-0.014886545231433956
49,2015-04-06,1,27.197500228881836,1,9778.930638199212,0.004877056334348762
50,2015-04-07,1,27.243000030517575,1,9795.290208031118,0.0016729405736861658
51,2015-04-08,1,27.441999435424805,1,9866.840952079434,0.007304606859902085
52,2015-04-09,2,27.400999069213867,0,9842.247066575119,-0.0024925795017636254
53,2015-04-10,1,27.427000045776367,1,9832.404819508543,-0.0010000000000000009
54,2015-04-13,0,27.43199920654297,1,9834.1969868011,0.00018227151194993851
55,2015-04-14,0,26.98900032043457,1,9675.384707822748,-0.01614898290033251
56,2015-04-15,1,27.052000045776367,1,9697.969708079594,0.00233427413367715
57,2015-04-16,1,27.176000595092773,1,9742.4231151852,0.0045837848996961306
58,2015-04-17,1,26.636999130249023,1,9549.194523220838,-0.019833730241420433
59,2015-04-20,2,27.226499557495117,0,9750.766144880594,0.021108756468369405
60,2015-04-21,2,27.145999908447266,0,9750.766144880594,0.0
61,2015-04-22,1,27.458999633789062,1,9741.015378735714,-0.0009999999999998899
62,2015-04-23,1,27.87299919128418,1,9887.880745651239,0.015077008012545301
63,2015-04-24,1,28.683000564575195,1,10175.226823048599,0.029060431126633146
64,2015-04-27,1,28.305999755859375,1,10041.486675028871,-0.013143701889454129
65,2015-04-28,0,28.2185001373291,1,10010.446391657146,-0.003091203959759925
66,2015-04-29,1,28.069499969482425,1,9957.588933418112,-0.005280229888957377
67,2015-04-30,0,27.438499450683594,1,9733.742987113277,-0.02247993443007046
68,2015-05-01,1,27.558000564575195,1,9776.13572551303,0.004355235026841875
69,2015-05-04,2,27.642000198364254,0,9796.128463152336,0.0020450552447968118
70,2015-05-05,0,27.152000427246097,0,9796.128463152336,0.0
71,2015-05-06,0,26.753999710083008,0,9796.128463152336,0.0
72,2015-05-07,2,27.10199928283691,0,9796.128463152336,0.0
73,2015-05-08,2,27.447500228881836,0,9796.128463152336,0.0
74,2015-05-11,2,27.288999557495117,0,9796.128463152336,0.0
75,2015-05-12,0,26.936500549316406,0,9796.128463152336,0.0
76,2015-05-13,1,26.97450065612793,1,9786.332334689183,-0.0010000000000000009
77,2015-05-14,1,27.459999084472656,1,9962.47086745833,0.01799842134369345
78,2015-05-15,1,27.324499130249023,1,9913.31156696665,-0.004934448606746411
79,2015-05-18,0,27.333499908447266,1,9916.577043790177,0.00032940322731400684
80,2015-05-19,0,27.464000701904297,1,9963.922651814288,0.004774390176674803
81,2015-05-20,0,27.625499725341797,1,10022.514398710187,0.005880389575809275
82,2015-05-21,2,27.840499877929688,0,10090.415806206625,0.006774887497809523
83,2015-05-22,2,27.72599983215332,0,10090.415806206625,0.0
84,2015-05-26,0,27.35950088500977,0,10090.415806206625,0.0
85,2015-05-27,1,27.712499618530273,1,10080.32539040042,-0.0009999999999998899
86,2015-05-28,2,27.708999633789062,0,10068.973230835803,-0.001126169952353595
87,2015-05-29,1,27.266000747680664,1,10058.904257604967,-0.001000000000000112
88,2015-06-01,0,27.46050071716309,1,10130.658696007424,0.007133424930275911
89,2015-06-02,1,27.697500228881836,1,10218.09195838936,0.008630560460633596
90,2015-06-03,1,27.76449966430664,1,10242.809221199124,0.0024189704800485767
91,2015-06-04,2,27.58449935913086,0,10166.227558436281,-0.007476626881260717
92,2015-06-05,2,27.476499557495117,0,10166.227558436281,0.0
93,2015-06-08,2,27.173999786376953,0,10166.227558436281,0.0
94,2015-06-09,0,27.107999801635746,0,10166.227558436281,0.0
95,2015-06-10,0,27.6299991607666,0,10166.227558436281,0.0
96,2015-06-11,2,27.50200080871582,0,10166.227558436281,0.0
97,2015-06-12,2,27.37350082397461,0,10166.227558436281,0.0
98,2015-06-15,2,27.149999618530273,0,10166.227558436281,0.0
99,2015-06-16,1,27.243499755859375,1,10156.061330877845,-0.0010000000000000009
100,2015-06-17,0,27.329999923706055,1,10188.307592101797,0.003175075472015232
101,2015-06-18,1,27.80900001525879,1,10366.873281198308,0.017526531024145697
102,2015-06-19,2,27.875999450683594,0,10381.458045226007,0.0014068623809795344
103,2015-06-22,2,27.983999252319336,0,10381.458045226007,0.0
104,2015-06-23,1,28.16950035095215,1,10371.076587180782,-0.0009999999999998899
105,2015-06-24,0,27.92849922180176,1,10282.347957390539,-0.008555392397730066
106,2015-06-25,2,27.897499084472656,0,10260.66379933168,-0.002108872229253156
107,2015-06-26,2,27.652999877929688,0,10260.66379933168,0.0
108,2015-06-29,2,27.0625,0,10260.66379933168,0.0
109,2015-06-30,1,27.00200080871582,1,10250.403135532348,-0.0010000000000000009
110,2015-07-01,0,27.165000915527344,1,10312.280654083255,0.006036593657122946
111,2015-07-02,2,27.367000579833984,0,10378.574082355943,0.006428590386204913
112,2015-07-06,2,27.2810001373291,0,10378.574082355943,0.0
113,2015-07-07,2,27.50149917602539,0,10378.574082355943,0.0
114,2015-07-08,1,27.084999084472656,1,10368.195508273588,-0.0009999999999998899
115,2015-07-09,0,27.232500076293945,1,10424.659203033101,0.005445855521769127
116,2015-07-10,1,27.805500030517575,1,10644.004809547383,0.021041033787508656
117,2015-07-13,1,28.58650016784668,1,10942.973330482606,0.028087973115819675
118,2015-07-14,1,29.208999633789062,1,11181.267455823248,0.02177599434304134
119,2015-07-15,0,29.197999954223633,1,11177.056754988183,-0.0003765852888951704
120,2015-07-16,1,30.089000701904297,1,11518.133744548322,0.03051581440775286
121,2015-07-17,0,34.98099899291992,1,13390.801140592941,0.16258427255465535
122,2015-07-20,0,34.641998291015625,1,13261.03094773365,-0.009690995445067463
123,2015-07-21,2,34.76750183105469,0,13295.764896989205,0.0026192495434520513
124,2015-07-22,2,34.755001068115234,0,13295.764896989205,0.0
125,2015-07-23,2,33.73649978637695,0,13295.764896989205,0.0
126,2015-07-24,2,32.73849868774414,0,13295.764896989205,0.0
127,2015-07-27,0,32.91350173950195,0,13295.764896989205,0.0
128,2015-07-28,2,32.983001708984375,0,13295.764896989205,0.0
129,2015-07-29,2,33.07149887084961,0,13295.764896989205,0.0
130,2015-07-30,2,33.22800064086914,0,13295.764896989205,0.0
131,2015-07-31,2,32.875,0,13295.764896989205,0.0
132,2015-08-03,2,33.236000061035156,0,13295.764896989205,0.0
133,2015-08-04,1,33.06399917602539,1,13282.469132092216,-0.0010000000000000009
134,2015-08-05,0,33.66450119018555,1,13523.702790016603,0.018161808284691272
135,2015-08-06,0,33.50749969482422,1,13460.632152229347,-0.004663710728234571
136,2015-08-07,0,33.21950149536133,1,13344.937520914522,-0.008595036994281435
137,2015-08-10,1,33.15700149536133,1,13319.830022080632,-0.0018814249819110174
138,2015-08-11,1,34.51499938964844,1,13865.36491083643,0.04095659538083063
139,2015-08-12,1,34.57350158691406,1,13888.866412430456,0.0016949789453906128
140,2015-08-13,1,34.32550048828125,1,13789.23941571483,-0.007173155371878348
141,2015-08-14,1,34.46849822998047,1,13846.684465842221,0.004165933188593707
142,2015-08-17,1,34.705501556396484,1,13941.893437708108,0.006875940020208748
143,2015-08-18,2,34.436500549316406,0,13819.996527804697,-0.00874321055802374
144,2015-08-19,2,34.70199966430664,0,13819.996527804697,0.0
145,2015-08-20,2,33.9739990234375,0,13819.996527804697,0.0
146,2015-08-21,2,32.201499938964844,0,13819.996527804697,0.0
147,2015-08-24,0,30.905500411987305,0,13819.996527804697,0.0
148,2015-08-25,1,30.62350082397461,1,13806.176531276891,-0.0010000000000000009
149,2015-08-26,2,32.98699951171875,0,14856.855092192804,0.07610206624083626
150,2015-08-27,2,33.39799880981445,0,14856.855092192804,0.0
151,2015-08-28,2,32.984500885009766,0,14856.855092192804,0.0
152,2015-08-31,1,32.39099884033203,1,14841.99823710061,-0.001000000000000112
153,2015-09-01,1,31.47800064086914,1,14423.64998752359,-0.028186787445592998
154,2015-09-02,0,32.24549865722656,1,14775.32806518667,0.02438204462582494
155,2015-09-03,0,31.852500915527344,1,14595.251130287661,-0.012187677600425162
156,2015-09-04,0,31.447999954223633,1,14409.903262993748,-0.01269919000634967
157,2015-09-08,1,32.194000244140625,1,14751.73078867159,0.023721708566614153
158,2015-09-09,0,32.170501708984375,1,14740.96343879508,-0.0007299041740091994
159,2015-09-10,2,32.55400085449219,0,14901.771299149725,0.01090891114561976
160,2015-09-11,2,32.76499938964844,0,14901.771299149725,0.0
161,2015-09-14,1,32.62350082397461,1,14886.869527850575,-0.0010000000000000009
162,2015-09-15,0,33.253501892089844,1,15174.353809627766,0.019311264953277174
163,2015-09-16,0,33.2760009765625,1,15184.620670221539,0.0006765929358558687
164,2015-09-17,1,33.583499908447266,1,15324.939653877573,0.009240861968400127
165,2015-09-18,2,33.04600143432617,0,15064.586811512243,-0.01698883312075261
166,2015-09-21,2,33.3489990234375,0,15064.586811512243,0.0
167,2015-09-22,1,32.65999984741211,1,15049.522224700731,-0.0010000000000000009
168,2015-09-23,1,32.66450119018555,1,15051.596415099579,0.00013782433540932004
169,2015-09-24,2,32.74549865722656,0,15073.830618221747,0.001477198996636897
170,2015-09-25,2,32.00749969482422,0,15073.830618221747,0.0
171,2015-09-28,1,31.212499618530273,1,15058.756787603526,-0.0010000000000000009
172,2015-09-29,0,31.13050079345703,1,15019.195702181385,-0.002627114972379996
173,2015-09-30,0,31.918500900268555,1,15399.37358290567,0.02531279891832483
174,2015-10-01,0,32.099998474121094,1,15486.938752488015,0.005686281270528282
175,2015-10-02,1,32.8494987487793,1,15848.542035988556,0.023348919323546102
176,2015-10-05,1,33.58399963378906,1,16202.908726347281,0.022359576644592094
177,2015-10-06,1,33.582000732421875,1,16201.944338044557,-5.951945536519787e-05
178,2015-10-07,0,33.5,1,16162.382332404572,-0.0024418060459008295
179,2015-10-08,2,33.349998474121094,0,16073.922707394935,-0.005473179831433694
180,2015-10-09,2,33.5620002746582,0,16073.922707394935,0.0
181,2015-10-12,2,33.82149887084961,0,16073.922707394935,0.0
182,2015-10-13,2,34.15850067138672,0,16073.922707394935,0.0
183,2015-10-14,1,34.02050018310547,1,16057.84878468754,-0.0010000000000000009
184,2015-10-15,1,34.6510009765625,1,16355.448359810374,0.018532966595539158
185,2015-10-16,2,34.76599884033203,0,16393.318207337965,0.0023154270488021655
186,2015-10-19,2,34.997501373291016,0,16393.318207337965,0.0
187,2015-10-20,2,34.0,0,16393.318207337965,0.0
188,2015-10-21,1,33.59000015258789,1,16376.924889130627,-0.0010000000000000009
189,2015-10-22,1,34.05699920654297,1,16604.61195061247,0.013902919078108367
190,2015-10-23,1,35.96649932861328,1,17535.59557469328,0.05606777363119719
191,2015-10-26,1,36.555999755859375,1,17823.008619506138,0.016390264225050855
192,2015-10-27,1,36.64099884033203,1,17864.450227595753,0.0023251746646333338
193,2015-10-28,2,36.84600067138672,0,17946.435205010064,0.004589280743029445
194,2015-10-29,2,37.24250030517578,0,17946.435205010064,0.0
195,2015-10-30,2,36.86949920654297,0,17946.435205010064,0.0
196,2015-11-02,2,37.387001037597656,0,17946.435205010064,0.0
197,2015-11-03,2,37.44100189208984,0,17946.435205010064,0.0
198,2015-11-04,2,37.765499114990234,0,17946.435205010064,0.0
199,2015-11-05,2,38.03350067138672,0,17946.435205010064,0.0
200,2015-11-06,2,38.08000183105469,0,17946.435205010064,0.0
201,2015-11-09,2,37.73849868774414,0,17946.435205010064,0.0
202,2015-11-10,2,37.91299819946289,0,17946.435205010064,0.0
203,2015-11-11,2,38.26250076293945,0,17946.435205010064,0.0
204,2015-11-12,2,37.82649993896485,0,17946.435205010064,0.0
205,2015-11-13,2,37.00350189208984,0,17946.435205010064,0.0
206,2015-11-16,2,37.520999908447266,0,17946.435205010064,0.0
207,2015-11-17,1,37.29899978637695,1,17928.488769805055,-0.0009999999999998899
208,2015-11-18,2,38.0004997253418,0,18247.412663563788,0.017788665729364883
209,2015-11-19,2,37.99700164794922,0,18247.412663563788,0.0
210,2015-11-20,1,38.849998474121094,1,18229.165250900223,-0.0010000000000000009
211,2015-11-23,2,38.834999084472656,0,18203.90512202153,-0.0013856986061084875
212,2015-11-24,2,38.48149871826172,0,18203.90512202153,0.0
213,2015-11-25,1,38.4630012512207,1,18185.70121689951,-0.0009999999999998899
214,2015-11-27,1,38.5984992980957,1,18249.766082244983,0.003522815237167798
215,2015-11-30,0,38.14250183105469,1,18034.165806096284,-0.011813865184740924
216,2015-12-01,0,39.18949890136719,1,18529.1967521036,0.027449617095123724
217,2015-12-02,2,38.89250183105469,0,18370.384719704514,-0.008570907553294482
218,2015-12-03,2,38.40999984741211,0,18370.384719704514,0.0
219,2015-12-04,2,38.96049880981445,0,18370.384719704514,0.0
220,2015-12-07,2,38.64950180053711,0,18370.384719704514,0.0
