episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.2523260130843368,0.0023832996857657772,0.71557,0.0,sharpe_ratio,1,0,0.8594835310161297,0.12793469080353592,0.17938745517373428,0.7131752366944106,-0.27256515488295685,0.19048441635040514,0.06428373465623838,0.12581576874486614,0.5109354359754007,-0.19133852667781748
2,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.5851194733862403,0.0002480916186337252,0.4311400000000001,0.0,sharpe_ratio,1,0,1.3417032923481615,0.1810776873160438,0.2155286757104873,0.8401558944262228,-0.33663610590523163,0.5923361877426498,0.1847142594335882,0.22026172178700015,0.8386126192739589,-0.286949326237282
3,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.7767362440994963,0.00015263466466045283,0.14671,0.0,sharpe_ratio,0,1,1.9034811019094589,0.22379742237327638,0.21295064434342867,1.0509356431547348,-0.26310347538116863,0.23130825435444358,0.0878299978777548,0.19586702293530825,0.4484164641985887,-0.2647273545312955
4,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,1.6015384129593269,0.0001565777253034962,0.050000000000000044,0.0,sharpe_ratio,0,2,4.270576764457618,0.351239004156225,0.2068726095709636,1.6978516628405529,-0.1811781011194017,0.23001402516200709,0.08271974984747588,0.1725306567457329,0.4794495738191279,-0.2370677863820828
5,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,1.5155188456745305,0.00018527963798567492,0.050000000000000044,0.0,sharpe_ratio,0,3,4.392390533390313,0.3682382167177034,0.24509044120586004,1.5024585002415791,-0.22409368329431112,0.04150001554624905,0.04410449866474586,0.24589753181776164,0.17936129061040096,-0.43439851584317857
6,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,1.8171193355782522,0.00015944875831786997,0.050000000000000044,0.0,sharpe_ratio,0,4,10.558582699859867,0.5479173970163358,0.223867945831544,2.447502678336238,-0.134414769574008,0.5437152189886996,0.17886520456044774,0.24128098035524226,0.741314977654274,-0.3426581791823121
7,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,1.9422850681625117,0.00014341816104273202,0.050000000000000044,0.0,sharpe_ratio,0,5,7.0079851109477005,0.4451721444641952,0.1906241788051744,2.335339342860483,-0.1398689083358774,0.049041842119802004,0.052284717033642236,0.2682693371076335,0.19489635900007782,-0.4292745032146271
8,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,1.8064229941321641,0.00014280034543041347,0.050000000000000044,0.0,sharpe_ratio,1,0,7.279335765198216,0.4636052795426513,0.2245126366243201,2.064940693375794,-0.15984744402497353,0.7772593170162656,0.24083476767797452,0.269527231218181,0.8935452146689398,-0.1895938749734858
9,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,2.3226701187583636,0.00015416853145805716,0.050000000000000044,0.0,sharpe_ratio,0,1,22.41350639644896,0.7396835300653124,0.21445178870492507,3.449183308436191,-0.13452937715985702,0.31826597877237894,0.11636814169407517,0.2183420131236372,0.5329626672819086,-0.3478401957206444
10,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,2.6301347923506926,0.0001413706550600148,0.050000000000000044,0.0,sharpe_ratio,1,0,10.74190477298251,0.5423796054041619,0.1940624358901781,2.7948716757894347,-0.1172506053319955,0.7911151321339329,0.22792622571241972,0.21698907410490642,1.0504041581477304,-0.1788075830473025
