episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.22753872320240065,0.0029878542362637697,0.71557,0.0,sharpe_ratio,1,0,0.4199539989497991,0.0906158871276117,0.2343921363221165,0.38659951886389915,-0.3481332889601261,0.014345783005785817,0.0996904662850675,0.42133866149486354,0.23660412726279761,-0.754168139197926
2,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.13453356748130163,0.00027521833327825014,0.4311400000000001,0.0,sharpe_ratio,1,0,2.537422033024699,0.2838541764613971,0.2724271233057629,1.0419453577785236,-0.3085288859496955,1.3264228457710816,0.40334676707931383,0.38978092144374177,1.0348037702443835,-0.5000181133665249
3,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,1.0313258514337207,0.00016063782239796124,0.14671,0.0,sharpe_ratio,0,1,2.137989595240475,0.25397194134364764,0.2582773425571254,0.9833303178248184,-0.44230141148223845,0.682858268411719,0.24072511010446673,0.3241307902197067,0.7426789350721515,-0.4118939143077712
4,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,1.5463745922111523,0.000192177942390591,0.050000000000000044,0.0,sharpe_ratio,0,2,4.069000525994528,0.36919439215562466,0.28535840728086787,1.2937918867490739,-0.40131718047204723,1.0151346751667343,0.34701137444393515,0.39953952844670176,0.8685282675108983,-0.6664954258086278
5,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,1.4194239486869964,0.00018804665818711235,0.050000000000000044,0.0,sharpe_ratio,0,3,5.712365246109263,0.3983035678928559,0.17304021643687587,2.301797675098002,-0.09709596035511858,-0.2423399617727049,-0.03448256947001582,0.31522410377506455,-0.10939064956346631,-0.5661663134823509
6,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,1.7956908164375875,0.00019381218063465425,0.050000000000000044,0.0,sharpe_ratio,0,4,5.855776997114751,0.42477922307136784,0.2438908327993295,1.741677693236101,-0.21351725260416665,0.44106580222056113,0.18993754227405768,0.3443103406074152,0.5516463488693929,-0.5508130684180208
7,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,2.2933295736290553,0.0001765855778992125,0.050000000000000044,0.0,sharpe_ratio,0,5,7.938884385479351,0.4951989005269386,0.25782791041389164,1.9206566881451852,-0.30744533288524933,0.5758817614724467,0.2729781417238537,0.4418710378446547,0.6177778544965932,-0.7195269107032501
8,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,2.213271532613616,0.00018647217543393035,0.050000000000000044,0.0,sharpe_ratio,0,6,15.967534115544929,0.6561373898229383,0.23716825475548844,2.7665481221312325,-0.12310026175400612,0.3636645201607791,0.19896282742160043,0.4116521911500951,0.4833275072962149,-0.706263210206904
9,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,2.5458628829769365,0.0001870724609119425,0.050000000000000044,0.0,sharpe_ratio,0,7,10.092167982777081,0.5527949475846667,0.26388193651752917,2.0948570973820546,-0.28675332041932666,-0.014442023694881678,0.0976303130614029,0.4381697809376484,0.22281388929305398,-0.7465356031341219
10,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,2.4646069020625796,0.00019782311030702121,0.050000000000000044,0.0,sharpe_ratio,0,8,19.779427429209665,0.7077498628024566,0.2220150721643276,3.187846013799484,-0.15284645923584683,0.29930210153853465,0.15679502498647135,0.3529579975552392,0.4442313988421026,-0.5558246705212916
11,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,3.2567150170707313,0.00021117493540983188,0.050000000000000044,0.0,sharpe_ratio,0,9,23.50002748931173,0.7607216632555787,0.23444878192990518,3.244724314596853,-0.16543379152920157,0.09107665471034987,0.09942282763829868,0.3658252047047118,0.2717768659995726,-0.61562225996338
12,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,2.853524222738403,0.0002075312838783275,0.050000000000000044,0.0,sharpe_ratio,0,10,16.295922957775456,0.6571481126176988,0.22571815494802155,2.9113657816715146,-0.10977521046382288,-0.01528191763392317,0.07741782466110458,0.39877900336374733,0.1941371637124227,-0.6658811426028415
