episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.28484765825222225,0.0,0.99031,0.0,sharpe_ratio,1,0,0.0,0.0,0.0,0.0,0.0,0.15759539265188005,0.058696610225024815,0.15271788273661058,0.38434667357363556,-0.18020267854882144
2,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.8915463956082151,0.0,0.98062,0.0,sharpe_ratio,0,1,0.0,0.0,0.0,0.0,0.0,0.15759539265188005,0.058696610225024815,0.15271788273661058,0.38434667357363556,-0.18020267854882144
3,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.3251480294268212,0.0,0.97093,0.0,sharpe_ratio,0,2,0.0,0.0,0.0,0.0,0.0,0.15759539265188005,0.058696610225024815,0.15271788273661058,0.38434667357363556,-0.18020267854882144
4,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.5976956388283295,0.0,0.96124,0.0,sharpe_ratio,0,3,0.0,0.0,0.0,0.0,0.0,0.15759539265188005,0.058696610225024815,0.15271788273661058,0.38434667357363556,-0.18020267854882144
5,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.7846565071324019,0.020607415897150833,0.95155,0.0,sharpe_ratio,0,4,0.0,0.0,0.0,0.0,0.0,0.08498896477975637,0.036426103770717644,0.1454757654323675,0.2503929342626648,-0.15722273544191212
6,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.5436555526578828,0.012153039211589917,0.94186,0.0,sharpe_ratio,0,5,-0.18233633081183276,-0.5896902170260324,0.4916419752233415,-1.1994301681790898,-0.18233633081183276,-0.0621552414364015,0.006221827136259739,0.23023810470401274,0.027023446636942807,-0.4528976717673471
7,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.5190132064272036,0.009944832527681309,0.9321699999999999,0.0,sharpe_ratio,1,0,-0.0997697444361626,-0.3316126848072435,0.5032259711642701,-0.6589737092464049,-0.20874261560074192,0.29937626917762494,0.08979604174409883,0.09335411176383539,0.9618863063178442,-0.073257014429154
8,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.6327028088623879,0.01030397686340353,0.92248,0.0,sharpe_ratio,0,1,-0.1131277654876709,-0.44364793389140245,0.18881237129534548,-2.3496761936082895,-0.1131277654876709,0.286575801969954,0.09653639421643834,0.16677873398510332,0.5788291583090023,-0.20456746600846598
9,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.6473525809590025,0.010878626741103683,0.91279,0.0,sharpe_ratio,0,2,0.0,0.0,0.0,0.0,0.0,-0.0017019667509743375,0.029904429452953796,0.245571840479714,0.12177466844136844,-0.3347016071127492
10,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.4225833687333099,0.009522656535766288,0.9031,0.0,sharpe_ratio,0,3,-0.09666648704342229,-0.3948958041175621,0.13898452952825704,-2.841293239311758,-0.09666648704342229,-0.1871497363227218,-0.014805107261075978,0.3160949321999446,-0.046837534401567266,-0.44375988554291657
11,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.023871385166014725,0.0036485934739603717,0.89341,0.0,sharpe_ratio,0,4,0.07794119549302314,0.5268187399303654,0.30506006985520007,1.726934436815757,-0.05861673355102537,-0.32364830953611423,-0.08554211020059199,0.25537968279910234,-0.3349605155077461,-0.4987665010257313
12,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.1398926358794409,0.0031754448827283053,0.8837200000000001,0.0,sharpe_ratio,0,5,-0.08299166764847121,-0.34438100689304163,0.16712471709741472,-2.0606228263190216,-0.08299166764847121,-0.010667589680159795,0.014333451401306263,0.18755085489487944,0.07642434586256636,-0.3412072198496693
13,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.5190290604781531,0.002890423702660437,0.87403,0.0,sharpe_ratio,0,6,0.1407442226001714,1.122124945628212,0.434000691629403,2.5855372290199123,-0.11203811003448272,-0.5960385923381113,-0.20691005850807564,0.31911062692573827,-0.6483960139510698,-0.6856837939657373
14,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.3743162628389227,0.002840496156839471,0.86434,0.0,sharpe_ratio,0,7,0.13233415568894302,1.1762251008214926,0.5650111527145655,2.081773244953454,-0.1522000274658203,-0.3966351918900002,-0.07507644582167894,0.4059928061555128,-0.184920630817585,-0.675023061336703
15,44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,0.23708762829731078,0.002756616995469028,0.85465,0.0,sharpe_ratio,0,8,0.920993090810327,38.03784872873829,0.8933973337414783,42.57663112720378,-0.19596279124671379,-0.16170775200711074,0.030095385095107785,0.42072975394692913,0.07153139233148702,-0.5640077075815835
