episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,0.4003311671987225,0.0016898236682932177,0.71557,0.0,sharpe_ratio,1,0,0.8606032456464203,0.14221470543582448,0.2386270255985398,0.5959706578880256,-0.2914443454551101,0.371673721366802,0.14466895987191886,0.2678026332564695,0.5402073837465673,-0.3593406141323
2,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,0.8750441044899568,0.0001682417471649725,0.4311400000000001,0.0,sharpe_ratio,0,1,2.69412342741817,0.29155285073583315,0.26775670778868665,1.0888722569965508,-0.26584111967256774,-0.30412798650117145,-0.05783479827514659,0.32394911925424735,-0.1785305001238657,-0.5160442286116382
3,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,1.2226036915347702,0.00014596035722563817,0.14671,0.0,sharpe_ratio,0,2,4.989392840124676,0.38864741726818464,0.23305777477098769,1.6676011673503957,-0.21930765489676007,-0.1882209039978614,-0.02244102687310423,0.2878313885676296,-0.07796587781749673,-0.3372439315090634
4,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,2.3876666189520135,0.00017106402914907501,0.050000000000000044,0.0,sharpe_ratio,0,3,1.9965743580165158,0.23148196116870134,0.21751887067583428,1.0641925477522183,-0.21671019590716378,-0.26976413907087604,-0.06371311555084336,0.2502343050676258,-0.25461383295797474,-0.47358457765600304
5,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,2.697702245831482,0.0001608435995293546,0.050000000000000044,0.0,sharpe_ratio,0,4,15.103965043235132,0.6458625207017878,0.24711348694211183,2.6136271584929154,-0.21671019590716378,0.018156810523600075,0.05782251672950567,0.3151987159853258,0.18344781814465774,-0.41892205049910436
6,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,2.8851325343488234,0.00016516158601544262,0.050000000000000044,0.0,sharpe_ratio,0,5,7.898039376434658,0.46369149765394146,0.16164637941716842,2.8685548004590378,-0.08400612924588935,-0.007436907622927369,0.03397526354992242,0.26413728052138497,0.12862729366660428,-0.34880630202052776
7,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,3.027808534156547,0.0001684836864764379,0.050000000000000044,0.0,sharpe_ratio,0,6,23.452389418242912,0.7660922561486538,0.24833352356540117,3.0849328964919054,-0.23246800266555911,-0.24367533492001303,-0.030474627933488985,0.3316995028168993,-0.09187420443711432,-0.5732192441988586
8,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,3.334259289648972,0.00015850168676531618,0.050000000000000044,0.0,sharpe_ratio,0,7,40.90262507198209,0.9372324492260242,0.2554690576465692,3.668673059117188,-0.2167101959071639,-0.009942497146924634,0.04006914297775599,0.28802133859664736,0.13911866104431195,-0.413345732929844
9,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,3.1747050639630308,0.00016129826409374404,0.050000000000000044,0.0,sharpe_ratio,0,8,23.87144365302619,0.763114972174405,0.22758852489840192,3.3530467870252605,-0.2285598468401765,0.057067114202880465,0.058311193137645656,0.27906194870770384,0.20895429637640134,-0.299092398070829
10,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,3.3712826736457657,0.00017241678311108937,0.050000000000000044,0.0,sharpe_ratio,0,9,29.283957301827137,0.8218992094655126,0.22660532747067105,3.627007443467493,-0.16103192978192526,-0.16926685632382754,-0.012021448479917152,0.2993691709405739,-0.040155933365307886,-0.4702550895121158
11,45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,3.8849001378479113,0.00017995092705567632,0.050000000000000044,0.0,sharpe_ratio,0,10,36.36479857554132,0.8954624586578614,0.24552166691067437,3.6471830365327733,-0.21671019590716378,-0.349623219979581,-0.07974308730247404,0.31621162665813224,-0.25218265420925573,-0.5693182536779244
