step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,77.83000183105469,1,9990.0,-0.0010000000000000009
1,2015-01-26,0,77.5,1,9947.642063283096,-0.004240033705395829
2,2015-01-27,0,75.77999877929688,1,9726.868431128712,-0.022193564138104915
3,2015-01-28,1,76.23999786376953,1,9785.912382635448,0.006070191236243971
4,2015-01-29,1,78.0,1,10011.820399175245,0.023085023420060358
5,2015-01-30,0,75.91000366210938,1,9743.555425202234,-0.026794824844751597
6,2015-02-02,0,74.98999786376953,1,9625.466542905075,-0.01211969113366107
7,2015-02-03,2,75.4000015258789,0,9668.415155144416,0.00446197719849728
8,2015-02-04,1,75.62999725341797,1,9658.746739989272,-0.0009999999999998899
9,2015-02-05,0,75.61000061035156,1,9656.192958182548,-0.0002644009492609456
10,2015-02-06,0,74.47000122070312,1,9510.603036349528,-0.015077362524083426
11,2015-02-09,1,74.44000244140625,1,9506.771876462448,-0.00040283038545907424
12,2015-02-10,2,75.19000244140625,0,9592.952216284377,0.009065152813364508
13,2015-02-11,1,76.51000213623047,1,9583.359264068093,-0.0010000000000000009
14,2015-02-12,0,76.2300033569336,1,9548.287654859083,-0.0036596362760298318
15,2015-02-13,0,75.73999786376953,1,9486.911383113635,-0.006427987296153015
16,2015-02-17,0,75.5999984741211,1,9469.375578509129,-0.0018484208291139614
17,2015-02-18,1,76.70999908447266,1,9608.41014046605,0.01468254805231961
18,2015-02-19,1,79.41999816894531,1,9947.854580495661,0.035327846653842476
19,2015-02-20,0,79.9000015258789,1,10007.978021732308,0.006043860085623631
20,2015-02-23,0,78.83999633789062,1,9875.205701060037,-0.013266647906695628
21,2015-02-24,0,78.44999694824219,1,9826.355823143245,-0.004946720037593444
22,2015-02-25,0,79.55999755859375,1,9965.390385100167,0.014149147909896076
23,2015-02-26,2,80.41000366210938,0,10061.787139866812,0.009673153889763642
24,2015-02-27,0,78.97000122070312,0,10061.787139866812,0.0
25,2015-03-02,2,79.75,0,10061.787139866812,0.0
26,2015-03-03,2,79.5999984741211,0,10061.787139866812,0.0
27,2015-03-04,1,80.9000015258789,1,10051.725352726946,-0.0010000000000000009
28,2015-03-05,2,81.20999908447266,0,10080.151924654416,0.002828029112410757
29,2015-03-06,0,80.01000213623047,0,10080.151924654416,0.0
30,2015-03-09,0,79.44000244140625,0,10080.151924654416,0.0
31,2015-03-10,1,77.55000305175781,1,10070.071772729762,-0.0010000000000000009
