episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,1.320596616545122,0.0010286799356202746,0.71557,0.0,sharpe_ratio,1,0,2.0278996571277292,0.2733868962615915,0.3311757010699005,0.8255040915694728,-0.521308801547949,0.8768545944067179,0.272619287087595,0.2990663085391592,0.9115680345915618,-0.4154467456316413
2,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,0.3552975864577508,0.00020442301365832284,0.4311400000000001,0.0,sharpe_ratio,1,0,5.6137421789236965,0.43063323712862456,0.2841227375048459,1.5156591862743116,-0.22950372347970982,1.082291174583213,0.304526312922093,0.27256095792522766,1.1172778201257807,-0.3117499514205696
3,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,0.8740715205992126,0.00022500451458245548,0.14671,0.0,sharpe_ratio,0,1,7.547756439769483,0.5037115795350742,0.3043664130274083,1.6549512626076608,-0.4344287635269992,0.6962670536178635,0.21615940543169265,0.2492124437952434,0.867370032329896,-0.4166923776891114
4,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,2.0216263831576144,0.0002693168404031515,0.050000000000000044,0.0,sharpe_ratio,0,2,10.823877932447758,0.5831733013930951,0.2940918002057178,1.982963486180724,-0.4127292665088459,0.38650839593934627,0.143367175901282,0.25345417869490633,0.5656532342039593,-0.33459933357972305
5,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,1.9716603243002386,0.00028566276091304915,0.050000000000000044,0.0,sharpe_ratio,1,0,5.696796766861234,0.44455242558105335,0.3071457349041518,1.4473664292287203,-0.3182056330111539,2.367715909400147,0.49609496919789864,0.21902927377303844,2.264971072825453,-0.2287607180214617
6,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,2.783198814910757,0.00023948561829092066,0.050000000000000044,0.0,sharpe_ratio,0,1,11.28457923779121,0.595101319238059,0.2979954426374595,1.9970148334183009,-0.32197646425095283,0.9208789565790503,0.2703102221736988,0.26769822378931746,1.009757249590259,-0.3724837355475584
7,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,2.2498952878985965,0.00023607087472872715,0.050000000000000044,0.0,sharpe_ratio,0,2,15.984782217237004,0.6989334555730788,0.32501592992131006,2.150459073628478,-0.4427337629783432,1.2663116867750692,0.3456608339334164,0.2893627547429301,1.1945588306293997,-0.31130819041651214
8,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,2.9420722122050265,0.00023023594696524677,0.050000000000000044,0.0,sharpe_ratio,0,3,21.74357618200825,0.7564674095832815,0.27207615495957865,2.7803517353281735,-0.37616839666602664,0.032133868013892286,0.038015368501288505,0.2348108771623721,0.16189781734429967,-0.29154401436462607
9,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,3.4493371967904416,0.00023732142748918356,0.050000000000000044,0.0,sharpe_ratio,0,4,18.495126103390795,0.7298071034712286,0.30875901489456564,2.363678688767813,-0.3226252823076261,0.8365376463796821,0.26123291748629085,0.29220515783627843,0.8940051552158391,-0.4322066046070694
10,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,3.188298032585947,0.00024343407459360465,0.050000000000000044,0.0,sharpe_ratio,0,5,21.91021709858701,0.7691903729681622,0.2934708609182438,2.6210110624320078,-0.34994529544992836,0.42036754447661906,0.1506613950627269,0.24897864328919708,0.6051177445277048,-0.42491241053557227
11,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,3.236333659552834,0.0002495926923258355,0.050000000000000044,0.0,sharpe_ratio,0,6,24.18461209478335,0.7985197420343944,0.29665318197848095,2.691761931251823,-0.21422053207138914,0.6173974049997357,0.20055742176216085,0.25650986825425265,0.7818701990964663,-0.3920886757772175
12,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,3.6229357708197547,0.00025391970135903164,0.050000000000000044,0.0,sharpe_ratio,0,7,20.520876295624042,0.7503480018695643,0.29423116400410404,2.5501989376594323,-0.2228919866819722,1.1037912961575733,0.31702139108059924,0.29480960040986226,1.0753428336114454,-0.35523898204616755
13,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,3.4832720826922836,0.0002507432179185114,0.050000000000000044,0.0,sharpe_ratio,0,8,32.953891309882565,0.8848718005713567,0.28508332324835756,3.1039058703566402,-0.1685256822367971,1.022641463153211,0.28230588030446957,0.2405010874879903,1.173823716362891,-0.4077781201594889
14,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,3.712778122589506,0.00023134218046485844,0.050000000000000044,0.0,sharpe_ratio,0,9,35.201141603457756,0.909351165407333,0.2924186746100112,3.109757496234136,-0.15858851805007035,0.5614291450122553,0.18486924027314489,0.24786863264874293,0.7458355593348711,-0.21078086921328054
15,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,3.685665582172655,0.00024948821485284577,0.050000000000000044,0.0,sharpe_ratio,0,10,39.027574504697945,0.9434561616495651,0.29503699984782206,3.1977554074105723,-0.15858851805007046,1.1571645121120389,0.32318886133423197,0.28431614093593516,1.1367235791479597,-0.29841005663368725
