episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,0.6448550279185996,0.0009023768322829431,0.71557,0.0,sharpe_ratio,1,0,0.5755930747320923,0.12557886361145343,0.28801919377981927,0.4360086630457487,-0.39902501332426277,0.02528858094913966,0.052065138386501175,0.2931331460955177,0.1776160051498772,-0.5086267532293645
2,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,0.88065962880561,0.00020008478909856113,0.4311400000000001,0.0,sharpe_ratio,1,0,0.9929940891516362,0.16332075703618276,0.26440313728113624,0.6176959877088222,-0.3463070550512569,0.24713847138324163,0.10969920809399558,0.2653345000461156,0.41343740853499894,-0.4887698778899352
3,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,1.1655473597746737,0.00022718538179155781,0.14671,0.0,sharpe_ratio,1,0,3.1348054303727144,0.3215146861215443,0.2814284306556547,1.1424385424475385,-0.34741244715152586,0.7239341380783932,0.240601481250017,0.3026143419337415,0.79507626675109,-0.45443274851961246
4,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,1.3412129300528322,0.00022484543761391653,0.050000000000000044,0.0,sharpe_ratio,0,1,5.881323497492693,0.42506478197574515,0.24287073305804693,1.7501688104764488,-0.3224575704298579,-0.0872532783440686,0.010510254876320735,0.2790355662312288,0.03766636281631276,-0.5452266037664197
5,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,1.6473329297777999,0.00021890359710908662,0.050000000000000044,0.0,sharpe_ratio,0,2,9.45168028624422,0.5594973952527846,0.31642023062838753,1.7682099344332807,-0.37732688849678175,0.33223382587360195,0.14587611988073035,0.30534068857709795,0.4777487093532145,-0.5061319995280724
6,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,2.739976942911359,0.00023584636004289218,0.050000000000000044,0.0,sharpe_ratio,0,3,6.622758285616422,0.46754043748275786,0.29134863741851025,1.6047455777565742,-0.3463996473091281,-0.2077581566140586,-0.040244039196668746,0.2514091194417622,-0.16007390378689546,-0.46432079037483787
7,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,2.248483953705605,0.00022855980387127055,0.050000000000000044,0.0,sharpe_ratio,0,4,7.735628948650749,0.49266782520590313,0.27055668355513635,1.82094124873283,-0.3314239334657749,-0.19665758671917122,-0.03051666121409291,0.27331519084524064,-0.11165373252660651,-0.4434438774589923
8,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,2.987432957348939,0.00023550687600179147,0.050000000000000044,0.0,sharpe_ratio,0,5,9.029450116290992,0.5502917993773084,0.31973622557778897,1.7210805512665543,-0.3303297184322558,0.20926118805896698,0.12395763508101143,0.3396460794350152,0.3649611833800907,-0.5672275164750318
9,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,2.9853291901719166,0.000256021651738378,0.050000000000000044,0.0,sharpe_ratio,0,6,15.98465928201654,0.6546384398226512,0.2355093580690646,2.7796706049815416,-0.13940039532351867,-0.23770674288564042,-0.05456692667145191,0.23954523004304012,-0.22779383526713362,-0.49850171762104123
10,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,3.0134857662366406,0.0002457320121405525,0.050000000000000044,0.0,sharpe_ratio,0,7,14.97631870523807,0.6488522030135022,0.2622695690752706,2.473989663769507,-0.2410112045091446,0.0586976836260551,0.0505962709113712,0.2515142946159446,0.20116658175882335,-0.3723504855123768
11,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,3.0058194619050624,0.0002469545999353219,0.050000000000000044,0.0,sharpe_ratio,0,8,20.181898734869215,0.7265333014569126,0.2574625935381424,2.8218984803680955,-0.13750199377103478,0.21652430339930717,0.10307467798673686,0.2723500644676722,0.378463938270783,-0.4916994626840584
12,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,3.034261435951133,0.00025531793176212066,0.050000000000000044,0.0,sharpe_ratio,0,9,17.0915104781986,0.6748103941216819,0.2418007381446248,2.7907706126110634,-0.12199155488862934,-0.3924906658851297,-0.12224921147026668,0.22435323854613948,-0.5448961301493558,-0.501505459026829
13,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,3.1148365729062863,0.0002699192063433072,0.050000000000000044,0.0,sharpe_ratio,0,10,18.133690776954147,0.6901438938260944,0.2405981614321288,2.868450405930386,-0.1602567814973178,-0.0539172753803997,0.012260541075355125,0.2428257585612675,0.05049110583654024,-0.48812269140002396
