episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,0.31738299186497665,0.0013520813535577848,0.71557,0.0,sharpe_ratio,1,0,-0.31012778066608093,-0.046487032957078234,0.17199854439598003,-0.2702757347181639,-0.46289673736172876,0.10276228020016309,0.03866875638058764,0.12139796595586892,0.3185288655877864,-0.15055715542966097
2,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,-0.0932055114754522,0.00014729791806954623,0.4311400000000001,0.0,sharpe_ratio,0,1,-0.08676612802974393,-0.006513616121406329,0.1321018244678356,-0.04930754096429816,-0.27990999688118223,-0.15506334670885702,-0.04562899462116554,0.10863375539262914,-0.42002593444598435,-0.1935943532072475
3,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,-0.35833235993912094,0.00012383627444255286,0.14671,0.0,sharpe_ratio,0,2,-0.053601357141331296,-0.0007401090501333307,0.13038288871540296,-0.005676427769205399,-0.2203852827584757,-0.24005561854004742,-0.07847584747323133,0.08917279990091795,-0.8800424295348777,-0.24573564811657933
4,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,0.16371678033404924,0.00010480407801712288,0.050000000000000044,0.0,sharpe_ratio,1,0,0.16389247158862452,0.041369669655308305,0.17237384964816893,0.23999968521761075,-0.37535338922174544,0.23992374616017997,0.08144477032849351,0.14905238978671317,0.5464170715077905,-0.1545205153132858
5,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,0.5928895788848536,9.437524150794857e-05,0.050000000000000044,0.0,sharpe_ratio,0,1,0.6110671194824937,0.0947896805666335,0.14276969993326774,0.6639341583749166,-0.225087674286092,-0.2771341348185673,-0.08952453894004708,0.1226463398023692,-0.7299405680129208,-0.3032856336983111
6,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,0.630281448922988,8.567044209589673e-05,0.050000000000000044,0.0,sharpe_ratio,0,2,1.7625894940333517,0.1981306081027141,0.13848828304690386,1.4306669397844314,-0.19359472701438896,0.0743864468134603,0.02942186215518272,0.11480838544145312,0.2562692789559913,-0.136950742327139
7,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,0.9562969225120348,7.415914796272952e-05,0.050000000000000044,0.0,sharpe_ratio,0,3,1.8377112365772343,0.2075189538280715,0.16001057571368557,1.2969077381447267,-0.28131695020318515,0.03270612075954382,0.018420095674105186,0.12796160510918791,0.14395017676112742,-0.20362341925909344
8,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,1.1458190932940764,7.97873038202535e-05,0.050000000000000044,0.0,sharpe_ratio,0,4,0.7359216774346198,0.1109665269255804,0.15662944510865265,0.7084653006885376,-0.3625254151299755,-0.15295821178946534,-0.04509661775360485,0.10651300687346228,-0.4233907114009066,-0.20978184740796124
9,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,1.0167459366706968,7.818995630708427e-05,0.050000000000000044,0.0,sharpe_ratio,0,5,2.7282626135646466,0.2628026184475021,0.15264354686175802,1.721675261421368,-0.19101879029647195,0.1565276961678026,0.054040809711629834,0.12007913528249169,0.45004329506950846,-0.18623478890762502
10,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,1.1233094091373816,6.708756351295656e-05,0.050000000000000044,0.0,sharpe_ratio,0,6,2.1170423731899906,0.2238859833377651,0.1453015912610195,1.5408364175143598,-0.20389993365111148,0.01985998613421991,0.013059807149403024,0.11682479480924439,0.1117896861768731,-0.1555961988119372
11,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,0.9989738757038152,6.897839323955644e-05,0.050000000000000044,0.0,sharpe_ratio,0,7,2.265470143761403,0.23012258946092579,0.1252044708283158,1.8379742187998778,-0.10297777362130123,0.06376737847322289,0.02682494529371704,0.11961967209189588,0.22425195475464277,-0.16378640452380067
12,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,1.065901105820529,7.998492447922222e-05,0.050000000000000044,0.0,sharpe_ratio,0,8,2.685491348083777,0.25801113100265405,0.14054779456715277,1.8357536793604976,-0.09805311866452993,0.10094584423437336,0.04030145610997349,0.13758905816453043,0.2929117812681048,-0.15984795533675245
13,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,1.2764024235780782,6.980535593028081e-05,0.050000000000000044,0.0,sharpe_ratio,0,9,2.2925480307460777,0.23729472799809104,0.15658110800295796,1.5154748297834775,-0.1644699573118681,-0.012023603638372293,0.007310684972859693,0.14840731947831662,0.049260946148467,-0.24064416812223655
14,46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,1.315472118111821,7.519877052239675e-05,0.050000000000000044,0.0,sharpe_ratio,0,10,1.9252653803899156,0.20456581849298106,0.10362402949516458,1.974115651452511,-0.11056769299809044,0.012351734067278075,0.007704642562124997,0.08743670891019455,0.08811679508704251,-0.13032297728258369
