step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,28.2450008392334,0,10000.0,0.0
1,2015-01-26,2,28.274999618530273,0,10000.0,0.0
2,2015-01-27,2,27.28499984741211,0,10000.0,0.0
3,2015-01-28,1,28.82749938964844,1,9990.0,-0.0
4,2015-01-29,1,29.725000381469727,1,10301.02367871402,5157.859552370575
5,2015-01-30,0,29.290000915527344,1,10150.277177741935,-5.897015231636806
6,2015-02-02,0,29.657499313354492,1,10277.631581419819,3.3511117854530608
7,2015-02-03,0,29.662500381469727,1,10279.364672098129,0.008415756803903163
8,2015-02-04,1,29.88999938964844,1,10358.203112470153,1.9288488060879838
9,2015-02-05,0,29.98500061035156,1,10391.125225553778,0.7919095712711035
10,2015-02-06,0,29.732500076293945,1,10303.62265375106,-2.655213715153081
11,2015-02-09,0,29.93000030517578,1,10372.065193974926,1.6259179313570444
12,2015-02-10,1,30.5049991607666,1,10571.32765825287,3.876640571672983
13,2015-02-11,1,31.219999313354492,1,10819.106746817102,3.6007052834224065
14,2015-02-12,1,31.614999771118164,1,10955.99182726484,2.073371502022104
15,2015-02-13,0,31.770000457763672,1,11009.706401625202,0.8520089657719012
16,2015-02-17,0,31.957500457763672,1,11074.683421472877,1.0167455451141856
17,2015-02-18,0,32.18000030517578,1,11151.789432147016,1.1770051645912656
18,2015-02-19,0,32.11249923706055,1,11128.397334852814,-0.5796611547720578
19,2015-02-20,1,32.375,1,11219.36542703173,1.3511153513575083
20,2015-02-23,1,33.25,1,11522.591519654208,2.315804128109534
21,2015-02-24,0,33.04249954223633,1,11450.683459054146,-1.4822532772139496
22,2015-02-25,0,32.1974983215332,1,11157.853266579821,-7.407567714729419
23,2015-02-26,1,32.60499954223633,1,11299.070412742907,1.6911079971767224
24,2015-02-27,0,32.1150016784668,1,11129.264541172395,-3.1189665273670064
25,2015-03-02,0,32.272499084472656,1,11183.844338911062,0.6659557970913375
26,2015-03-03,0,32.34000015258789,1,11207.236436205263,0.24887274880309074
27,2015-03-04,0,32.1349983215332,1,11136.19425996393,-1.1874742356317993
28,2015-03-05,2,31.602500915527344,0,10940.708762107386,-3.465424510984702
29,2015-03-06,2,31.649999618530273,0,10940.708762107386,-0.05721404307203474
30,2015-03-09,2,31.78499984741211,0,10940.708762107386,-0.05691635501298482
31,2015-03-10,2,31.127500534057617,0,10940.708762107386,-0.05662032561892778
32,2015-03-11,1,30.559999465942383,1,10929.768053345279,-0.21411417099736482
33,2015-03-12,2,31.112499237060547,0,11116.24194232482,2.242508287537155
34,2015-03-13,1,30.897499084472656,1,11105.125700382494,-0.22199078176536294
35,2015-03-16,2,31.237499237060547,0,11216.100639411385,1.3296792168920926
36,2015-03-17,2,31.760000228881836,0,11216.100639411385,-0.07246496426710021
37,2015-03-18,2,32.11750030517578,0,11216.100639411385,-0.07207990738721273
38,2015-03-19,2,31.875,0,11216.100639411385,-0.07169711792101974
39,2015-03-20,2,31.475000381469727,0,11216.100639411385,-0.07131657918127161
40,2015-03-23,2,31.802499771118164,0,11216.100639411385,-0.07093827465107384
41,2015-03-24,2,31.67250061035156,0,11216.100639411385,-0.07056218798155066
42,2015-03-25,2,30.844999313354492,0,11216.100639411385,-0.07018830298954738
43,2015-03-26,2,31.059999465942383,0,11216.100639411385,-0.0698166036553712
44,2015-03-27,2,30.8125,0,11216.100639411385,-0.06944707412056887
45,2015-03-30,2,31.592500686645508,0,11216.100639411385,-0.06907969868574139
46,2015-03-31,2,31.107500076293945,0,11216.100639411385,-0.0687144618083946
47,2015-04-01,2,31.0625,0,11216.100639411385,-0.06835134810082491
48,2015-04-02,2,31.329999923706055,0,11216.100639411385,-0.06799034232803985
49,2015-04-06,2,31.837499618530273,0,11216.100639411385,-0.0676314294057125
50,2015-04-07,2,31.502500534057617,0,11216.100639411385,-0.06727459439816938
51,2015-04-08,2,31.399999618530273,0,11216.100639411385,-0.06691982251641093
52,2015-04-09,2,31.63999938964844,0,11216.100639411385,-0.06656709911616429
53,2015-04-10,2,31.774999618530273,0,11216.100639411385,-0.06621640969596745
54,2015-04-13,2,31.712499618530273,0,11216.100639411385,-0.06586773989528454
55,2015-04-14,2,31.575000762939453,0,11216.100639411385,-0.06552107549265124
56,2015-04-15,2,31.69499969482422,0,11216.100639411385,-0.06517640240385032
57,2015-04-16,2,31.542499542236328,0,11216.100639411385,-0.06483370668011622
58,2015-04-17,2,31.1875,0,11216.100639411385,-0.06449297450636848
59,2015-04-20,2,31.899999618530273,0,11216.100639411385,-0.06415419219947341
60,2015-04-21,2,31.727500915527344,0,11216.100639411385,-0.06381734620653333
61,2015-04-22,1,32.154998779296875,1,11204.884538771974,-0.23911483312711163
62,2015-04-23,1,32.41749954223633,1,11296.356809079442,1.2415624719708436
63,2015-04-24,1,32.56999969482422,1,11349.497741026626,0.7083067804945904
64,2015-04-27,1,33.162498474121094,1,11555.962697127303,2.422522019174264
65,2015-04-28,0,32.63999938964844,1,11373.890169203598,-3.327361533135196
66,2015-04-29,0,32.15999984741211,1,11206.627234866797,-2.838190510427761
67,2015-04-30,2,31.287500381469727,0,10891.689309512996,-5.518164778472914
68,2015-05-01,2,32.23749923706055,0,10891.689309512996,-0.028010088922715365
69,2015-05-04,2,32.17499923706055,0,10891.689309512996,-0.02786838285133105
70,2015-05-05,2,31.450000762939453,0,10891.689309512996,-0.02772740669727827
71,2015-05-06,2,31.252500534057617,0,10891.689309512996,-0.0275871565059535
72,2015-05-07,2,31.315000534057617,0,10891.689309512996,-0.02744762834706446
73,2015-05-08,2,31.905000686645508,0,10891.689309512996,-0.027308818314439563
74,2015-05-11,2,31.579999923706055,0,10891.689309512996,-0.027170722525839342
75,2015-05-12,2,31.467500686645508,0,10891.689309512996,-0.027033337122769924
76,2015-05-13,2,31.502500534057617,0,10891.689309512996,-0.026896658270298412
77,2015-05-14,2,32.23749923706055,0,10891.689309512996,-0.026760682156870247
78,2015-05-15,2,32.192501068115234,0,10891.689309512996,-0.026625404994128514
79,2015-05-18,2,32.54750061035156,0,10891.689309512996,-0.02649082301673507
80,2015-05-19,2,32.51750183105469,0,10891.689309512996,-0.02635693248219358
81,2015-05-20,2,32.51499938964844,0,10891.689309512996,-0.026223729670674413
82,2015-05-21,2,32.84749984741211,0,10891.689309512996,-0.026091210884841294
83,2015-05-22,2,33.1349983215332,0,10891.689309512996,-0.025959372449679798
84,2015-05-26,2,32.404998779296875,0,10891.689309512996,-0.02582821071232762
85,2015-05-27,1,33.0099983215332,1,10880.797620203482,-0.18275059526871584
86,2015-05-28,0,32.94499969482422,1,10859.372690219458,-0.3365738729129911
87,2015-05-29,0,32.56999969482422,1,10735.764713392793,-1.893136316484258
88,2015-06-01,0,32.6349983215332,1,10757.189643376818,0.295846338616047
89,2015-06-02,0,32.4900016784668,1,10709.39566552056,-0.7178600198154826
90,2015-06-03,0,32.529998779296875,1,10722.579560753995,0.18106597435576396
91,2015-06-04,0,32.34000015258789,1,10659.95197182775,-0.9435753374929676
92,2015-06-05,0,32.162498474121094,1,10601.443642871434,-0.8787713253436156
93,2015-06-08,2,31.950000762939453,0,10520.868477235765,-1.2074526176925748
94,2015-06-09,2,31.854999542236328,0,10520.868477235765,0.0026723585113644114
95,2015-06-10,2,32.220001220703125,0,10520.868477235765,0.0026589620069789096
96,2015-06-11,2,32.147499084472656,0,10520.868477235765,0.002645632670461299
97,2015-06-12,1,31.792499542236328,1,10510.34760875853,-0.15713526399106767
98,2015-06-15,2,31.729999542236328,0,10479.195920007342,-0.47187696672101703
99,2015-06-16,1,31.899999618530273,1,10468.716724087335,-0.1553279019734335
100,2015-06-17,2,31.825000762939453,0,10433.660024873692,-0.5342196342556669
101,2015-06-18,2,31.969999313354492,0,10433.660024873692,0.009255245358837077
102,2015-06-19,1,31.649999618530273,1,10423.226364848819,-0.1540506148460279
103,2015-06-22,2,31.90250015258789,0,10495.875441333688,1.1683726839000144
104,2015-06-23,2,31.75749969482422,0,10495.875441333688,0.004148970416165743
105,2015-06-24,2,32.02750015258789,0,10495.875441333688,0.004128169177870992
106,2015-06-25,2,31.875,0,10495.875441333688,0.004107472270885627
