episode,run_name,state_mode,reward_mode,sentiment_imputation_mode,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,both_decay,price_sentiment,differential_sharpe,decay,2029.2846440917483,5509.901957490983,0.71557,0.0,0.0,0.0,0.0,0.0
2,both_decay,price_sentiment,differential_sharpe,decay,5814.849822620329,18347.74897458745,0.4311400000000001,-0.11017951963119987,-0.030679450365606487,0.23385985955644517,-0.13118732912862968,-0.42321187064393306
3,both_decay,price_sentiment,differential_sharpe,decay,-355.29958510813657,7966.842148336157,0.14671,-0.07063003270479418,-0.035607449048246864,0.03168769932280636,-1.1236994104718538,-0.07063003270479418
4,both_decay,price_sentiment,differential_sharpe,decay,16542.13937130761,61271.642573621524,0.050000000000000044,-0.19526990902328145,-0.0681465318435941,0.2772531602920642,-0.2457917225246671,-0.4592868644301773
5,both_decay,price_sentiment,differential_sharpe,decay,-354.7349863092471,63391.71596529831,0.050000000000000044,-0.39121566129415897,-0.20635690879184976,0.18971113085521754,-1.0877427584854567,-0.4143277868088493
6,both_decay,price_sentiment,differential_sharpe,decay,2980.1363266478124,25681.84946590083,0.050000000000000044,-0.13180205667517308,-0.025260699069175274,0.30121036498264775,-0.08386397682772471,-0.3676774432985569
7,both_decay,price_sentiment,differential_sharpe,decay,-357.6683798831889,29211.076228137325,0.050000000000000044,-0.06130870268369071,-0.028925720655447074,0.06936859682171778,-0.41698581174689503,-0.1308667595720806
8,both_decay,price_sentiment,differential_sharpe,decay,241.08657298790885,31803.031358975466,0.050000000000000044,-0.1027696647885672,-0.04260139340512703,0.1485388779914814,-0.28680298371157875,-0.229560481812228
9,both_decay,price_sentiment,differential_sharpe,decay,3639.8738377659934,36209.149311697394,0.050000000000000044,-0.3068062878507748,-0.14672414795537747,0.225208333813971,-0.6515040783374212,-0.37556586890400045
10,both_decay,price_sentiment,differential_sharpe,decay,2041.800022170864,26024.383314712035,0.050000000000000044,-0.21789835116091116,-0.08763718711833779,0.25223645405587475,-0.3474406086398782,-0.32103281721124377
