episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,42,sharpe_decay_eta0p001_seed42,sharpe,decay,0.001,20,1e-06,-8.187032217148904,6.440117697303112,0.71557,0.0,sharpe_ratio,1,0,1.058217024571678,0.15586813121544063,0.21637973868901883,0.720345315877539,-0.35363288549316496,-0.055828884869960294,0.026557407261176058,0.29744938733620524,0.08928378538281669,-0.46577840131042836
2,42,sharpe_decay_eta0p001_seed42,sharpe,decay,0.001,20,1e-06,41.085714829695554,4.741781588387473,0.4311400000000001,0.0,sharpe_ratio,1,0,1.7631874220931008,0.22658643298907455,0.2582228545040661,0.8774840376706725,-0.37159452403779325,0.0837950987593239,0.08457754227787406,0.3349233089557752,0.25252808632988294,-0.4765329815477459
3,42,sharpe_decay_eta0p001_seed42,sharpe,decay,0.001,20,1e-06,16.328603391521977,3.6571244659946216,0.14671,0.0,sharpe_ratio,0,1,1.817613424318015,0.23199925521947917,0.2626571979220653,0.8832777363608255,-0.3395720572930452,-0.031101452462785395,0.041253821461772144,0.31733823156587726,0.12999953159822197,-0.4823941861328088
4,42,sharpe_decay_eta0p001_seed42,sharpe,decay,0.001,20,1e-06,-1.3468757158573303,3.0021450493681328,0.050000000000000044,0.0,sharpe_ratio,1,0,4.366654112297658,0.366320834617307,0.24239070429553702,1.5112825208456306,-0.30600498526950903,0.14111123499454625,0.09132420729782575,0.3043016212023493,0.3001108141881983,-0.35748733335818217
5,42,sharpe_decay_eta0p001_seed42,sharpe,decay,0.001,20,1e-06,47.463775619796536,2.728943521369674,0.050000000000000044,0.0,sharpe_ratio,1,0,17.482054812683792,0.6965262044745733,0.27528840205043614,2.5301690855358347,-0.24883864552022128,0.7571145086320235,0.255572009358755,0.32161253272891116,0.7946581160572432,-0.3513907324350056
6,42,sharpe_decay_eta0p001_seed42,sharpe,decay,0.001,20,1e-06,50.03725063301124,2.484995555105254,0.050000000000000044,0.0,sharpe_ratio,0,1,17.519536057667477,0.6826343670507922,0.2417987953470854,2.8231504051578002,-0.17341644830532,0.17072223664930575,0.0926657171615326,0.28000512363776864,0.330942934035059,-0.5348939666838846
7,42,sharpe_decay_eta0p001_seed42,sharpe,decay,0.001,20,1e-06,70.25820536661446,2.2890491620970312,0.050000000000000044,0.0,sharpe_ratio,0,2,12.824025495179038,0.5983962037301804,0.2325326207077981,2.5733860561530792,-0.20363915579861702,0.5424132019727392,0.18911423918946824,0.2746404487083019,0.6885884438323511,-0.4025897933927851
8,42,sharpe_decay_eta0p001_seed42,sharpe,decay,0.001,20,1e-06,61.750861285102154,2.244102224438845,0.050000000000000044,0.0,sharpe_ratio,0,3,16.294927966595374,0.667350858315719,0.25179359149187325,2.650388575664993,-0.16169446513116925,0.10580530128899257,0.07483453433159104,0.2846614530383075,0.26288959580881643,-0.5681253518715035
9,42,sharpe_decay_eta0p001_seed42,sharpe,decay,0.001,20,1e-06,78.61396417829741,2.146534489088243,0.050000000000000044,0.0,sharpe_ratio,0,4,23.631671192481136,0.7554444157494786,0.21753270167083283,3.4727855166006516,-0.1374652461850694,-0.06331023085694198,0.016327796003544615,0.26962062637426004,0.06055840839446765,-0.547929710732472
10,42,sharpe_decay_eta0p001_seed42,sharpe,decay,0.001,20,1e-06,117.00638982575855,2.0619950536178124,0.050000000000000044,0.0,sharpe_ratio,0,5,28.822764080917636,0.8190212057979736,0.23270716975961647,3.5195357609480276,-0.1374652461850694,0.15901650322159222,0.09204308834322439,0.2898587402343494,0.31754463663510024,-0.4607314622403207
11,42,sharpe_decay_eta0p001_seed42,sharpe,decay,0.001,20,1e-06,110.20819888826452,2.0199315381511975,0.050000000000000044,0.0,sharpe_ratio,0,6,44.74818120148577,0.9491011636682414,0.21964609468785712,4.321047296638829,-0.1374652461850694,-0.09801820040857545,0.005305608421830366,0.2738418481200245,0.019374717408074622,-0.47685335493048586
12,42,sharpe_decay_eta0p001_seed42,sharpe,decay,0.001,20,1e-06,123.57043537796001,1.9352020714867488,0.050000000000000044,0.0,sharpe_ratio,0,7,30.689492868412717,0.8389217751628573,0.23538655029635971,3.564017460244122,-0.1374652461850694,-0.10034506881184624,0.009003967292619874,0.28978756757385193,0.0310709233249809,-0.4978654949184902
13,42,sharpe_decay_eta0p001_seed42,sharpe,decay,0.001,20,1e-06,96.85313762951742,1.8281635230751776,0.050000000000000044,0.0,sharpe_ratio,0,8,40.72883858040016,0.9140343158558566,0.20655727171207405,4.425089023880769,-0.09044958186767149,-0.2496235369155333,-0.05321396635179121,0.2637507234946242,-0.20175856068457695,-0.5022857124655027
14,42,sharpe_decay_eta0p001_seed42,sharpe,decay,0.001,20,1e-06,141.6870391479133,1.8799547775236065,0.050000000000000044,0.0,sharpe_ratio,0,9,42.89017340724445,0.9403524408210202,0.23064257209378383,4.077098309667889,-0.12142511447936277,-0.16825235943437056,-0.014965488466268662,0.291206517364476,-0.051391323936399946,-0.5185959194193239
15,42,sharpe_decay_eta0p001_seed42,sharpe,decay,0.001,20,1e-06,119.61421281850534,1.8300941514825535,0.050000000000000044,0.0,sharpe_ratio,0,10,64.7320334488956,1.0724691376850064,0.22113920374725984,4.849746763630081,-0.1233043056036427,-0.3027294154715935,-0.07102110569713249,0.27799367782490164,-0.25547741320169937,-0.6070225985288784
