step,date,action,price,position,portfolio_value,reward
0,2015-01-23,0,28.2450008392334,0,10000.0,0.0
1,2015-01-26,0,28.274999618530273,0,10000.0,0.0
2,2015-01-27,2,27.28499984741211,0,10000.0,0.0
3,2015-01-28,1,28.82749938964844,1,9990.0,-0.0010000000000000009
4,2015-01-29,1,29.725000381469727,1,10301.02367871402,0.031133501372774708
5,2015-01-30,1,29.290000915527344,1,10150.277177741935,-0.014634128187044904
6,2015-02-02,1,29.657499313354492,1,10277.631581419819,0.0125468892570888
7,2015-02-03,1,29.662500381469727,1,10279.364672098129,0.00016862743761336674
8,2015-02-04,1,29.88999938964844,1,10358.203112470153,0.007669582983666379
9,2015-02-05,1,29.98500061035156,1,10391.125225553778,0.003178361413283204
10,2015-02-06,1,29.732500076293945,1,10303.62265375106,-0.00842089474463592
11,2015-02-09,1,29.93000030517578,1,10372.065193974926,0.0066425705330881435
12,2015-02-10,1,30.5049991607666,1,10571.32765825287,0.01921145505272137
13,2015-02-11,1,31.219999313354492,1,10819.106746817102,0.023438786174676318
14,2015-02-12,1,31.614999771118164,1,10955.99182726484,0.012652161001000195
15,2015-02-13,1,31.770000457763672,1,11009.706401625202,0.004902757797490276
16,2015-02-17,1,31.957500457763672,1,11074.683421472877,0.005901794060383159
17,2015-02-18,1,32.18000030517578,1,11151.789432147016,0.0069623670257370485
18,2015-02-19,1,32.11249923706055,1,11128.397334852814,-0.0020976093062490264
19,2015-02-20,1,32.375,1,11219.36542703173,0.008174410873523774
20,2015-02-23,1,33.25,1,11522.591519654208,3.213473596583994
21,2015-02-24,1,33.04249954223633,1,11450.683459054146,-1.8821238464347625
22,2015-02-25,0,32.1974983215332,1,11157.853266579821,-9.759356189326613
23,2015-02-26,1,32.60499954223633,1,11299.070412742907,2.3440449941245745
24,2015-02-27,1,32.1150016784668,1,11129.264541172395,-4.160920585232693
25,2015-03-02,1,32.272499084472656,1,11183.844338911062,0.9519013410416244
26,2015-03-03,1,32.34000015258789,1,11207.236436205263,0.3867493983149379
27,2015-03-04,1,32.1349983215332,1,11136.19425996393,-1.5545745799506765
28,2015-03-05,1,31.602500915527344,1,10951.660422529916,-4.353535298539043
29,2015-03-06,1,31.649999618530273,1,10968.120818091304,0.26779294279435206
30,2015-03-09,1,31.78499984741211,1,11014.90435169928,0.8195417166053974
31,2015-03-10,0,31.127500534057617,1,10787.051840053056,-5.291111384021456
32,2015-03-11,0,30.559999465942383,1,10590.387689831723,-4.1576277148482115
33,2015-03-12,1,31.112499237060547,1,10781.853228998552,3.2025821177298064
34,2015-03-13,0,30.897499084472656,1,10707.346193361453,-1.3986017001979774
35,2015-03-16,0,31.237499237060547,1,10825.171242230335,1.9341706823487246
36,2015-03-17,1,31.760000228881836,1,11006.240881249008,2.7905079840591047
37,2015-03-18,1,32.11750030517578,1,11130.130425531124,1.869207754750309
38,2015-03-19,0,31.875,1,11046.093374104597,-1.515794430147836
39,2015-03-20,2,31.475000381469727,0,10896.56838809502,-2.7632201349295356
40,2015-03-23,2,31.802499771118164,0,10896.56838809502,-0.034035140949920314
41,2015-03-24,2,31.67250061035156,0,10896.56838809502,-0.0339487774450179
42,2015-03-25,2,30.844999313354492,0,10896.56838809502,-0.033862638942586086
43,2015-03-26,2,31.059999465942383,0,10896.56838809502,-0.033776724812490645
