episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_selector
1,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,-25.66010736498393,1.5193457839389641,0.71557,-0.11475112386165198,-0.02207045911202754,0.17706389304324255,-0.12464686465827052,-0.30736346995044617,sharpe_ratio
2,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,14.086759134418694,1.2766078393620177,0.4311400000000001,0.5496258418082633,0.17450127691874862,0.2194520932686197,0.7951679763890465,-0.3184324472562269,sharpe_ratio
3,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,5.48132907137075,1.563870502776437,0.14671,-0.016649075512417233,0.0213984400504017,0.22966404979471583,0.0931727889912618,-0.42340112360563575,sharpe_ratio
4,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,0.6696938361579016,1.467308812963222,0.050000000000000044,-0.030821872631332514,0.011848296017116455,0.20747236724326976,0.05710782681350451,-0.3335520237567524,sharpe_ratio
5,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,5.619142505694019,1.320654059101441,0.050000000000000044,-0.023627824838923894,0.010453849608574872,0.18888538663744506,0.05534493586123977,-0.28193037031543355,sharpe_ratio
6,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,11.361511050762154,1.1865082313477715,0.050000000000000044,-0.02038795501353252,0.010460747629460698,0.1831796166436605,0.057106504648986145,-0.2831418981961269,sharpe_ratio
7,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,18.59091645958566,1.0795455891925172,0.050000000000000044,0.16254325582816698,0.0683205840860166,0.19514028870325423,0.3501100902331363,-0.28970492359089917,sharpe_ratio
8,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,17.158997144934638,0.9965097233304678,0.050000000000000044,-0.12868487020505903,-0.025477100442108602,0.18505193855790003,-0.13767540421705549,-0.34126095890864416,sharpe_ratio
9,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,18.36342456928668,0.9647103451695057,0.050000000000000044,-0.019635226547986995,0.00860096082080486,0.17138654369451894,0.05018457479447917,-0.2620510035206518,sharpe_ratio
10,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,9.058092251027006,0.9661994637372737,0.050000000000000044,-0.06248476223110988,-0.0026676936290636055,0.18651249346895077,-0.01430302914001685,-0.38885169858229873,sharpe_ratio
11,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,20.1649606827868,0.9041342738077651,0.050000000000000044,-0.13533340559120355,-0.02733102985656155,0.18765754098528228,-0.14564312051123532,-0.41822669202790597,sharpe_ratio
12,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,19.887490987901945,0.8769548024905071,0.050000000000000044,-0.10158881284104293,-0.018408860420278006,0.1720738102639352,-0.1069823489817631,-0.3006574964228137,sharpe_ratio
13,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,24.915716857295916,0.8290430857646283,0.050000000000000044,-0.19377975609535114,-0.05101955362528365,0.17213395800655093,-0.29639447216650877,-0.37413349458533085,sharpe_ratio
14,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,24.82116188913079,0.7927807565920338,0.050000000000000044,-0.2329790182460939,-0.06518650861054198,0.1751015236510593,-0.37227836315373847,-0.4025054409774248,sharpe_ratio
15,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,28.355832877209025,0.8102628522183629,0.050000000000000044,-0.342193383223239,-0.11009103519659558,0.1677457711694605,-0.6562969333240549,-0.4608541707538393,sharpe_ratio
16,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,28.968523999268992,0.7818753086055368,0.050000000000000044,-0.08381999324390488,-0.012966762451807834,0.1686253927033407,-0.07689685547312558,-0.34631263413368885,sharpe_ratio
17,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,30.56341860222195,0.7626811994380288,0.050000000000000044,-0.22314946608472297,-0.06232177243322479,0.16987038366770943,-0.3668783874364764,-0.4594676963991713,sharpe_ratio
18,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,33.713633550601116,0.7417129918823421,0.050000000000000044,-0.16173404732955998,-0.03891367180894456,0.17500988245050236,-0.22235128247657915,-0.447003628225598,sharpe_ratio
19,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,43.291911479057646,0.6923697694548784,0.050000000000000044,-0.12916298340519938,-0.029021569345786258,0.16544167950429914,-0.17541873023014196,-0.47585943104092665,sharpe_ratio
20,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,42.07988537201867,0.6561597684023773,0.050000000000000044,-0.21803742509012836,-0.06133260527447859,0.16401964063191185,-0.3739345180746948,-0.47848884395296865,sharpe_ratio
21,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,40.06277888916681,0.6487612232774914,0.050000000000000044,0.060976469029753844,0.03051942581943634,0.15214607321800552,0.2005929247724059,-0.3538289409562734,sharpe_ratio
22,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,36.14948967580651,0.6387236701821039,0.050000000000000044,-0.20517905822818439,-0.05746704045844375,0.15800772242073127,-0.36369766982290125,-0.43878512311562357,sharpe_ratio
23,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,47.4268787132456,0.6416238465146693,0.050000000000000044,0.11048922057781074,0.04408627715126601,0.14428725083436106,0.30554520164692994,-0.26121400629109937,sharpe_ratio
24,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,37.56943882249009,0.6277645091733378,0.050000000000000044,0.02599927029950133,0.021247174458830953,0.1610846339671695,0.13190069055972975,-0.3957482408076607,sharpe_ratio
25,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,41.965761322932806,0.6046990663828496,0.050000000000000044,0.029034147246102204,0.022856416806461777,0.16526640354656918,0.1383004428968604,-0.3547361944145817,sharpe_ratio
26,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,38.55428099371135,0.5963168233314513,0.050000000000000044,-0.048945398263943174,-0.006174564403423011,0.13751674310975162,-0.04490045549213679,-0.3499130071664369,sharpe_ratio
27,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,38.40489339328954,0.5639198464139271,0.050000000000000044,0.0010619438770871348,0.011017736343951645,0.14561570242039684,0.07566310611298714,-0.3341321969799317,sharpe_ratio
28,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,44.477983380148736,0.5584485341030196,0.050000000000000044,0.018425388760129113,0.01681090020585363,0.14797684581771584,0.11360493672477659,-0.2883821555467979,sharpe_ratio
29,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,29.485045401701484,0.5515214407850124,0.050000000000000044,-0.041099718155695464,-0.0020758723164955306,0.14826795148183314,-0.014000816061385198,-0.3217658218541197,sharpe_ratio
30,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,51.52734659361048,0.5532876430906768,0.050000000000000044,-0.20170944461261886,-0.056927981738362665,0.1528544727442624,-0.37243255441800305,-0.38310104873415773,sharpe_ratio
31,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,49.94129410118495,0.5194091555291044,0.050000000000000044,-0.2838439087451895,-0.08956813616163228,0.14395501785797246,-0.6221953044387876,-0.38686962865278984,sharpe_ratio
32,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,24.50414418087664,0.511676636660744,0.050000000000000044,-0.11644352483795861,-0.025934297619668922,0.1571269205009604,-0.16505317826495816,-0.3472920191512979,sharpe_ratio
33,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,52.19902654323952,0.5029108549008469,0.050000000000000044,-0.020499968020489034,0.004622794174401923,0.14870249599904473,0.03108753584359216,-0.2916377160975243,sharpe_ratio
34,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,51.91861010069655,0.513193753007339,0.050000000000000044,-0.14192404317399288,-0.03403290528165481,0.16199972429336787,-0.21008001976610827,-0.3343269775953953,sharpe_ratio
35,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,48.96317521495526,0.4748090640078725,0.050000000000000044,0.06806128129721656,0.03371262443304124,0.15880160282334452,0.21229398087715862,-0.25184310554417866,sharpe_ratio
36,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,48.349450482491214,0.47826198632309413,0.050000000000000044,-0.11882737387049924,-0.025358954268815403,0.16614066130019883,-0.15263544800146436,-0.26913271605570677,sharpe_ratio
37,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,56.621441686421896,0.4923700764227805,0.050000000000000044,-0.0595715477303882,-0.005507631204561436,0.16521231649157184,-0.03333668652265646,-0.29010439422193945,sharpe_ratio
38,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,46.683139543852235,0.4672748662665755,0.050000000000000044,-0.004097292497121763,0.011163724974468492,0.1574361779574939,0.07090952739898564,-0.2601135737643606,sharpe_ratio
39,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,48.02767632667404,0.45571907377274895,0.050000000000000044,-0.026012460143177818,0.004303905533539876,0.15832243831835657,0.0271844318420964,-0.2160323969730319,sharpe_ratio
