episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,-25.466063105434994,1.9151464809591954,0.71557,0.0,sharpe_ratio,1,0,0.9367665770615432,0.1584361373333789,0.2675106770560332,0.5922609859052191,-0.28546342321143026,0.28614770998796324,0.1398432745993532,0.3211271693933395,0.43547630947434146,-0.5793371047510871
2,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,11.585326088756837,1.5434791740769136,0.4311400000000001,0.0,sharpe_ratio,0,1,2.890289475648899,0.30499700227004545,0.27382418016553506,1.1138424739760582,-0.28385367546898366,-0.16170593479617268,-0.00010362281113063254,0.32899514914486205,-0.0003149675957228345,-0.5817866660604936
3,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,-22.904999937218975,1.2391051457735722,0.14671,0.0,sharpe_ratio,0,2,3.865167653003202,0.3526528245877629,0.26705637469069976,1.3205182800680177,-0.34580420168368275,-0.09453744414730703,0.02925911373021295,0.34267011002734205,0.08538566065151795,-0.5310204808835564
4,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,-1.3426930566782953,1.1214256987781945,0.050000000000000044,0.0,sharpe_ratio,0,3,6.9936064701890865,0.461749353407352,0.24318644664477446,1.898746249135484,-0.23429818817230896,-0.3092830740758923,-0.06175483941777782,0.31818680549410305,-0.1940835960242931,-0.488360734534275
5,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,7.846604009574792,1.1782352186555296,0.050000000000000044,0.0,sharpe_ratio,0,4,10.567057613979916,0.5511330541896613,0.23107207425778475,2.3851131988143903,-0.21838407095857004,-0.4431313025075023,-0.12892083151847133,0.2959961165181365,-0.43554906407217,-0.5312186106866592
6,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,-4.677856048586537,1.2003851957375318,0.050000000000000044,0.0,sharpe_ratio,0,5,11.148706732009401,0.5608142837406571,0.2224709186176182,2.520843116149404,-0.21875015578296597,-0.470124516905451,-0.1468478200359079,0.2784026287209781,-0.5274656374853499,-0.6024492264776375
7,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,6.436710468578138,1.1782616002605848,0.050000000000000044,0.0,sharpe_ratio,0,6,8.297792214454107,0.48262112041150784,0.19179375606570426,2.5163547047181902,-0.1738244287980859,-0.14114276285174254,-0.015524511953887044,0.2502246993745989,-0.06204228436556566,-0.47141570047738623
8,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,-3.671157014329429,1.1733328006469814,0.050000000000000044,0.0,sharpe_ratio,0,7,20.344887830606716,0.7104009653947934,0.20680936355173468,3.4350522297172588,-0.18729103847444872,-0.13676658542566833,-0.012733720003673898,0.2546158517632651,-0.05001149738121319,-0.3792420367942596
9,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,1.9744128697240002,1.2047102555244384,0.050000000000000044,0.0,sharpe_ratio,0,8,22.732881901912897,0.7526323529788808,0.23656436892662272,3.1815118920649095,-0.1666716661858566,-0.009665541589022886,0.03278027897268654,0.2630820025001389,0.12460099383905682,-0.3376430020413672
10,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,-4.367218895217969,1.201126462551619,0.050000000000000044,0.0,sharpe_ratio,0,9,19.700223465988262,0.6992928852542919,0.20009631479544732,3.4947814304784113,-0.1694860887447085,-0.27874710980986805,-0.06672694246001054,0.2541361407346624,-0.262563767070338,-0.3752120001246013
11,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,31.688661502866985,1.223233581584696,0.050000000000000044,0.0,sharpe_ratio,0,10,28.676498693171574,0.8071779586881718,0.204937153542124,3.938660924761306,-0.12876365070061824,-0.4040721199312588,-0.12042475905073768,0.25541118461676754,-0.4714936788356758,-0.43783661728740886
