episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,-5.897621851376971,0.0,0.99031,0.0,sharpe_ratio,1,0,1.4304182330701143,172.9542658218828,1.2120030089499645,142.70118518247256,-0.22512905955038043,0.10517323911638088,0.2991368229399325,0.6872662327405391,0.4352561040968012,-0.8356873022306602
2,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,-15.43367746050045,0.0,0.98062,0.0,sharpe_ratio,0,1,1.4304182330701143,172.9542658218828,1.2120030089499645,142.70118518247256,-0.22512905955038043,0.10517323911638088,0.2991368229399325,0.6872662327405391,0.4352561040968012,-0.8356873022306602
3,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,1.8928200649084572,0.0,0.97093,0.0,sharpe_ratio,0,2,1.4304182330701143,172.9542658218828,1.2120030089499645,142.70118518247256,-0.22512905955038043,0.10517323911638088,0.2991368229399325,0.6872662327405391,0.4352561040968012,-0.8356873022306602
4,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,13.066362520812472,0.0,0.96124,0.0,sharpe_ratio,0,3,1.4304182330701143,172.9542658218828,1.2120030089499645,142.70118518247256,-0.22512905955038043,0.10517323911638088,0.2991368229399325,0.6872662327405391,0.4352561040968012,-0.8356873022306602
5,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,6.913453843900415,3.0248000820477805,0.95155,0.0,sharpe_ratio,0,4,1.4304182330701143,172.9542658218828,1.2120030089499645,142.70118518247256,-0.22512905955038043,-0.03840783446371898,0.24506385979795153,0.6885960594938215,0.35588914054793597,-0.849323012395963
6,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,2.110069667583374,2.820091121336993,0.94186,0.0,sharpe_ratio,0,5,1.5204605483866698,208.52282904197838,1.21434285629266,171.71660207940798,-0.22512905955038043,-0.32516628915862456,0.11682929996442803,0.6907974684827725,0.16912236262391803,-0.8732929451271368
7,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,-3.557222836707748,2.1538680815229228,0.9321699999999999,0.0,sharpe_ratio,0,6,1.6782526504109891,277.4149450579856,1.1968066111528002,231.79596642666536,-0.22512905955038043,-0.38570032602198057,0.07540536291122724,0.6779741226499436,0.11122159444153455,-0.8833450145286862
8,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,7.913668894361372,1.8881009045769186,0.92248,0.0,sharpe_ratio,0,7,1.5802285430323604,213.532960324916,1.1317015394180983,188.68310494188336,-0.22512905955038054,-0.56108222259512,-0.044952126832173644,0.6560953127708045,-0.06851462883088283,-0.8753327416927639
9,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,22.88337926570432,2.167795022328695,0.91279,0.0,sharpe_ratio,0,8,2.0181072016072394,443.7274422147803,1.0792307005093953,411.1516119818882,-0.11811750709244817,-0.41673303777604565,0.042293789802998694,0.6541760127104675,0.06465200340770909,-0.8712413469798346
10,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,4.969921403281063,2.960712750752767,0.9031,0.0,sharpe_ratio,0,9,1.26564067257093,87.53280864117154,0.8888971995774182,98.4734890410102,-0.11303657200887596,-0.37901092995573094,0.07122382387962656,0.6669410965553599,0.10679177553682895,-0.8702097493855021
11,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,-0.42123522267293545,3.150633026571835,0.89341,0.0,sharpe_ratio,0,10,1.6604596897925399,246.63411811595614,1.1238259500465373,219.4593549879704,-0.22512905955038043,-0.5088017480230147,-0.002647696125070098,0.6694538731766349,-0.003955009047160305,-0.8751167063210157
