episode,seed,run_name,state_mode,reward_mode,sentiment_imputation_mode,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_selector
1,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,7.431426351950174,1.635056746765398,0.71557,-0.5347744290890623,-0.18533080014352143,0.5984766327691895,-0.3096709044194157,-0.7338829715606722,cumulative_return
2,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,-4.691374609175081,1.4432632679451922,0.4311400000000001,-0.6608931067870818,-0.34962892830544734,0.47368813354775396,-0.7380994024208549,-0.7141719182665641,cumulative_return
3,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,-19.539188944153704,1.472801521529973,0.14671,-0.02985980343331196,-0.003096587461222877,0.15435523857040448,-0.020061434194929915,-0.2819015392469212,cumulative_return
4,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,15.861212897429432,1.43247930744368,0.050000000000000044,0.11990202587938037,0.0836947350684969,0.2186104686310738,0.38284870616027,-0.312291023138337,cumulative_return
5,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,15.8755222310544,1.5879666219174902,0.050000000000000044,0.2585122201168746,0.15412488620074427,0.2381856374924112,0.6470788407871773,-0.19595295236120447,cumulative_return
6,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,15.544954061412003,1.6942963967660944,0.050000000000000044,0.09676524783736595,0.07734851041386093,0.23850849633653537,0.3243008597258616,-0.23036969289209197,cumulative_return
7,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,17.808984696300744,1.683677217366302,0.050000000000000044,0.5931027188227567,0.2870433399094052,0.19538105083040802,1.4691462590123985,-0.11320611461072172,cumulative_return
8,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,35.16429845724968,1.6789712717553815,0.050000000000000044,0.25212322732482795,0.13716593706454683,0.17778276346234106,0.7715367586442208,-0.16782531531989564,cumulative_return
9,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,13.161622286880926,1.6609435853117214,0.050000000000000044,0.16952781424264796,0.10208080931735086,0.19279213409445378,0.5294863807427894,-0.18930286472718905,cumulative_return
10,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,6.646368915581689,1.7508212850742046,0.050000000000000044,0.15018927564780093,0.1180607115054857,0.2875131274588311,0.410627203526179,-0.25936492531780697,cumulative_return
11,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,25.11928902501539,1.707931545868506,0.050000000000000044,0.11035971924152999,0.11245605198394548,0.33016266048224396,0.34060802581275945,-0.38006285350733404,cumulative_return
12,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,4.678148499906535,1.7495946870219652,0.050000000000000044,-0.21887758475867314,-0.011987699316918343,0.4735065374563983,-0.025316861265135545,-0.4588640700052655,cumulative_return
13,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,47.71474202092776,1.754579336645608,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,cumulative_return
14,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,3.7027260620998748,1.7988467118544187,0.050000000000000044,-0.3309165161835208,-0.13758019863119986,0.3265734016199726,-0.42128415219589554,-0.4932988404429287,cumulative_return
15,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,10.6836005996898,1.743652204971116,0.050000000000000044,-0.1258307746218934,-0.032199406038720624,0.2627755500927234,-0.12253577635879247,-0.38411621268620644,cumulative_return
16,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,4.829129570526,1.7585320684538734,0.050000000000000044,-0.40798958311032363,-0.15195988034482844,0.44362787885336313,-0.3425390684138165,-0.6069478547337971,cumulative_return
17,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,4.813924159295801,1.769988540776507,0.050000000000000044,-0.4604518386758013,-0.14883853330792063,0.5459543161185304,-0.27262085656926427,-0.7062534732013246,cumulative_return
18,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,18.194010606004444,1.741353953410246,0.050000000000000044,-0.3510452217724501,-0.13780717801899023,0.37029785935399107,-0.3721522405217354,-0.46879742287020365,cumulative_return
19,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,23.36470513244885,1.709403635265832,0.050000000000000044,-0.37555667862023134,-0.1236675629827233,0.4572006586492263,-0.2704885932318912,-0.604925715170223,cumulative_return
20,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,28.412224494064425,1.7141801784973425,0.050000000000000044,-0.6268864621597224,-0.31050632558717994,0.4943502804615864,-0.6281099411883674,-0.781806026333159,cumulative_return
