step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,13.419333457946776,0,10000.0,0.0
1,2015-01-26,2,13.770000457763672,0,10000.0,0.0
2,2015-01-27,2,13.732000350952148,0,10000.0,0.0
3,2015-01-28,2,13.291333198547363,0,10000.0,0.0
4,2015-01-29,2,13.68000030517578,0,10000.0,0.0
5,2015-01-30,2,13.57333278656006,0,10000.0,0.0
6,2015-02-02,2,14.062666893005373,0,10000.0,0.0
7,2015-02-03,2,14.557332992553713,0,10000.0,0.0
8,2015-02-04,2,14.56999969482422,0,10000.0,0.0
9,2015-02-05,2,14.732666969299316,0,10000.0,0.0
10,2015-02-06,1,14.490667343139648,1,9990.0,-0.0010000000000000009
11,2015-02-09,2,14.498666763305664,0,9985.519359324906,-0.00044851258008948847
12,2015-02-10,2,14.419333457946776,0,9985.519359324906,0.0
13,2015-02-11,2,14.186667442321776,0,9985.519359324906,0.0
14,2015-02-12,1,13.525333404541016,1,9975.533839965581,-0.0010000000000000009
15,2015-02-13,2,13.584667205810549,0,10009.275857360031,0.003382477362691816
16,2015-02-17,1,13.623332977294922,1,9999.266581502672,-0.0009999999999998899
17,2015-02-18,1,13.630666732788086,1,10004.64941816547,0.0005383231478952588
18,2015-02-19,1,14.11400032043457,1,10359.407053373103,0.035459277020092106
19,2015-02-20,2,14.473999977111816,0,10613.01629553518,0.024481057733849898
20,2015-02-23,1,13.822667121887209,1,10602.403279239645,-0.3877498178505747
21,2015-02-24,2,13.607333183288574,0,10426.798407235568,-7.012241993909345
22,2015-02-25,2,13.583999633789062,0,10426.798407235568,-0.032521861568081505
23,2015-02-26,2,13.812666893005373,0,10426.798407235568,-0.03243943429786912
24,2015-02-27,1,13.555999755859377,1,10416.371608828333,-0.34592813818213
25,2015-03-02,1,13.155332565307615,1,10108.500671721798,-11.85656843279813
26,2015-03-03,1,13.303999900817873,1,10222.736009628165,2.8740103882884944
27,2015-03-04,2,13.496000289916992,0,10359.898010301684,3.251427189213092
28,2015-03-05,2,13.375332832336426,0,10359.898010301684,-0.022000306227293303
29,2015-03-06,2,12.925333023071287,0,10359.898010301684,-0.02194491911404194
30,2015-03-09,2,12.725333213806152,0,10359.898010301684,-0.021889673027372353
31,2015-03-10,2,12.687999725341797,0,10359.898010301684,-0.021834567596314462
32,2015-03-11,2,12.916000366210938,0,10359.898010301684,-0.0217796024509625
33,2015-03-12,2,12.73799991607666,0,10359.898010301684,-0.021724777222471323
34,2015-03-13,2,12.57866668701172,0,10359.898010301684,-0.021670091543052716
35,2015-03-16,2,13.046667098999023,0,10359.898010301684,-0.021615545045971775
36,2015-03-17,2,12.982000350952148,0,10359.898010301684,-0.021561137365543184
37,2015-03-18,0,13.380666732788086,0,10359.898010301684,-0.02150686813712767
38,2015-03-19,0,13.043333053588867,0,10359.898010301684,-0.02145273699712834
39,2015-03-20,1,13.20533275604248,1,10349.538112291382,-0.2792185543891149
40,2015-03-23,2,13.308667182922363,0,10420.094837236109,1.6680168073851889
41,2015-03-24,2,13.447999954223633,0,10420.094837236109,-0.024872639083060713
42,2015-03-25,2,12.953332901000977,0,10420.094837236109,-0.02480992136300463
43,2015-03-26,2,12.694000244140623,0,10420.094837236109,-0.02474736407989972
44,2015-03-27,2,12.333333015441896,0,10420.094837236109,-0.024684966806162598
45,2015-03-30,2,12.704667091369627,0,10420.094837236109,-0.02462272911547703
46,2015-03-31,2,12.584667205810549,0,10420.094837236109,-0.024560650582789247
47,2015-04-01,0,12.505999565124512,0,10420.094837236109,-0.024498730784303323
48,2015-04-02,0,12.733332633972168,0,10420.094837236109,-0.024436969297476522
49,2015-04-06,2,13.539999961853027,0,10420.094837236109,-0.0243753657010147
50,2015-04-07,2,13.550000190734863,0,10420.094837236109,-0.02431391957486773
51,2015-04-08,2,13.844667434692385,0,10420.094837236109,-0.024252630500224928
52,2015-04-09,0,14.005999565124512,0,10420.094837236109,-0.02419149805951056
53,2015-04-10,2,14.0600004196167,0,10420.094837236109,-0.02413052183637925
54,2015-04-13,1,13.985333442687988,1,10409.674742398873,-0.29011201536692877
55,2015-04-14,1,13.830666542053224,1,10294.551843426121,-3.152356577531618
56,2015-04-15,2,13.85533332824707,0,10302.599110106237,0.18672584164472675
57,2015-04-16,2,13.779999732971191,0,10302.599110106237,-0.016046733614191445
58,2015-04-17,2,13.78600025177002,0,10302.599110106237,-0.016006443113347084
59,2015-04-20,2,13.684666633605955,0,10302.599110106237,-0.015966254390852783
60,2015-04-21,2,13.96066665649414,0,10302.599110106237,-0.015926167184988856
61,2015-04-22,1,14.629332542419434,1,10292.296510996131,-0.2798594786793843
62,2015-04-23,2,14.57333278656006,0,10242.645636498979,-1.3105855352337434
63,2015-04-24,2,14.562000274658203,0,10242.645636498979,-0.011905186033688068
64,2015-04-27,1,15.436667442321776,1,10232.40299086248,-0.2762750823006921
65,2015-04-28,2,15.36533260345459,0,10174.932614100186,-1.5194524686026734
66,2015-04-29,1,15.49666690826416,1,10164.757681486086,-0.2711711488419672
67,2015-04-30,1,15.06999969482422,1,9884.893058923988,-7.625779258387564
68,2015-05-01,1,15.0686674118042,1,9884.019172033224,-0.010555301145277456
69,2015-05-04,0,15.36733341217041,1,10079.92371972678,4.909220411360734
70,2015-05-05,1,15.529999732971191,1,10186.62174348033,2.365236135202603
71,2015-05-06,2,15.362000465393066,0,10066.34924431224,-2.67613804239302
72,2015-05-07,2,15.786666870117188,0,10066.34924431224,-0.0006542483336818795
73,2015-05-08,1,15.77400016784668,1,10056.282895067927,-0.21982217544890617
74,2015-05-11,0,15.965999603271484,1,10178.686890109138,2.672862046234505
75,2015-05-12,0,16.31599998474121,1,10401.820072053419,4.5871643076108635
76,2015-05-13,2,16.211999893188477,0,10325.182137089265,-1.5756247435032746
77,2015-05-14,2,16.273332595825195,0,10325.182137089265,-0.013682867719664281
78,2015-05-15,2,16.589332580566406,0,10325.182137089265,-0.013648541139864282
79,2015-05-18,2,16.583332061767578,0,10325.182137089265,-0.013614301058125782
80,2015-05-19,2,16.47599983215332,0,10325.182137089265,-0.013580147253623661
81,2015-05-20,2,16.290000915527344,0,10325.182137089265,-0.013546079506117933
82,2015-05-21,2,16.374666213989258,0,10325.182137089265,-0.013512097595952044
83,2015-05-22,2,16.51533317565918,0,10325.182137089265,-0.013478201304051179
84,2015-05-26,2,16.497333526611328,0,10325.182137089265,-0.01344439041192055
85,2015-05-27,2,16.495332717895508,0,10325.182137089265,-0.01341066470164372
