episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_selector
1,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,8.973765081059378,1.9272179004664605,0.71557,0.3179475819013948,0.12454056349102038,0.2522312145354919,0.4937555556728926,-0.3580633870990314,sharpe_ratio
2,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,10.38090760496007,1.492768281646466,0.4311400000000001,-0.043142603197024454,0.04148684220447518,0.3295958769149986,0.125871848254869,-0.47789553514541405,sharpe_ratio
3,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,22.051712304706108,1.4559972059670974,0.14671,0.24316067861247648,0.1559205846646703,0.3933190582784985,0.396422653270636,-0.573918190350827,sharpe_ratio
4,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,37.75146838030528,1.6886116262667166,0.050000000000000044,0.011262781349960171,0.10633230044050102,0.4419937314794189,0.2405742273416208,-0.6872922108666276,sharpe_ratio
5,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,30.47908238465932,1.7456604407561487,0.050000000000000044,-0.23138315495348127,0.03660593024901315,0.4870011349153715,0.07516600604098045,-0.6483003648552467,sharpe_ratio
6,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,24.06547567448504,1.7354553501527947,0.050000000000000044,-0.2614985162401846,0.018214834188837292,0.4754397067300253,0.03831155440111451,-0.6273436864379557,sharpe_ratio
7,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,21.125545593553902,1.7150054899309983,0.050000000000000044,0.10358604260289139,0.1163632704262354,0.4009315405607315,0.29023226824083986,-0.5313509710437357,sharpe_ratio
8,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,23.642184969925044,1.7409388372797765,0.050000000000000044,-0.22669492304429795,0.038094414799083154,0.4861082436233548,0.07836611556951784,-0.6791594727854652,sharpe_ratio
9,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,12.38451767009403,1.7142395055445339,0.050000000000000044,-0.28205864364915256,-0.011196895386347383,0.43094640403621254,-0.025982106548466534,-0.5816244439522026,sharpe_ratio
10,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,13.250702641836787,1.7149443460768992,0.050000000000000044,-0.6148039283567057,-0.19649637428579447,0.3968592434841784,-0.4951286319065621,-0.7582299618891208,sharpe_ratio
