episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,-10.09778344847172,1.4463648979002848,0.71557,0.0,sharpe_ratio,1,0,0.4287690665234918,0.06756453542429708,0.10375818169772716,0.6511730864861243,-0.16715054504782434,-0.0042515539277226955,0.009670123386325002,0.1479530932978446,0.06535938634860484,-0.2708102986717722
2,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,-8.125104221751059,1.2857707456580463,0.4311400000000001,0.0,sharpe_ratio,1,0,3.0018659248993886,0.29052531171874074,0.20787886082156332,1.39757025110946,-0.20850206390931958,0.17923531555460426,0.07383644519390087,0.1987744522430936,0.37145842617441455,-0.25331524866340527
3,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,20.000422876907027,1.1934316073486466,0.14671,0.0,sharpe_ratio,1,0,5.629097649673912,0.40627510512950704,0.21215414850172504,1.9149995793092096,-0.18590042913462757,0.4295179281672574,0.13810419441187127,0.18909057339849933,0.7303600170529035,-0.2285940541073993
4,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,6.621326466318313,1.3252832182423624,0.050000000000000044,0.0,sharpe_ratio,0,1,9.853651299263348,0.5339533219926944,0.2299004447648266,2.3225414919875185,-0.22452589228002806,0.42184211770386715,0.14128023336838402,0.2113262205703414,0.6685409552448695,-0.21419496292627094
5,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,12.133749685600066,1.282466448181537,0.050000000000000044,0.0,sharpe_ratio,0,2,3.848530921481265,0.3355815691638919,0.21742474636800999,1.543437786036974,-0.2414589867793091,0.21824777531932704,0.08661939821279518,0.20716306047512764,0.41812183124797414,-0.2601146446514969
6,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,1.54535597869959,1.213390060719762,0.050000000000000044,0.0,sharpe_ratio,0,3,7.9981928464006895,0.48808364703453444,0.23500008255089608,2.076950959916475,-0.203756132286817,0.48385645007261613,0.1622589814175528,0.23319679319444359,0.6958027989787081,-0.2918788689429628
7,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,15.07673465373123,1.171884913721639,0.050000000000000044,0.0,sharpe_ratio,0,4,8.517711686191841,0.48918875851268107,0.194707887227077,2.512423946864399,-0.15918910528314834,0.23689550116755953,0.08871962044350723,0.19307105707552935,0.4595179711933733,-0.25184999695673416
8,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,20.367433608814732,1.1422064333417532,0.050000000000000044,0.0,sharpe_ratio,0,5,8.188205777639835,0.49151620210265246,0.22977564429586225,2.1391135845092855,-0.28795456339664616,0.0734487948856255,0.0514639965438608,0.2367713393669719,0.2173573739180347,-0.3601998500961693
9,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,18.597699460926112,1.0841777425809311,0.050000000000000044,0.0,sharpe_ratio,0,6,14.285365565161914,0.6149764488166702,0.20132099445246437,3.054705995712124,-0.18245577595443618,0.2786793891581114,0.09991157006519535,0.19245703552648535,0.5191370104599051,-0.20933976573997248
10,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,23.312810915230266,1.047502656897148,0.050000000000000044,0.0,sharpe_ratio,0,7,18.003582319810008,0.6806807715298278,0.21664793441630148,3.1418751965659664,-0.18334041244982913,0.348259648318219,0.12378193574569751,0.21631183582632285,0.5722383857214464,-0.2092683035369839
11,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,29.006592025116444,1.032035728076656,0.050000000000000044,0.0,sharpe_ratio,0,8,21.527420981030485,0.7246775665281151,0.20336078617875872,3.5635069088054525,-0.19090003802394262,0.2283132940903554,0.08807002852239787,0.20077025274365246,0.4386607444024463,-0.2551743148797564
12,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,33.31599465484205,1.009187200623667,0.050000000000000044,0.0,sharpe_ratio,0,9,20.590365096078575,0.7036735872634168,0.1767024452967785,3.982251553347607,-0.17595185239724043,-0.0857388758751978,-0.01397600883842709,0.1666141326720791,-0.08388249312520152,-0.29335838215888754
13,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,25.61776612574375,0.9879803241852051,0.050000000000000044,0.0,sharpe_ratio,0,10,30.69982466233505,0.8185352067257232,0.17978646735807102,4.5528187897228705,-0.1425656136078166,0.08964584903270278,0.04521736353105865,0.18639781200666103,0.24258526988204554,-0.19784678176139836
