episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,2.054330407235377,1.9360679999853556,0.71557,0.0,sharpe_ratio,1,0,2.26883845160961,0.2525110299742437,0.2277739773235756,1.1086035066048245,-0.19040508102465137,-0.23739816517451962,-0.050828423079308016,0.2557653863335151,-0.1987306562782047,-0.5341144755402059
2,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,33.31518686301781,1.48759897864494,0.4311400000000001,0.0,sharpe_ratio,1,0,1.7306054076948119,0.19639070164253547,0.14295164873626803,1.373826069014827,-0.18452994517020738,-0.07246609968686557,-0.010778987302254128,0.15971149459288686,-0.0674903664869604,-0.1985688716403763
3,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,57.126104982174326,1.669385360950777,0.14671,0.0,sharpe_ratio,1,0,6.0036192405851265,0.4182201198398001,0.20860931852014367,2.0048007577351634,-0.15412542477045543,0.2144153492397436,0.10124818790294077,0.268630776840028,0.37690464619858116,-0.39638696709512644
4,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,3.832063030921337,1.5721328725954973,0.050000000000000044,0.0,sharpe_ratio,1,0,11.926194082190387,0.5923474103080242,0.2632053774883136,2.2505140888860624,-0.20823378033424467,0.2930788368203625,0.13990783318048727,0.3195691748126452,0.4378014032877591,-0.4678440237083795
5,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,7.968159519383344,1.3799577289489244,0.050000000000000044,0.0,sharpe_ratio,1,0,11.533717029449644,0.5799331710585933,0.2525004879792039,2.2967605951967784,-0.19210843780177456,0.44732808002827373,0.1766124404958671,0.3083789925872824,0.5727122947451727,-0.46180546371058007
6,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,14.169183019740911,1.2105914599989442,0.050000000000000044,0.0,sharpe_ratio,0,1,15.265677344656872,0.650970868986289,0.25285297573217047,2.574503492004844,-0.20464178572479297,0.07963159901568417,0.07129279148148338,0.30078830664690015,0.23701982392944232,-0.46207683748755357
7,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,13.074340963739973,1.2000784991021625,0.050000000000000044,0.0,sharpe_ratio,0,2,16.7414839904631,0.6692479040339621,0.23799506746353755,2.8120242623788636,-0.17902256336547095,0.15472599827593125,0.08971100923535791,0.2871898066463135,0.3123753251654953,-0.5078749998394393
8,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,18.47472133349936,1.1859728620302383,0.050000000000000044,0.0,sharpe_ratio,0,3,48.12888279729023,0.9778399140397407,0.2301520703786137,4.24866877117871,-0.16136690797813202,0.21855587875202365,0.10609736673802828,0.28092562394535775,0.37767066331644084,-0.4730608067455324
9,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,18.84675915098217,1.2228787972000175,0.050000000000000044,0.0,sharpe_ratio,0,4,49.47855660434104,0.9817866067900776,0.21865497595725264,4.490117832863855,-0.13819916821327205,0.12192259209308087,0.07530448663092693,0.27184681028709134,0.27701074201091247,-0.4551024694031597
10,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,26.230444722778817,1.1774421556838448,0.050000000000000044,0.0,sharpe_ratio,0,5,80.01314260079288,1.1507744100045034,0.22905492666169633,5.024010733041969,-0.14967568610138682,-0.07475216636011228,0.01093593681707472,0.2656990820557545,0.04115910650673575,-0.5010637508830994
11,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,14.398736714069585,1.0125069563278932,0.050000000000000044,0.0,sharpe_ratio,0,6,56.23455084825499,1.0373627356132507,0.2472190141881189,4.196128437046026,-0.16136690797813236,-0.15825368816982255,-0.015579217431698433,0.27695093315235697,-0.05625262660923389,-0.5517632823199791
12,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,16.160305361355437,0.9499062814151914,0.050000000000000044,0.0,sharpe_ratio,0,7,43.738319293175806,0.9302790755526971,0.18922378638368664,4.916290352981216,-0.09419629679916242,-0.10150378085730194,-0.004007115339821343,0.24338546410385486,-0.016464070089705397,-0.4305593842463217
13,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,26.73502993637222,0.9728153877124519,0.050000000000000044,0.0,sharpe_ratio,0,8,71.84150885703936,1.099874734172869,0.20098622249308606,5.472388706697071,-0.12947881829571628,-0.1287312336953227,-0.018527150926192948,0.22081419247684256,-0.0839038049066341,-0.41178789521280257
14,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,26.505487052646714,0.8613786442763979,0.050000000000000044,0.0,sharpe_ratio,0,9,101.7417385963394,1.2366137742283527,0.22520159543946128,5.491141267517261,-0.13819916821327216,-0.1401270960551999,-0.01663972948338399,0.24651454179038235,-0.06749999153207432,-0.47477218695101786
15,43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,15.688940102256648,0.8812379081725438,0.050000000000000044,0.0,sharpe_ratio,0,10,87.70951001983329,1.1823005133798685,0.22588408114599523,5.23410285214262,-0.10295409949894396,0.007912264524402302,0.04026720785562188,0.27289718519635886,0.1475545005224156,-0.45780307086172733
