step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,10.697999954223633,1,9990.0,-0.0010000000000000009
1,2015-01-26,0,10.67300033569336,1,9966.654870986531,-0.002336849751098047
2,2015-01-27,0,10.479000091552734,1,9785.493677561803,-0.018176729882771192
3,2015-01-28,1,10.5,1,9805.103799667419,0.0020039992617422175
4,2015-01-29,2,10.652999877929688,0,9938.030077272759,0.013556845528738704
5,2015-01-30,1,10.288000106811523,1,9928.092047195485,-0.001000000000000112
6,2015-02-02,0,10.241999626159668,1,9883.70081455694,-0.004471275289100962
7,2015-02-03,0,10.31999969482422,1,9958.972184439268,0.0076157070407743
8,2015-02-04,1,10.479999542236328,1,10113.374711281478,0.015503861641813055
9,2015-02-05,1,10.619999885559082,1,10248.477382424242,0.01335881196926847
10,2015-02-06,2,10.473999977111816,0,10097.477445634477,-0.014733889840916725
11,2015-02-09,1,10.223999977111816,1,10087.379968188841,-0.001000000000000112
12,2015-02-10,2,10.70400047302246,0,10550.405406159938,0.04590145701175885
13,2015-02-11,1,10.793999671936035,1,10539.855000753778,-0.0010000000000000009
14,2015-02-12,1,10.970000267028809,1,10711.711662668193,0.016305410454140468
15,2015-02-13,1,11.015000343322754,1,10755.652212378805,0.004102103482093389
16,2015-02-17,0,11.086999893188477,1,10825.95653318375,0.006536500011038893
17,2015-02-18,0,11.0,1,10741.005052068582,-0.007847018492525226
18,2015-02-19,1,11.09000015258789,1,10828.886151489807,0.008181832053444582
19,2015-02-20,1,11.206000328063965,1,10942.155103383384,0.010459889439136116
20,2015-02-23,0,11.28499984741211,1,11019.294579422422,1.462039142788922
21,2015-02-24,0,11.317999839782717,1,11051.517587128868,0.6029829123782247
22,2015-02-25,1,11.267999649047852,1,11002.69465064818,-1.1547349276834684
23,2015-02-26,2,12.925000190734863,0,12608.060441302172,-27.80241650690429
24,2015-02-27,1,12.76200008392334,1,12595.45238086087,-0.14571461277040657
25,2015-03-02,2,12.902000427246094,0,12720.892054509151,0.8105277862589801
26,2015-03-03,1,12.821999549865724,1,12708.171162454642,-0.14782530266858998
27,2015-03-04,1,12.9399995803833,1,12825.123637703164,0.7482033116346829
28,2015-03-05,1,13.057000160217283,1,12941.085534976219,0.7331782480252748
29,2015-03-06,1,12.788999557495115,1,12675.46413031239,-2.148506278586754
30,2015-03-09,1,12.711999893188477,1,12599.14803704981,-0.6175904583194404
31,2015-03-10,1,12.51200008392334,1,12400.923743037394,-1.589547241922046
32,2015-03-11,1,12.465999603271484,1,12355.331635550143,-0.386801592143014
33,2015-03-12,1,12.612000465393066,1,12500.036362647597,0.9638113265124904
34,2015-03-13,1,12.5,1,12389.03019087585,-0.8885353994071972
35,2015-03-16,2,12.987000465393066,0,12858.8355611055,2.848234343029636
36,2015-03-17,1,12.90999984741211,1,12845.976725544393,-0.14407673654455536
37,2015-03-18,1,13.043999671936035,1,12979.312019688989,0.8257654558745777
38,2015-03-19,1,13.20400047302246,1,13138.519346653959,0.9733654215649712
39,2015-03-20,1,13.32900047302246,1,13262.899448100276,0.7466522369883717
40,2015-03-23,2,13.444000244140623,0,13363.951584770435,0.5943493688308947
41,2015-03-24,0,13.312000274658203,0,13363.951584770435,-0.0625350194520737
42,2015-03-25,1,12.442999839782717,1,13350.587633185667,-0.15287226879944027
43,2015-03-26,1,12.470999717712402,1,13380.629811826833,0.13859616162256808
