episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,-5.9576396023631775,1.358325759235483,0.71557,0.0,sharpe_ratio,1,0,0.051282761950602884,0.018099342719489986,0.13811051685166661,0.13104970665578664,-0.24393884356883666,0.3519717269525655,0.13223367563973953,0.24520131655324204,0.5392861567732522,-0.32902624353046495
2,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,-10.959269472043674,1.2384160597402412,0.4311400000000001,0.0,sharpe_ratio,0,1,0.7100983220548951,0.14065123706662574,0.2862145183121516,0.4914189465162928,-0.43351815556589846,0.2838463380091476,0.14681720798612252,0.34362952404810626,0.4272543472299805,-0.6032157403578674
3,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,-14.75296507619158,1.0917512355204335,0.14671,0.0,sharpe_ratio,0,2,1.921509340626078,0.25624437147707035,0.30770800809699617,0.832751715048952,-0.3419771166461427,0.06881103847038439,0.07851209961953587,0.3307397160556962,0.23738334348184092,-0.5400346602329726
4,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,4.112073903874279,1.0826825323746694,0.050000000000000044,0.0,sharpe_ratio,0,3,4.026942844562438,0.3577800450180251,0.26106595938260696,1.3704584307511274,-0.18442066127305,-0.42715820645578817,-0.12158308042416188,0.2969187263059537,-0.4094826956076834,-0.5913144937322016
5,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,-7.288532531644734,1.0118877098770562,0.050000000000000044,0.0,sharpe_ratio,0,4,7.957440767326968,0.49596841170756134,0.25998542466405294,1.907677756737479,-0.20385576452267673,-0.11467750780763974,0.0035598746523866076,0.28769772150625045,0.012373663002086956,-0.4944963108098196
6,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,-19.655449814935437,0.9594981691880312,0.050000000000000044,0.0,sharpe_ratio,0,5,6.711968764530799,0.4540993400513391,0.24728887289602983,1.8363112530431593,-0.18442066127305012,-0.3123383231220275,-0.0724536423687766,0.2882490759441971,-0.2513577611010385,-0.5153809483121916
7,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,-28.125930323410444,0.9492763995168683,0.050000000000000044,0.0,sharpe_ratio,0,6,6.056245541508864,0.4300728922173438,0.24042120022666136,1.7888309841722982,-0.13918581482931935,-0.029078035810254366,0.02766142552169537,0.2700366968024359,0.10243580168636489,-0.3839866547628684
8,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,0.3377509195372573,0.9295300023111408,0.050000000000000044,0.0,sharpe_ratio,0,7,5.54093958169218,0.4080516179809761,0.22879605177577472,1.7834731622942335,-0.18641984227293285,0.15470381279250356,0.07895079357847878,0.24947098384020186,0.316472851323866,-0.3190489244962498
9,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,-16.64265818476405,0.9201676325751849,0.050000000000000044,0.0,sharpe_ratio,0,8,6.139843473578084,0.4260788702165528,0.21943161767218816,1.9417387281584813,-0.1373356797930546,0.08775079575343803,0.06177634153587941,0.2599419760128665,0.23765435072641608,-0.27084908255569506
10,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,176.7087268200203,2.744048770260795,0.050000000000000044,0.0,sharpe_ratio,0,9,8.388485576386676,0.4848912001663592,0.19210076917679608,2.5241502272179837,-0.13733567979305483,0.18813293049123248,0.08146044274094,0.2215490966812722,0.3676857363049043,-0.2528048803098858
