step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,36.45000076293945,0,10000.0,0.0
1,2015-01-26,2,35.810001373291016,0,10000.0,0.0
2,2015-01-27,0,34.189998626708984,0,10000.0,0.0
3,2015-01-28,2,33.779998779296875,0,10000.0,0.0
4,2015-01-29,2,34.209999084472656,0,10000.0,0.0
5,2015-01-30,0,33.040000915527344,0,10000.0,0.0
6,2015-02-02,2,33.650001525878906,0,10000.0,0.0
7,2015-02-03,0,33.70000076293945,0,10000.0,0.0
8,2015-02-04,1,33.599998474121094,1,9990.0,-0.0010000000000000009
9,2015-02-05,0,33.939998626708984,1,10091.08933567271,0.010119052619890878
10,2015-02-06,0,33.29999923706055,1,9900.803794216146,-0.01885678890819953
11,2015-02-09,1,32.93000030517578,1,9790.795178222437,-0.011111079290145542
12,2015-02-10,0,33.70000076293945,1,10019.732824722145,0.023382947179707347
13,2015-02-11,1,33.54999923706055,1,9975.134154734573,-0.004451083753204688
14,2015-02-12,0,34.130001068115234,1,10147.581135549142,0.01728768537240377
15,2015-02-13,0,34.36000061035156,1,10215.964931123139,0.006738925726292866
16,2015-02-17,0,34.7400016784668,1,10328.947396684709,0.011059402251603956
17,2015-02-18,1,34.27000045776367,1,10189.205955968855,-0.013529107599164147
18,2015-02-19,2,34.209999084472656,0,10161.19489487443,-0.002749091657924141
19,2015-02-20,0,34.40999984741211,0,10161.19489487443,0.0
20,2015-02-23,0,33.7599983215332,0,10161.19489487443,-0.013935781274745013
21,2015-02-24,2,34.40999984741211,0,10161.19489487443,-0.013900817299771823
22,2015-02-25,2,33.95000076293945,0,10161.19489487443,-0.01386594145076436
23,2015-02-26,0,33.650001525878906,0,10161.19489487443,-0.013831153502578937
24,2015-02-27,1,33.25,1,10151.033699979556,-0.357345069016223
25,2015-03-02,2,34.060001373291016,0,10387.924136537307,7.160193908929905
26,2015-03-03,2,34.099998474121094,0,10387.924136537307,-0.02874781377951934
27,2015-03-04,2,34.119998931884766,0,10387.924136537307,-0.02867514788082443
28,2015-03-05,2,33.72999954223633,0,10387.924136537307,-0.02860266919386954
29,2015-03-06,0,33.189998626708984,0,10387.924136537307,-0.028530377209834586
30,2015-03-09,0,32.720001220703125,0,10387.924136537307,-0.02845827142147875
31,2015-03-10,0,31.700000762939453,0,10387.924136537307,-0.028386351323134242
32,2015-03-11,2,32.33000183105469,0,10387.924136537307,-0.028314616410699982
33,2015-03-12,0,30.799999237060547,0,10387.924136537307,-0.028243066181635412
34,2015-03-13,1,30.93000030517578,1,10377.53621240077,-0.3368888736500125
35,2015-03-16,1,30.829999923706055,1,10343.984399606823,-1.045587986253886
36,2015-03-17,0,30.59000015258789,1,10263.460432869912,-2.550049580425395
37,2015-03-18,0,30.88999938964844,1,10364.115231304153,2.7873175913025943
38,2015-03-19,1,30.739999771118164,1,10313.787832087031,-1.5211903895153347
39,2015-03-20,0,31.309999465942383,1,10505.032333080648,4.828268484019221
40,2015-03-23,0,31.200000762939453,1,10468.125914960146,-1.0398994294849495
41,2015-03-24,1,30.790000915527344,1,10330.564058457805,-4.076445795847021
42,2015-03-25,1,29.88999938964844,1,10028.598383259887,-9.122007444226277
43,2015-03-26,0,30.079999923706055,1,10092.346763573623,1.4917921431963028
44,2015-03-27,1,32.0,1,10736.53913741652,14.005792423842925
45,2015-03-30,0,31.459999084472656,1,10555.359732297768,-2.9739635381926948
46,2015-03-31,0,31.270000457763672,1,10491.61199193163,-1.0016292831070632
47,2015-04-01,1,30.809999465942383,1,10337.273909058515,-2.460573555592122
48,2015-04-02,1,30.809999465942383,1,10337.273909058515,-0.012762838223752501
49,2015-04-06,0,31.040000915527344,1,10414.443270468872,1.1452652608730844
50,2015-04-07,0,31.260000228881836,1,10488.256746657475,1.0806306540123956
51,2015-04-08,0,31.309999465942383,1,10505.032333080648,0.2322768969448972
52,2015-04-09,2,31.239999771118164,0,10471.064709853055,-0.5339706422741038
53,2015-04-10,2,31.93000030517578,0,10471.064709853055,-0.01755090989737612
54,2015-04-13,0,31.729999542236328,0,10471.064709853055,-0.017506816254138406
55,2015-04-14,0,31.489999771118164,0,10471.064709853055,-0.017462834194470138
56,2015-04-15,2,32.83000183105469,0,10471.064709853055,-0.01741896342995864
57,2015-04-16,2,32.869998931884766,0,10471.064709853055,-0.017375203672981752
58,2015-04-17,2,32.470001220703125,0,10471.064709853055,-0.017331554636705326
59,2015-04-20,2,32.72999954223633,0,10471.064709853055,-0.01728801603508074
60,2015-04-21,0,32.43000030517578,0,10471.064709853055,-0.017244587582842436
61,2015-04-22,2,32.70000076293945,0,10471.064709853055,-0.01720126899550543
62,2015-04-23,2,32.349998474121094,0,10471.064709853055,-0.017158059989362876
63,2015-04-24,2,32.08000183105469,0,10471.064709853055,-0.0171149602814836
