episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,11.8023850447414,1.345233110854259,0.71557,0.0,sharpe_ratio,1,0,0.508312735722289,0.08869679506570072,0.17701617232470857,0.501066054591895,-0.381251220645192,-0.036003727477976755,0.0001501873090592465,0.15195387745262992,0.0009883743118438413,-0.2885325954604838
2,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,20.587831811009266,1.1359924527511012,0.4311400000000001,0.0,sharpe_ratio,1,0,0.13276447095447352,0.03776500724907539,0.1785083277412043,0.2115587979952728,-0.3504319940463232,0.16181375130923814,0.059551590894876716,0.1481181942642811,0.4020545294295264,-0.15015313463957403
3,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,11.197311431475457,1.0297542105894846,0.14671,0.0,sharpe_ratio,0,1,0.2808082973528303,0.06135031788234668,0.18822321412139154,0.32594448123056585,-0.3753533892217453,0.1600253887330776,0.060949269348577806,0.15973575406615106,0.38156309903753294,-0.2029824099466705
4,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,14.503475893218818,1.0812312364976409,0.050000000000000044,0.0,sharpe_ratio,0,2,0.3300965202213366,0.06706230666881519,0.18294168417481105,0.36657750786164944,-0.3753533892217453,0.10104583205041351,0.04312402387324643,0.15561246089635944,0.2771244900623207,-0.20902875369978013
5,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,19.839429397525944,1.0207025737227324,0.050000000000000044,0.0,sharpe_ratio,0,3,0.5539325022402659,0.09238039687252386,0.16728518350178828,0.55223298883213,-0.3526506075680512,0.03736030933460044,0.02295994309370175,0.1496236988155035,0.1534512465302236,-0.22809804585106996
6,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,13.732621206972672,1.0226592794210017,0.050000000000000044,0.0,sharpe_ratio,0,4,0.8466453979945214,0.12518304216359755,0.1703324906209236,0.7349334334703851,-0.3526506075680511,-0.013385234102621824,0.007082444744546779,0.14972148628356843,0.047304130625131655,-0.23084938155975154
7,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,10.3537078801662,1.0130854580668345,0.050000000000000044,0.0,sharpe_ratio,0,5,1.027864505600372,0.1423016670041808,0.16641017512133907,0.8551259975564631,-0.3209836679040158,0.07870108881563098,0.03515471809167914,0.14727392695569036,0.23870293145816623,-0.23886232643419758
8,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,14.370740993037801,1.016774908972328,0.050000000000000044,0.0,sharpe_ratio,0,6,1.7379093920550375,0.1981618482468568,0.14891761717913898,1.3306810302267995,-0.1655770768452961,0.07381134912497345,0.03349545109259355,0.14599665299997325,0.22942615741060646,-0.22612973036700312
9,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,-3.4627045081043195,1.0303379562630524,0.050000000000000044,0.0,sharpe_ratio,0,7,1.0285941674856631,0.141818192962597,0.16344562763894147,0.8676781080732218,-0.3369228628013746,0.06396929182124866,0.03041627945705816,0.14525824113210314,0.20939451847965365,-0.21993747766607463
10,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,9.804674917833413,1.0401258582103707,0.050000000000000044,0.0,sharpe_ratio,0,8,2.0405033892462994,0.2168758924361398,0.1342070622806836,1.6159797312496178,-0.1124414853330763,-0.0066555784186009825,0.008737700302005047,0.14647698856435074,0.05965237535018255,-0.1835816424813661
11,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,25.982317047636233,1.036151034679107,0.050000000000000044,0.0,sharpe_ratio,0,9,2.796251189132555,0.26222638163763023,0.1282395013744744,2.0448175392689527,-0.07625612138912985,0.03468046964589644,0.021047645229591794,0.14234422398389715,0.14786441374658682,-0.21293468684286532
12,44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,32.90141082150424,1.0539512662148587,0.050000000000000044,0.0,sharpe_ratio,0,10,2.5320974902366697,0.2472645956045656,0.12997892362383268,1.9023437701343424,-0.10964282631108913,0.040232273068155466,0.022381086067326805,0.13975146228555285,0.1601492084683575,-0.22364923003045645
