episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,45,sharpe_decay_seed45,sharpe,decay,0.005,20,1e-06,-0.9726452539280459,1.6245392416723263,0.71557,0.0,sharpe_ratio,1,0,9.083477543070373e-05,0.03245869167188942,0.25125863047464986,0.12918438507195582,-0.47125812069385,0.2602208553993206,0.08727300829314855,0.15132427110949284,0.5767284233604596,-0.16868418943278973
2,45,sharpe_decay_seed45,sharpe,decay,0.005,20,1e-06,-31.79358915924922,1.4019916176238534,0.4311400000000001,0.0,sharpe_ratio,0,1,0.5533986205971757,0.1156839329357362,0.2648411867719269,0.4368049182446824,-0.4120024080210797,0.11137780018115406,0.0992726278404572,0.34788209011681687,0.2853628590282472,-0.6115939490395428
3,45,sharpe_decay_seed45,sharpe,decay,0.005,20,1e-06,-21.114566906829765,1.2961674532097185,0.14671,0.0,sharpe_ratio,0,2,0.7256009165353754,0.1295590118408163,0.2436928162086032,0.5316488760584254,-0.33283505041183137,-0.12222386769650917,0.009311566011168448,0.3084873604252822,0.03018459491608174,-0.6621819212233169
4,45,sharpe_decay_seed45,sharpe,decay,0.005,20,1e-06,-24.061868341249,1.4431102157594684,0.050000000000000044,0.0,sharpe_ratio,0,3,2.991000725468684,0.3070047915920273,0.2639068168060784,1.1633075466088387,-0.26180946872823185,0.3769657285029986,0.16883152758247233,0.32801360198377,0.5147089223172704,-0.5403020237117132
5,45,sharpe_decay_seed45,sharpe,decay,0.005,20,1e-06,25.776595466472973,1.5209823043129806,0.050000000000000044,0.0,sharpe_ratio,0,4,2.486427519448966,0.2824405792902476,0.27620731134679066,1.022567353170571,-0.2635176114017408,0.12194439903150034,0.09798533596817927,0.3322076098269895,0.294952111479954,-0.6420296739032634
6,45,sharpe_decay_seed45,sharpe,decay,0.005,20,1e-06,12.90661612635011,1.5428827953243065,0.050000000000000044,0.0,sharpe_ratio,0,5,2.850879391583593,0.3055722384788362,0.2799851814065098,1.0913871832208741,-0.345921259233249,0.22907105074540612,0.12628322528608593,0.32307540559824255,0.39087848563478794,-0.6185400121262368
7,45,sharpe_decay_seed45,sharpe,decay,0.005,20,1e-06,-11.60807760732204,1.4949401792838084,0.050000000000000044,0.0,sharpe_ratio,0,6,2.769505783837455,0.2901631241994105,0.24902732085864857,1.165185904899612,-0.32961435968328134,0.02699167838663774,0.06446079439372698,0.3218383195605638,0.2002893703948659,-0.5984192648683275
8,45,sharpe_decay_seed45,sharpe,decay,0.005,20,1e-06,1.1756446764095174,1.3873612499268912,0.050000000000000044,0.0,sharpe_ratio,0,7,5.253924953589775,0.4007983686168004,0.23858011059345288,1.6799320262692472,-0.2567196462421776,0.10490059009639818,0.09697065819928508,0.3450933023176168,0.28099837796919996,-0.6115669493811958
9,45,sharpe_decay_seed45,sharpe,decay,0.005,20,1e-06,12.791732905812166,1.3406494329910559,0.050000000000000044,0.0,sharpe_ratio,0,8,4.429756770402013,0.37317430281040065,0.25180146938418924,1.4820179712336201,-0.2567196462421776,-0.049181187150705075,0.04315714222767686,0.3335339040086086,0.12939356901648882,-0.6344215729093573
10,45,sharpe_decay_seed45,sharpe,decay,0.005,20,1e-06,33.624351202271406,1.3596294256314168,0.050000000000000044,0.0,sharpe_ratio,0,9,9.127042846343343,0.51429789223436,0.22380046817211213,2.2980197335371204,-0.2567196462421776,0.3919460493615381,0.17751952166532403,0.3415708793849382,0.519715035382937,-0.5165776232806858
11,45,sharpe_decay_seed45,sharpe,decay,0.005,20,1e-06,28.06079398187573,1.3282985284118232,0.050000000000000044,0.0,sharpe_ratio,0,10,7.138899842511769,0.46738891203213706,0.24483648482769216,1.9089839178220107,-0.2814257198961143,-0.15061709013650904,0.012913163181008214,0.3518249601681259,0.036703374242797966,-0.5913787765404737
