episode,seed,run_name,state_mode,reward_mode,sentiment_imputation_mode,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,0.6050655738939317,2.573340389949198,0.71557,0.0,0.0,0.0,0.0,0.0
2,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,5160.791564634996,13482.778793825395,0.4311400000000001,-0.25328885155215397,0.009244868764002101,0.5594833334696729,0.01652393951875105,-0.6110458520574802
3,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,4.554173740958126,7155.329654919918,0.14671,-0.2755671921070725,-0.010280164670668723,0.5517010091693054,-0.018633579601653325,-0.61954502402621
4,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,-8.755492567565561,4129.243095086508,0.050000000000000044,0.12901942027468283,0.06500492115520262,0.0657357952851091,0.9888816416271144,-0.0010000000000000009
5,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,1188.4078609739265,3989.986624919321,0.050000000000000044,-0.4419632534901332,-0.17234305233546499,0.4562787805244013,-0.3777143704499935,-0.7411435319187666
6,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,0.48158708566095954,2682.461452086607,0.050000000000000044,0.09436634857977055,0.13150365275055198,0.39590474894768773,0.3321598265746694,-0.3768980752295731
7,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,-4.4305677583099135,4527.593639256442,0.050000000000000044,-0.20507840978207292,-0.009930964473924053,0.4586116463369782,-0.021654409680270065,-0.49383692328200657
8,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,-7.923973647096691,1776.0581427882653,0.050000000000000044,0.0,0.0,0.0,0.0,0.0
9,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,6539.750926871919,4142.316948413251,0.050000000000000044,0.0,0.0,0.0,0.0,0.0
10,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,154.7755941088227,5036.000923950432,0.050000000000000044,0.3269538942718033,0.1960178792922651,0.2742297050747256,0.7147944794633085,-0.22349286943404978
11,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,740.0441096724762,6345.26310762765,0.050000000000000044,0.21423688864451607,0.14611201481267266,0.2809379502228347,0.5200864272583301,-0.21912206501642462
12,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,754.706661733608,5017.097556296156,0.050000000000000044,0.30398285482466636,0.2015476455773797,0.31872567455802675,0.6323545972782504,-0.2558073772340931
13,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,758.7021356757695,3753.112162269667,0.050000000000000044,0.15110022600268858,0.09638461717940072,0.20647534328851205,0.4668093325057249,-0.21337293011288194
14,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,6862.457330698806,12230.723681215453,0.050000000000000044,0.14171928860482663,0.12867872068267117,0.33194069500243817,0.3876557548381526,-0.27299854104466625
15,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,751.3824569662889,4520.817755079938,0.050000000000000044,0.4176060220384823,0.2525574224581717,0.3182027420693544,0.7936997048351178,-0.30312780215048607
16,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,714.8133857199463,9039.307004503513,0.050000000000000044,0.42680948931714724,0.26066140947079264,0.3285718637016027,0.7933162825759058,-0.2172213613111481
17,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,760.147350256839,6139.314560962265,0.050000000000000044,0.08997054502783297,0.13099883919074107,0.40034593421549713,0.32721411158437635,-0.4742382334721015
18,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,714.6733768215878,7655.505818168681,0.050000000000000044,-0.6784047278088946,-0.3632946997999248,0.4837383210816395,-0.751014926805049,-0.7987562179603721
19,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,714.3739280963061,3756.073395188522,0.050000000000000044,-0.030710882662906003,0.07512268260933364,0.4197129620258624,0.17898585320484964,-0.477338400329851
20,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,712.5073654219576,3226.008900710799,0.050000000000000044,-0.564864063024735,-0.2627086195375202,0.4734823002982859,-0.5548435905038439,-0.7390559098501367
21,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,718.0722274543556,272.21933282496695,0.050000000000000044,-0.6122186096791928,-0.29467422188332104,0.5009821331582832,-0.5881930759199748,-0.7824052092626299
