episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,37.47664684711922,2.1241106058064942,0.71557,0.0,sharpe_ratio,1,0,2.702632604925654,0.28123769139845556,0.2347826571650549,1.1978639938500324,-0.22252945966934046,0.6067640561300547,0.21678481722297582,0.31003758552801614,0.6992210859008459,-0.47172982485208703
2,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,19.871981845042658,1.571184864861215,0.4311400000000001,0.0,sharpe_ratio,1,0,0.8973636105920193,0.14384195518073017,0.2310814283653349,0.622473022597554,-0.3197106464001974,0.7480320280823243,0.24736273624841165,0.3053110788547568,0.810199017920629,-0.3884027623234785
3,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,26.871320174753983,1.2319523798041767,0.14671,0.0,sharpe_ratio,0,1,1.8454413528542717,0.22808616435272433,0.24300860861657114,0.9385929397777342,-0.23188545496173518,0.6310667713040772,0.21961547085505084,0.3024849649172017,0.7260376426152801,-0.42014669091885126
4,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,12.68463380377958,1.2347650143131863,0.050000000000000044,0.0,sharpe_ratio,1,0,3.5128332143490884,0.32855317365999026,0.24680425714116946,1.3312297667218165,-0.255542380206668,0.9081641510217491,0.2794822492400375,0.29915219018190836,0.9342477120762179,-0.3812340224303704
5,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,11.644034389825608,1.1398277809879505,0.050000000000000044,0.0,sharpe_ratio,0,1,4.230085823901928,0.3516030505980112,0.21361598609643148,1.645958511921898,-0.17334156679574886,0.26732199747527585,0.10682523393849386,0.23465874759135755,0.45523652979058266,-0.26896867632686017
6,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,-11.363306803452236,1.1924007450570722,0.050000000000000044,0.0,sharpe_ratio,0,2,7.979851708422265,0.4781219474987808,0.20673530140170296,2.31272523007453,-0.13441967214503836,0.5485806353698148,0.1778846673252612,0.2333252546650685,0.7623892560649269,-0.24232832088069767
7,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,9.457919515942118,1.1263494426079725,0.050000000000000044,0.0,sharpe_ratio,0,3,8.459708500845123,0.4867128095202171,0.19180703150341533,2.5375128623037506,-0.12147054423700698,0.041047211743072465,0.038521218349479636,0.2243287594953227,0.1717176987745203,-0.31366742562008754
8,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,9.074116368126685,1.114899416047888,0.050000000000000044,0.0,sharpe_ratio,0,4,8.937652204681411,0.5007490268868808,0.19750665809090553,2.5353526393849632,-0.13744406934040154,0.36166432890972744,0.12743675659753095,0.21715387655273294,0.5868500190766092,-0.27033123432610595
9,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,-2.4338072109049707,1.1449902508564607,0.050000000000000044,0.0,sharpe_ratio,0,5,13.18339915706865,0.5904911748725279,0.18826611828474166,3.1364707587981604,-0.12465883921703791,0.4585754903170256,0.14904874969865078,0.2053719575792201,0.7257502506940694,-0.21371931358972052
10,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,-5.899708410158185,1.193698144468691,0.050000000000000044,0.0,sharpe_ratio,0,6,15.087044624584326,0.6278939690808796,0.1986340314728597,3.161059383556194,-0.13185761001255125,0.16954438232946267,0.07425255904726624,0.213072366565136,0.3484851660694692,-0.2979414880759861
11,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,19.046185685508842,1.2015895456692818,0.050000000000000044,0.0,sharpe_ratio,0,7,14.781709260026156,0.6178226724105487,0.18294465404595528,3.3771015372515505,-0.14416506438447574,0.5079650047460345,0.161757740367102,0.208239513751213,0.7767869673397169,-0.2166291906370924
12,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,29.464587125090862,1.1929659058073,0.050000000000000044,0.0,sharpe_ratio,0,8,15.226501389036795,0.6290110696825748,0.1947063375498802,3.2305628958863943,-0.1472814673166163,0.2031985714153448,0.0855832360303348,0.22070358285377814,0.38777456588475917,-0.30735169070765933
13,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,18.150244455658694,1.1108081309335105,0.050000000000000044,0.0,sharpe_ratio,0,9,18.390374818616582,0.671466901249844,0.17147704919645823,3.9157829248656837,-0.09720584439660473,0.16700311008578894,0.07046935656402487,0.1994534618239887,0.35331227605471105,-0.27356078582949095
14,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,18.88262010681049,1.0774946156030667,0.050000000000000044,0.0,sharpe_ratio,0,10,19.980638758597706,0.6977523718086707,0.18451041757121195,3.781642147871529,-0.1313474485994537,0.06693262939520195,0.04537713896158646,0.21972996935817296,0.20651319933340098,-0.3206591243182023
