episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,12.652187150616074,2.2989829499752092,0.71557,0.0,sharpe_ratio,1,0,-0.0468869640636741,0.032832904782554406,0.28278895797322784,0.11610391373790047,-0.512457595879636,-0.5371209790565454,-0.16694637183200367,0.3389688340271032,-0.4925124526895443,-0.689678571888412
2,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,18.748585225596997,1.5876679848493858,0.4311400000000001,0.0,sharpe_ratio,1,0,0.7578491584997402,0.13289731018197593,0.24338808762412809,0.546030463032412,-0.2987344463087752,-0.4029934761927384,-0.09984461829290692,0.33320810536310763,-0.2996464272203193,-0.6414945321856236
3,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,5.518026097489899,1.366465212985047,0.14671,0.0,sharpe_ratio,0,1,1.1405525385295987,0.17535501000610076,0.25858950094792515,0.6781211509488694,-0.3330747490352074,-0.5894141437063184,-0.20702829982241056,0.3022525445060872,-0.6849513877896937,-0.7106762911437592
4,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,29.962646997111978,1.448191740708743,0.050000000000000044,0.0,sharpe_ratio,0,2,1.758999462066328,0.22913985049973862,0.26639077192240274,0.8601643699823244,-0.193512029508354,-0.39334760368693333,-0.10607690316505292,0.2950462686220829,-0.3595263334813567,-0.6074631610983086
5,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,-0.33615769455426764,1.47499525300168,0.050000000000000044,0.0,sharpe_ratio,0,3,1.9998457342011462,0.23558973275612893,0.2302247216537226,1.0233033666578855,-0.2030637001791068,-0.5568979289123922,-0.18997507022731963,0.29326278927113225,-0.6477980745510835,-0.6604543596454258
6,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,8.585842959129748,1.505722418815674,0.050000000000000044,0.0,sharpe_ratio,0,4,4.161643514400129,0.3685783782840093,0.27347924005061625,1.3477380521307278,-0.3375146003618149,-0.48261281593176186,-0.1477102470189261,0.3021835340744576,-0.4888097145045981,-0.6285098587696762
7,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,12.791586073898548,1.4459627229289842,0.050000000000000044,0.0,sharpe_ratio,1,0,2.7661137627206305,0.27936929144334743,0.21474944709909563,1.3009080824987322,-0.21120309568715467,-0.33685081165045994,-0.08230745871390843,0.29045296782582547,-0.283376201420897,-0.5414422831067143
8,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,24.64786408223738,1.4005729083068863,0.050000000000000044,0.0,sharpe_ratio,0,1,7.282909199217054,0.4547120408519252,0.19410353357177443,2.3426262906428983,-0.16392722815893868,-0.4521451341353644,-0.1473356935853214,0.23803202899521478,-0.6189742372371381,-0.5418424153320731
9,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,2.3510430573156875,1.3875537526631403,0.050000000000000044,0.0,sharpe_ratio,0,2,8.701268660795545,0.4982677345037625,0.20906857380902283,2.383274183325675,-0.11805932954032305,-0.30958297888858466,-0.08400570336532098,0.23549918546255377,-0.35671334998599624,-0.5227709556842663
10,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,7.989584354682313,1.3468786749588144,0.050000000000000044,0.0,sharpe_ratio,0,3,10.886991730042082,0.5534881887640806,0.21861985847555387,2.5317379337063826,-0.17757297672853745,-0.31243308741922216,-0.08346808063379652,0.2436436758785859,-0.34258258636432193,-0.47744772900741506
