step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,77.83000183105469,1,9990.0,-0.0010000000000000009
1,2015-01-26,1,77.5,1,9947.642063283096,-0.004240033705395829
2,2015-01-27,1,75.77999877929688,1,9726.868431128712,-0.022193564138104915
3,2015-01-28,2,76.23999786376953,0,9776.126470252813,0.005064121045007752
4,2015-01-29,1,78.0,1,9766.35034378256,-0.0010000000000000009
5,2015-01-30,0,75.91000366210938,1,9504.662696948428,-0.026794824844751486
6,2015-02-02,1,74.98999786376953,1,9389.469120731783,-0.01211969113366107
7,2015-02-03,1,75.4000015258789,1,9440.80552337786,0.005467444643140418
8,2015-02-04,1,75.62999725341797,1,9469.60320097683,0.0030503411523157276
9,2015-02-05,1,75.61000061035156,1,9467.099428901367,-0.0002644009492609456
10,2015-02-06,0,74.47000122070312,1,9324.360538760278,-0.015077362524083426
11,2015-02-09,1,74.44000244140625,1,9320.60440301029,-0.00040283038545918526
12,2015-02-10,1,75.19000244140625,1,9414.511617854352,0.010075228041406037
13,2015-02-11,1,76.51000213623047,1,9579.788277768961,0.01755552137204508
14,2015-02-12,1,76.2300033569336,1,9544.729737070951,-0.003659636276029943
15,2015-02-13,0,75.73999786376953,1,9483.376335575846,-0.006427987296153015
16,2015-02-17,1,75.5999984741211,1,9465.84706522684,-0.0018484208291139614
17,2015-02-18,1,76.70999908447266,1,9604.829819617942,0.01468254805231961
18,2015-02-19,1,79.41999816894531,1,9944.147774621659,0.035327846653842476
19,2015-02-20,0,79.9000015258789,1,10004.248812442238,0.006043860085623631
20,2015-02-23,1,78.83999633789062,1,9871.525965876588,-3.2108053410057105
21,2015-02-24,1,78.44999694824219,1,9822.694290579564,-1.146575503846515
22,2015-02-25,1,79.55999755859375,1,9961.677044970664,3.3905381726088493
23,2015-02-26,1,80.41000366210938,1,10068.105986012806,2.4276791594723983
24,2015-02-27,0,78.97000122070312,1,9887.803827824657,-4.158193797110289
25,2015-03-02,1,79.75,1,9985.467178418708,2.1602870313132807
26,2015-03-03,1,79.5999984741211,1,9966.685544395177,-0.4076180052454645
27,2015-03-04,1,80.9000015258789,1,10129.458432234322,3.5015633341120345
28,2015-03-05,1,81.20999908447266,1,10168.27310868232,0.787637307461792
29,2015-03-06,0,80.01000213623047,1,10018.021947041254,-3.2314513374681813
30,2015-03-09,1,79.44000244140625,1,9946.65250197071,-1.477072281814421
31,2015-03-10,0,77.55000305175781,1,9710.006396985558,-4.8851612324021225
32,2015-03-11,1,77.56999969482422,1,9712.51016906102,0.06133596135693014
33,2015-03-12,1,78.93000030517578,1,9882.795328400143,3.5551974656460708
34,2015-03-13,0,78.05000305175781,1,9772.6112068816,-2.1017792220844407
35,2015-03-16,0,78.06999969482422,1,9775.114978957063,0.05581454764617554
36,2015-03-17,1,79.36000061035156,1,9936.635503121683,3.196039420042943
37,2015-03-18,2,80.91000366210938,0,10120.580085112939,3.411850100624862
38,2015-03-19,1,82.75,1,10110.459505027826,-0.18885501515178912
39,2015-03-20,1,83.80000305175781,1,10238.749696386774,2.2370474317449607
40,2015-03-23,1,84.43000030517578,1,10315.723251902922,1.3040734671507088
41,2015-03-24,1,85.30999755859375,1,10423.242002298306,1.7831395605605687
42,2015-03-25,1,82.91999816894531,1,10131.23001382602,-5.5197683895559155
43,2015-03-26,1,83.01000213623047,1,10142.226768708539,0.17302879996590984
44,2015-03-27,1,83.30000305175781,1,10177.659306628299,0.5744651530775549
45,2015-03-30,0,83.19999694824219,1,10165.440482944306,-0.2125869553277202
46,2015-03-31,1,82.22000122070312,1,10045.703841030301,-2.0334082797293807
47,2015-04-01,1,81.66999816894531,1,9978.504039429828,-1.1293762210347629
48,2015-04-02,0,81.55999755859375,1,9965.064079109734,-0.22708320599456747
49,2015-04-06,1,82.44000244140625,1,10072.58376167049,1.8017734550133424
50,2015-04-07,1,82.31999969482422,1,10057.921732548923,-0.24866632470946512
51,2015-04-08,1,82.27999877929688,1,10053.034389508399,-0.08636277789368538
52,2015-04-09,1,82.16999816894531,1,10039.594429188304,-0.22902281938603758
53,2015-04-10,0,82.04000091552734,1,10023.711263430634,-0.27017140770237835
54,2015-04-13,0,83.01000213623047,1,10142.226768708539,1.9701416766949191
55,2015-04-14,1,83.5199966430664,1,10204.538295103117,1.0084558310118485
56,2015-04-15,0,82.70999908447266,1,10105.572161987304,-1.6603629564045075
57,2015-04-16,1,82.30999755859375,1,10056.699663747448,-0.8157702742010022
58,2015-04-17,0,80.77999877929688,1,9869.76322023297,-3.14582822198774
59,2015-04-20,1,83.08999633789062,1,10152.000522624212,4.722154928595086
60,2015-04-21,1,83.62000274658203,1,10216.757118787109,0.9730261848582549
61,2015-04-22,2,84.62999725341797,0,10329.818875905223,1.6746905360701854
62,2015-04-23,0,82.41000366210938,0,10329.818875905223,-0.015103569334185272
63,2015-04-24,0,81.52999877929688,0,10329.818875905223,-0.01506566017890845
64,2015-04-27,1,81.91000366210938,1,10319.489057029317,-0.17074413079301964
65,2015-04-28,0,80.68000030517578,1,10164.52622447536,-2.4326455684164023
66,2015-04-29,1,80.47000122070312,1,10138.069343052899,-0.4105047311750486
67,2015-04-30,0,78.7699966430664,1,9923.893078231937,-3.3451683195670427
68,2015-05-01,0,78.98999786376953,1,9951.610085777735,0.4212698275354276
69,2015-05-04,1,78.80999755859375,1,9928.932621530683,-0.34431682917662165
70,2015-05-05,0,77.55999755859375,1,9771.450497924652,-2.3955634453605255
71,2015-05-06,2,78.0999984741211,0,9829.643407775144,0.9016311050087564
72,2015-05-07,2,78.43000030517578,0,9829.643407775144,0.004090416064843099
73,2015-05-08,0,78.51000213623047,0,9829.643407775144,0.004080175162324133
74,2015-05-11,0,78.01000213623047,0,9829.643407775144,0.004069959909485153
75,2015-05-12,2,77.45999908447266,0,9829.643407775144,0.004059770242006668
76,2015-05-13,2,78.44000244140625,0,9829.643407775144,0.0040496060957310506
77,2015-05-14,2,81.37000274658203,0,9829.643407775144,0.004039467406662126
78,2015-05-15,0,80.41999816894531,0,9829.643407775144,0.004029354110964756
79,2015-05-18,0,80.87999725341797,0,9829.643407775144,0.0040192661449644325
80,2015-05-19,1,80.62999725341797,1,9819.813764367369,-0.14846955252618552
81,2015-05-20,0,80.55000305175781,1,9810.071383252522,-0.147260554946211
82,2015-05-21,0,80.4800033569336,1,9801.546219043772,-0.12840952677900744
83,2015-05-22,0,80.54000091552734,1,9808.85323717321,0.11972761501608493
84,2015-05-26,0,79.33000183105469,1,9661.489153465855,-2.2845779719436043
85,2015-05-27,1,80.55000305175781,1,9810.071383252522,2.4131835520249605
86,2015-05-28,0,80.1500015258789,1,9761.355760985436,-0.7416330287744883
87,2015-05-29,0,79.19000244140625,1,9644.438825048357,-1.7808319498802967
88,2015-06-01,0,80.29000091552734,1,9778.406089402934,2.143138962556692
89,2015-06-02,0,80.44000244140625,1,9796.674563899742,0.2839130297009004
90,2015-06-03,2,82.44000244140625,0,10030.211494315896,3.620449673895619
91,2015-06-04,0,82.05000305175781,0,10030.211494315896,-0.004075184086183658
92,2015-06-05,0,82.13999938964844,0,10030.211494315896,-0.004064981334119914
93,2015-06-08,0,80.66999816894531,0,10030.211494315896,-0.004054804136069757
94,2015-06-09,2,80.66999816894531,0,10030.211494315896,-0.0040446524279544455
95,2015-06-10,2,82.16000366210938,0,10030.211494315896,-0.004034526145856488
96,2015-06-11,0,81.83000183105469,0,10030.211494315896,-0.004024425226019228
97,2015-06-12,0,81.52999877929688,0,10030.211494315896,-0.0040143496048464416
98,2015-06-15,0,80.70999908447266,0,10030.211494315896,-0.004004299218901927
99,2015-06-16,2,81.05999755859375,0,10030.211494315896,-0.003994274004909098
100,2015-06-17,2,81.79000091552734,0,10030.211494315896,-0.003984273899750577
101,2015-06-18,2,82.91000366210938,0,10030.211494315896,-0.003974298840467793
102,2015-06-19,0,82.51000213623047,0,10030.211494315896,-0.003964348764260577
103,2015-06-22,2,84.73999786376953,0,10030.211494315896,-0.003954423608486757
104,2015-06-23,2,87.87999725341797,0,10030.211494315896,-0.003944523310661761
105,2015-06-24,1,88.86000061035156,1,10020.18128282158,-0.15420763866198872
106,2015-06-25,1,87.9800033569336,1,9920.949548103294,-1.502358749890837
107,2015-06-26,1,88.01000213623047,1,9924.33232105798,0.05137022878719976
108,2015-06-29,1,85.80000305175781,1,9675.124676345156,-3.7770408891068996
109,2015-06-30,1,85.7699966430664,1,9671.741043071816,-0.0417402769436633
110,2015-07-01,1,86.91000366210938,1,9800.292437580458,1.986860167118732
111,2015-07-02,1,87.29000091552734,1,9843.142328870903,0.6404836668814389
112,2015-07-06,0,87.55000305175781,1,9872.461128342604,0.4360553810586961
113,2015-07-07,0,87.22000122070312,1,9835.24890520375,-0.5465300861211262
