episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,2.721322764775404,1.81123713695277,0.71557,0.0,sharpe_ratio,1,0,1.986968131209625,0.29820278361662056,0.39388779447143724,0.7570754610885632,-0.609900162806148,0.3616451473869804,0.1699046981683756,0.34934843834839596,0.4863473813469123,-0.37769276705281785
2,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,23.207012195187584,1.618112719489004,0.4311400000000001,0.0,sharpe_ratio,1,0,14.827261190822473,0.7303880189068797,0.409735044049008,1.7825861602883024,-0.3719975063032366,1.4375487450925686,0.434597326989554,0.40829383517957224,1.064422946279395,-0.5661320417413775
3,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,23.496878718178678,1.322244009337747,0.14671,0.0,sharpe_ratio,0,1,7.486329165362337,0.5481353211169977,0.3945052240969544,1.3894247468375396,-0.4600702322577459,0.5116496962728829,0.24877462807141337,0.4337058380292287,0.5736022120473456,-0.5395856284130323
4,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,24.217010305701113,1.4156228426940933,0.050000000000000044,0.0,sharpe_ratio,0,2,46.83190629838355,1.1282525791967633,0.45867548107091144,2.4598057357732075,-0.4208577503364841,-0.3643605911248501,-0.011411007712365806,0.510527227908941,-0.02235141847204495,-0.7497305718955168
5,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,13.019438845556898,1.5801108437692952,0.050000000000000044,0.0,sharpe_ratio,0,3,36.58126619593646,1.0254739268309585,0.43750774797933556,2.343898894516021,-0.3509845060485618,-0.3667743302430726,-0.01971268399276127,0.49609816775014054,-0.039735450106902125,-0.7811019613366631
6,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,11.76706357614124,1.6224710025943432,0.050000000000000044,0.0,sharpe_ratio,0,4,47.6004705352707,1.1051422684674637,0.4273463587504079,2.5860575288367516,-0.519401865492404,0.8400831107942213,0.34971011770678295,0.47004447915554437,0.743993671269265,-0.5342675501816259
7,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,3.9870102512665895,1.591679361675609,0.050000000000000044,0.0,sharpe_ratio,0,5,36.75015239597623,1.0095615579093353,0.4180321980403691,2.41503301095444,-0.5194018654924041,0.9025865755661022,0.3744061874141238,0.4857473157797171,0.7707838525327319,-0.605489316253794
8,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,17.96267464513333,1.5674832064307525,0.050000000000000044,0.0,sharpe_ratio,0,6,72.05680850748253,1.2599226403527144,0.433277063396957,2.907891385883048,-0.5194018654924042,1.2475158054606754,0.46122296201347623,0.5043418824233733,0.9145045812917425,-0.6105238803187636
9,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,16.132918713398066,1.62130978156028,0.050000000000000044,0.0,sharpe_ratio,0,7,153.11418575400774,1.5390745913566168,0.41323534111379534,3.7244505448356406,-0.3515785387121698,0.6577706724040151,0.31402303299819434,0.4821080440759257,0.6513540623452858,-0.5046421057151284
10,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,17.197247848296026,1.6935859005213898,0.050000000000000044,0.0,sharpe_ratio,0,8,145.63989689460124,1.5312215596838028,0.42519730798316147,3.601202385186413,-0.5181803726955712,0.31074575646665514,0.2099471724663522,0.46285738926795716,0.4535893286664366,-0.6633237052491309
11,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,12.649551482194022,1.6376334829336814,0.050000000000000044,0.0,sharpe_ratio,0,9,168.27747812958035,1.559777147104774,0.39265985897205796,3.9723366457373714,-0.39437821766017045,0.5535016479605048,0.2821239610104376,0.4725671061719097,0.597002959634281,-0.5378524146369354
12,46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,24.71351828938648,1.5719095123714022,0.050000000000000044,0.0,sharpe_ratio,0,10,278.7254840172445,1.7929880952757071,0.400494478898182,4.47693586240808,-0.3281346554147614,-0.02342654411318723,0.10964526985411394,0.4730309721418503,0.23179300365396377,-0.6609801575716313
