episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,42,sharpe_none_eta0p01_seed42,sharpe,none,0.01,20,1e-06,0.44615121364304455,1.1694247292784543,0.71557,0.0,sharpe_ratio,1,0,1.6990137247828074,0.20917645978638166,0.2144605556049231,0.9753609897930333,-0.2410728725199045,0.3803776115838058,0.1468983085911002,0.2696909978393232,0.5446911827536024,-0.425019829774378
2,42,sharpe_none_eta0p01_seed42,sharpe,none,0.01,20,1e-06,5.970927210963374,0.9611992028528799,0.4311400000000001,0.0,sharpe_ratio,1,0,9.751040086562705,0.5482815066270523,0.27380701565198146,2.002437758293008,-0.3106366246073139,0.46085372504335864,0.19774068592300176,0.35255327899138134,0.5608817098190592,-0.4893891758071476
3,42,sharpe_none_eta0p01_seed42,sharpe,none,0.01,20,1e-06,15.396160361020435,0.8771480983228944,0.14671,0.0,sharpe_ratio,0,1,17.55495875360648,0.6920875418535777,0.26289411161922843,2.632571485115597,-0.24384071406962893,0.20993321246496355,0.11898535555115441,0.32471179071375766,0.3664337389461883,-0.5097606559339644
4,42,sharpe_none_eta0p01_seed42,sharpe,none,0.01,20,1e-06,3.9655676871227956,0.7405254123962635,0.050000000000000044,0.0,sharpe_ratio,0,2,23.6315432780032,0.7711031694063515,0.2546968928075812,3.0275326915311283,-0.19470952140184938,0.027383078027491514,0.0644788657842934,0.32884710274762663,0.19607551730135706,-0.5070671591092308
5,42,sharpe_none_eta0p01_seed42,sharpe,none,0.01,20,1e-06,1.3884340865173432,0.667202490305375,0.050000000000000044,0.0,sharpe_ratio,0,3,43.20940365443193,0.9497564811334316,0.2452438512650364,3.8727025213244777,-0.19210901346591258,0.3542093519181564,0.156960898872736,0.32012673722915,0.4903086203648831,-0.396727025625642
6,42,sharpe_none_eta0p01_seed42,sharpe,none,0.01,20,1e-06,2.9203448730853134,0.6382429611905862,0.050000000000000044,0.0,sharpe_ratio,1,0,65.49808353286345,1.0794168107901982,0.22671429640053678,4.7611325263899085,-0.15005956994400405,0.5495241562638744,0.19687587512530635,0.2945447651285324,0.6684073133650648,-0.34964566507860917
7,42,sharpe_none_eta0p01_seed42,sharpe,none,0.01,20,1e-06,8.869232850469082,0.6443800237589704,0.050000000000000044,0.0,sharpe_ratio,0,1,79.06808737976488,1.1410966532896447,0.2175179648903553,5.245988090523188,-0.1226869206190846,0.11110054143955472,0.07614273055742227,0.2860902631984388,0.2661493254127559,-0.3365401536838456
8,42,sharpe_none_eta0p01_seed42,sharpe,none,0.01,20,1e-06,13.353205607981387,0.6389986982167205,0.050000000000000044,0.0,sharpe_ratio,0,2,87.00519725663838,1.1729197563750837,0.21249760267348203,5.519684653465761,-0.11967737383288224,0.07117241394209373,0.06277835778952712,0.28233861723280956,0.22235129719347463,-0.38946095758360355
9,42,sharpe_none_eta0p01_seed42,sharpe,none,0.01,20,1e-06,4.767589617933867,0.6340801821562475,0.050000000000000044,0.0,sharpe_ratio,0,3,88.64800530117893,1.1726815735978477,0.19593226709958372,5.985137573087058,-0.07555490272228205,0.13847987185804,0.07949076839892832,0.26916586754672117,0.2953226169552516,-0.45618643502106937
10,42,sharpe_none_eta0p01_seed42,sharpe,none,0.01,20,1e-06,5.969126389651646,0.6263349768354165,0.050000000000000044,0.0,sharpe_ratio,0,4,172.3054569048489,1.4322875667008899,0.20551062992401212,6.969408673558543,-0.05380097861920197,0.2654799012651585,0.11725793144109331,0.27429224439972677,0.42749269742462365,-0.42076749796850477
11,42,sharpe_none_eta0p01_seed42,sharpe,none,0.01,20,1e-06,21.230660805700236,0.6080712011319124,0.050000000000000044,0.0,sharpe_ratio,0,5,93.0779328827808,1.1854090497477197,0.18393474475549362,6.444726097418387,-0.044178425929056075,-0.06836914904515379,0.009078755533360683,0.2503369855420637,0.03626613747745714,-0.5154437623923969
12,42,sharpe_none_eta0p01_seed42,sharpe,none,0.01,20,1e-06,14.794180915091228,0.6059772363287175,0.050000000000000044,0.0,sharpe_ratio,0,6,261.00517507188636,1.6153974667946187,0.21998907970698187,7.343080251739197,-0.06645072634409177,0.4298442194151413,0.1672812779316355,0.2947448065439455,0.567546142349736,-0.4554814226455751
13,42,sharpe_none_eta0p01_seed42,sharpe,none,0.01,20,1e-06,13.824971818540734,0.5941173678329967,0.050000000000000044,0.0,sharpe_ratio,0,7,137.8646678515746,1.3416351356435805,0.20234413975413376,6.630462030053291,-0.13375615264651208,0.0505735680595405,0.0538404692905321,0.2731473026053589,0.19711148079071603,-0.47756098469997166
14,42,sharpe_none_eta0p01_seed42,sharpe,none,0.01,20,1e-06,-12.102635342644664,0.6012663313087496,0.050000000000000044,0.0,sharpe_ratio,0,8,156.3584025242241,1.3838424410972512,0.18526057199762236,7.4697083474135635,-0.05198581832532734,0.07726840252782874,0.06266887845632607,0.2750560000924407,0.2278404340762039,-0.4447148654449532
15,42,sharpe_none_eta0p01_seed42,sharpe,none,0.01,20,1e-06,7.863586209989509,0.598538122658102,0.050000000000000044,0.0,sharpe_ratio,0,9,258.23777201287993,1.6030396891958274,0.20572429884351914,7.7921747611114895,-0.06645072634409199,0.17171195071984302,0.09190299617446285,0.27826956487014426,0.3302660720993681,-0.4679175812490399
16,42,sharpe_none_eta0p01_seed42,sharpe,none,0.01,20,1e-06,-8.65406974982598,0.6130379666546304,0.050000000000000044,0.0,sharpe_ratio,0,10,296.47847546496155,1.6664564468336054,0.21028531830804884,7.924739873624456,-0.11394508916293311,0.2731847551686071,0.12201074284174362,0.2828623157801179,0.4313432226037076,-0.4556163131931331
