step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,10.697999954223633,1,9990.0,-0.0010000000000000009
1,2015-01-26,2,10.67300033569336,0,9956.688216115544,-0.0033345129013468977
2,2015-01-27,2,10.479000091552734,0,9956.688216115544,0.0
3,2015-01-28,0,10.5,0,9956.688216115544,0.0
4,2015-01-29,2,10.652999877929688,0,9956.688216115544,0.0
5,2015-01-30,2,10.288000106811523,0,9956.688216115544,0.0
6,2015-02-02,0,10.241999626159668,0,9956.688216115544,0.0
7,2015-02-03,2,10.31999969482422,0,9956.688216115544,0.0
8,2015-02-04,2,10.479999542236328,0,9956.688216115544,0.0
9,2015-02-05,2,10.619999885559082,0,9956.688216115544,0.0
10,2015-02-06,2,10.473999977111816,0,9956.688216115544,0.0
11,2015-02-09,1,10.223999977111816,1,9946.731527899428,-0.001000000000000112
12,2015-02-10,1,10.70400047302246,1,10413.714712247056,0.04694840541717582
13,2015-02-11,2,10.793999671936035,0,10490.771916299685,0.00739958854086975
14,2015-02-12,2,10.970000267028809,0,10490.771916299685,0.0
15,2015-02-13,1,11.015000343322754,1,10480.281144383385,-0.0010000000000000009
16,2015-02-17,2,11.086999893188477,0,10538.236716697138,0.005529963511027747
17,2015-02-18,0,11.0,0,10538.236716697138,0.0
18,2015-02-19,2,11.09000015258789,0,10538.236716697138,0.0
19,2015-02-20,1,11.206000328063965,1,10527.698479980441,-0.0010000000000000009
20,2015-02-23,0,11.28499984741211,1,10601.916139753108,1.9210692153591808
21,2015-02-24,1,11.317999839782717,1,10632.918634786894,0.8025594076364109
22,2015-02-25,2,11.267999649047852,0,10575.35902244595,-1.7931985678924791
23,2015-02-26,1,12.925000190734863,1,10564.783663423503,-0.3437361299983111
24,2015-02-27,2,12.76200008392334,0,10421.117233390565,-4.769572397276511
25,2015-03-02,0,12.902000427246094,0,10421.117233390565,-0.02849148894999987
26,2015-03-03,1,12.821999549865724,1,10410.696116157174,-0.31901711520594384
