episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,-28.58740313607788,0.8453518441663339,0.71557,0.0,sharpe_ratio,1,0,0.41215539264928336,0.08497742835379718,0.215363398563654,0.39457692867286726,-0.3572613605950684,0.3052705849797943,0.12206614802993276,0.2533407763670926,0.4818259017768937,-0.41800816288940335
2,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,4.570049947092546,0.9121939628898261,0.4311400000000001,0.0,sharpe_ratio,0,1,8.46257532991811,0.5120599633193623,0.2678369488332314,1.9118346648960534,-0.33339900054259675,-0.1196310438047018,-0.002669832647823167,0.2726707473367151,-0.009791415741880994,-0.2843552543921771
3,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,18.950356882686332,1.1513737906156258,0.14671,0.0,sharpe_ratio,0,2,6.22868420980058,0.442866570692348,0.2595693152372764,1.706159182519385,-0.24709400459235387,-0.10684807449973921,0.007891584462682788,0.29338870430842634,0.02689805144777053,-0.4588769032365422
4,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,16.440932394623317,1.1356664711862066,0.050000000000000044,0.0,sharpe_ratio,0,3,14.092732107192868,0.6349091369306621,0.26658970332462173,2.3815966221228884,-0.2126309948545806,-0.06953080512451382,0.015953579480580293,0.2766444902445132,0.05766816272566884,-0.4669989171974326
5,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,14.283734891942421,1.0570091343395855,0.050000000000000044,0.0,sharpe_ratio,0,4,19.943405405405564,0.7208198733330329,0.25147705881973775,2.86634445589618,-0.14718674532248477,0.05869129448069854,0.05890130902994106,0.28116711118836096,0.20948861615070472,-0.5017104299847723
6,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,12.463438146866917,0.9638907440957342,0.050000000000000044,0.0,sharpe_ratio,0,5,24.31949430521409,0.771776641529035,0.24043986034873527,3.2098531433583686,-0.10537209143664783,0.003475349626227864,0.03586639503074118,0.26135830038866004,0.13723074789438514,-0.41675240053787754
7,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,13.496084662637472,0.9017628612881433,0.050000000000000044,0.0,sharpe_ratio,1,0,41.39892170079433,0.9269254186976603,0.22829111162323232,4.060278177748076,-0.10537209143664783,0.45660666928932536,0.15635161910735818,0.23649851567290275,0.6611103611474904,-0.2468954935717692
8,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,-12.654569066006307,0.9185165666347356,0.050000000000000044,0.0,sharpe_ratio,0,1,54.585026299217326,1.0227921258103727,0.24083285030899473,4.24689623736174,-0.09135408108668408,0.24324365661913938,0.1084041418335715,0.26427481551922144,0.4101947498121968,-0.4010619297720881
9,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,18.641535251922832,0.8715802600922071,0.050000000000000044,0.0,sharpe_ratio,0,2,70.51696859923496,1.1060106716025424,0.23193523503255983,4.768618582024749,-0.10537209143664783,0.431880275745365,0.15057023810069192,0.23725275551515124,0.6346406294576263,-0.2523779450138439
10,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,-24.164645882789188,0.9078718302006235,0.050000000000000044,0.0,sharpe_ratio,0,3,86.49102364762744,1.1846511558047395,0.2433389754438874,4.868316526950749,-0.11980014366425884,0.4342961187772034,0.1556303105385648,0.25366076716744634,0.6135371751668253,-0.3605246157636949
