episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-8.866115669354201,1.5742214064185436,0.71557,0.0,sharpe_ratio,1,0,1.683818857890241,0.22756558760943912,0.2770966951202855,0.8212497356226305,-0.39331696923663595,1.7800195221447765,0.4881141697019673,0.3957464594873744,1.2334012294999186,-0.556680289817913
2,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-3.134135261532533,1.3648910406994357,0.4311400000000001,0.0,sharpe_ratio,0,1,3.512388138243411,0.3337028629340979,0.2618958008284239,1.2741818000843665,-0.3513113790913278,0.94146866895386,0.31971068457756546,0.3721737734300604,0.8590360401567793,-0.5041890498205217
3,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,16.484136535605902,1.2429140219110286,0.14671,0.0,sharpe_ratio,0,2,6.796922300864055,0.4558954729676812,0.24506641205062016,1.8602935798215907,-0.2907713541950915,0.5833305936336028,0.23715115963190736,0.3696159338248618,0.6416150872550821,-0.49884134898695787
4,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,11.191223198479554,1.1587687371250146,0.050000000000000044,0.0,sharpe_ratio,0,3,10.11577328792411,0.5426985055408411,0.23758663172525524,2.2842131377510193,-0.2520179948517214,-0.048543934747526274,0.052899893149293,0.3612959067993732,0.14641708404039072,-0.6113073438886538
5,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,8.047361986216973,1.135530947981951,0.050000000000000044,0.0,sharpe_ratio,0,4,12.490088077325472,0.5892929140085816,0.22533716691768202,2.6151607480884693,-0.17821084742339144,0.29237410769099403,0.15368607280617907,0.34954911718713155,0.43966946345884506,-0.5473533064247544
6,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,1.5521007198654522,1.115140420003342,0.050000000000000044,0.0,sharpe_ratio,0,5,16.73221070103701,0.6656913556019728,0.22942196451427618,2.901602542770263,-0.1928315436575786,-0.1610309882227169,0.006093949208635596,0.3436623329490478,0.017732374555983414,-0.6113299652937175
7,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,17.421745802243993,1.0319089287109349,0.050000000000000044,0.0,sharpe_ratio,0,6,31.440102422172444,0.8400861300735389,0.22019708985461314,3.8151554619918566,-0.1471702454074989,-0.27275515321936517,-0.027693896808863583,0.36787393424817855,-0.07528094336300671,-0.7003210883073983
8,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,23.70546606598063,1.0008702605425237,0.050000000000000044,0.0,sharpe_ratio,0,7,29.252232346022417,0.8232569390563977,0.23152840753710782,3.555749153262982,-0.15407197211758616,-0.17678089415199683,0.01118332540660627,0.3691127232807721,0.030297859437642512,-0.6704675151482183
9,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,28.962296606822537,0.976705626977151,0.050000000000000044,0.0,sharpe_ratio,0,8,40.57186504368053,0.9161217980629912,0.2143424814236482,4.274102790908142,-0.10977521046382277,-0.2631191750818378,-0.02530073553447265,0.3631820994356559,-0.069664048899401,-0.6587710997412803
10,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,5.232768107282852,1.0187980703058925,0.050000000000000044,0.0,sharpe_ratio,0,9,35.368119001494634,0.8661101552139869,0.1954271756420568,4.431881862737191,-0.09354131672840604,-0.01056302003966647,0.05696235684190065,0.3318891186804312,0.17163068517696256,-0.509342972438442
11,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,17.204048344727404,0.9683041601636526,0.050000000000000044,0.0,sharpe_ratio,0,10,68.14977058463057,1.082036488401788,0.20185236458171235,5.360534124254789,-0.09354131672840604,-0.1472537505141044,0.005720904136523819,0.32730545189132426,0.017478792679638405,-0.6003404303845934
