episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-3.293799676976252,1.6979823969304562,0.71557,0.0,sharpe_ratio,1,0,1.1938883366778872,0.1755931555432031,0.242344262429693,0.724560811891079,-0.3237888796449385,0.5513195750343971,0.17799087325088148,0.23117117834089274,0.7699527014064452,-0.40119064370593605
2,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,22.314748820664633,1.0845672822866586,0.4311400000000001,0.0,sharpe_ratio,1,0,2.7083698491193746,0.2856774497303096,0.2477020242386676,1.1533109210890085,-0.2255669210425204,1.0444559826919395,0.2924085876993374,0.2580659623772373,1.1330769273318524,-0.3683820580227136
3,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,25.135377276936016,1.0105382808264527,0.14671,0.0,sharpe_ratio,0,1,4.307006263482378,0.36306963162275774,0.23989260165093684,1.5134673980111044,-0.176769704102561,0.5459155149995278,0.18154768951119626,0.2483173388183719,0.731111610550831,-0.377214479143428
4,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,39.174859486754265,0.9665695085434732,0.050000000000000044,0.0,sharpe_ratio,0,2,9.92697208009722,0.5360901075205804,0.23144994076615927,2.316224863769605,-0.17335060600672558,0.6030377692807856,0.19164106676234471,0.23677381842880887,0.8093845342953985,-0.23801028915933486
5,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,21.165325692981906,0.958758195639453,0.050000000000000044,0.0,sharpe_ratio,0,3,16.326502446669746,0.6574087684368906,0.22448860974050883,2.9284727149266208,-0.1265888159771893,0.5697227735229102,0.18049214033714178,0.22444653856522528,0.8041653994351526,-0.17443527467695186
6,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,19.957178788649156,0.9330545318827441,0.050000000000000044,0.0,sharpe_ratio,0,4,19.224280494346498,0.7017286887575036,0.22608058634380152,3.1038874239753715,-0.14943254175562015,0.5733278793245429,0.1816402338353591,0.22551233687345124,0.8054558626532639,-0.2657596035324028
7,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,11.9976636204192,0.9066933510537616,0.050000000000000044,0.0,sharpe_ratio,0,5,20.893149879811432,0.718584124540812,0.210191552384123,3.418710773055268,-0.11831385783732484,0.29455128899727745,0.1053870713595435,0.1981512282765249,0.5318517188925685,-0.22793506486239223
8,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,51.79577975570798,0.8578626955240348,0.050000000000000044,0.0,sharpe_ratio,0,6,25.828187609272508,0.7760979613899008,0.2040590248705573,3.8033013334362957,-0.11831385783732462,0.4145456920328616,0.13650585479669752,0.19860540701714752,0.687321945796328,-0.22158077039232882
9,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,14.045768010419177,0.8366361143952142,0.050000000000000044,0.0,sharpe_ratio,0,7,28.553963504699226,0.8025306014268354,0.19652245906518762,4.0836584543277645,-0.11831385783732484,0.39786167846543985,0.12963483221013394,0.18626288907574184,0.6959777809385277,-0.2140691001482632
10,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,51.81262452485197,0.8530717949191968,0.050000000000000044,0.0,sharpe_ratio,0,8,47.482568147682315,0.9587808968407321,0.19525275824806743,4.910460192437368,-0.11831385783732473,0.2951639865835045,0.10510286361668153,0.19609807855664366,0.5359708998184914,-0.1962223956190393
11,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,26.88462731908317,0.8671917699143021,0.050000000000000044,0.0,sharpe_ratio,0,9,65.11041693001366,1.0610120268120675,0.18834549941053388,5.633328272418102,-0.046066001578583204,0.2670609077729875,0.09623023895281246,0.18979173552268794,0.5070307128379096,-0.2285974589087313
12,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,25.28210018954855,0.8997272220188248,0.050000000000000044,0.0,sharpe_ratio,0,10,57.432710139640015,1.0256610919424545,0.2059911765400415,4.979150608147926,-0.11426036508044057,0.3758245784951644,0.13147438046466453,0.21871196636863058,0.6011302565999957,-0.36579025932192266
