step,date,action,price,position,portfolio_value,reward
0,2015-01-23,0,6.249429225921631,0,10000.0,0.0
1,2015-01-26,0,6.379428863525391,0,10000.0,0.0
2,2015-01-27,0,6.488142967224121,0,10000.0,0.0
3,2015-01-28,0,6.320857048034668,0,10000.0,0.0
4,2015-01-29,0,6.340000152587891,0,10000.0,0.0
5,2015-01-30,0,6.311429023742676,0,10000.0,0.0
6,2015-02-02,0,6.301000118255615,0,10000.0,0.0
7,2015-02-03,0,6.527429103851318,0,10000.0,0.0
8,2015-02-04,0,6.41014289855957,0,10000.0,0.0
9,2015-02-05,0,6.413000106811523,0,10000.0,0.0
10,2015-02-06,0,6.3480000495910645,0,10000.0,0.0
11,2015-02-09,1,6.329570770263672,1,9990.0,-0.0010000000000000009
12,2015-02-10,1,6.485000133514404,1,10235.315108280263,0.02455606689492118
13,2015-02-11,1,6.498428821563721,1,10256.50968821022,0.0020707305740701454
14,2015-02-12,0,6.52471399307251,1,10297.995734089736,0.004044850260045418
15,2015-02-13,2,6.658570766448975,0,10498.753430021323,0.01949483191831325
16,2015-02-17,2,6.713714122772217,0,10498.753430021323,0.0
17,2015-02-18,0,6.786571025848389,0,10498.753430021323,0.0
18,2015-02-19,0,6.78000020980835,0,10498.753430021323,0.0
19,2015-02-20,2,6.8314290046691895,0,10498.753430021323,0.0
20,2015-02-23,2,6.740571022033691,0,10498.753430021323,-0.05507780287472451
21,2015-02-24,2,6.783999919891357,0,10498.753430021323,-0.05493505270509762
22,2015-02-25,2,6.833285808563232,0,10498.753430021323,-0.054792697151739234
23,2015-02-26,0,6.900428771972656,0,10498.753430021323,-0.05465073493845647
24,2015-02-27,2,6.78442907333374,0,10498.753430021323,-0.05450916479452672
25,2015-03-02,2,6.860713958740234,0,10498.753430021323,-0.0543679854546655
26,2015-03-03,2,6.781570911407471,0,10498.753430021323,-0.0542271956589945
27,2015-03-04,0,6.710999965667725,0,10498.753430021323,-0.05408679415300974
28,2015-03-05,0,6.680714130401611,0,10498.753430021323,-0.053946779687550135
29,2015-03-06,0,6.487429141998291,0,10498.753430021323,-0.053807151018766215
30,2015-03-09,2,6.366143226623535,0,10498.753430021323,-0.05366790690808899
31,2015-03-10,1,6.215143203735352,1,10488.254676591301,-0.5383508504586095
32,2015-03-11,1,6.288428783416748,1,10611.926456729554,3.9580269719920973
33,2015-03-12,2,6.404571056365967,0,10797.112369161043,4.133748740828039
34,2015-03-13,2,6.262856960296631,0,10797.112369161043,-0.07202854324419769
35,2015-03-16,2,6.028142929077148,0,10797.112369161043,-0.07183749802686681
36,2015-03-17,1,5.978857040405273,1,10786.315256791882,-0.4801698273319667
37,2015-03-18,1,6.0445709228515625,1,10904.868125345734,3.032919233841454
38,2015-03-19,1,6.074429035186768,1,10958.734443012094,1.5585329604394909
39,2015-03-20,0,6.118570804595947,1,11038.369570198167,2.113003394155274
40,2015-03-23,1,6.0714287757873535,1,10953.32174564945,-3.7065852668817643
41,2015-03-24,2,6.261143207550049,0,11284.285505424657,1.969570778047324
42,2015-03-25,0,6.025000095367432,0,11284.285505424657,-0.08469178379608695
43,2015-03-26,1,5.975142955780029,1,11273.001219919233,-0.3883798154362368
44,2015-03-27,0,5.925285816192627,1,11178.938266187426,-3.0404856993999547
45,2015-03-30,0,6.03671407699585,1,11389.164352703581,3.284920866376257
46,2015-03-31,1,5.952713966369629,1,11230.685575447427,-5.065297881470578
47,2015-04-01,1,5.901713848114014,1,11134.466221439265,-2.6829897335722848
48,2015-04-02,1,5.91542911529541,1,11160.342125130881,0.51997029208555
49,2015-04-06,0,6.0329999923706055,1,11382.157176336234,3.45466022113891
50,2015-04-07,1,6.049428939819336,1,11413.152843887981,0.5706093236166243
51,2015-04-08,1,6.304999828338623,1,11895.325565005356,2.6122997008789834
52,2015-04-09,0,6.278571128845215,1,11845.463869003277,-0.9927766340999404
53,2015-04-10,1,6.493856906890869,1,12251.632701531753,3.262834354746671
54,2015-04-13,1,6.7811431884765625,1,12793.641257100913,2.6448724673898947
55,2015-04-14,2,6.838714122772217,0,12889.35518129161,0.9978887797179423
56,2015-04-15,1,6.792285919189453,1,12876.46582611032,-0.2649706784400922
57,2015-04-16,2,8.02928638458252,0,15206.286092225631,-48.177089270675474
58,2015-04-17,2,8.164999961853027,0,15206.286092225631,-0.07553762474993564
59,2015-04-20,0,8.105570793151855,0,15206.286092225631,-0.07533619359775127
60,2015-04-21,0,8.006285667419434,0,15206.286092225631,-0.07513536250688563
61,2015-04-22,0,7.966856956481934,0,15206.286092225631,-0.07493512921446417
62,2015-04-23,0,7.986570835113525,0,15206.286092225631,-0.07473549146953185
63,2015-04-24,2,7.977142810821533,0,15206.286092225631,-0.07453644703296906
64,2015-04-27,2,8.086856842041016,0,15206.286092225631,-0.07433799367740827
65,2015-04-28,0,8.043713569641113,0,15206.286092225631,-0.07414012918715158
66,2015-04-29,1,8.040714263916016,1,15191.079806133406,-0.14787933906736142
67,2015-04-30,1,7.949999809265137,1,15019.695713260513,-0.9530965300950138
68,2015-05-01,1,7.957571029663086,1,15033.999792415672,-0.0012224925478780998
69,2015-05-04,1,7.927143096923828,1,14976.513213561344,-0.35864408854647706
70,2015-05-05,1,8.079285621643066,1,15263.951513077656,1.2156340262665544
71,2015-05-06,0,8.00771427154541,1,15128.733912317311,-0.7580516518489755
72,2015-05-07,0,8.074856758117676,1,15255.584194322579,0.5229369598739686
73,2015-05-08,1,8.208571434020996,1,15508.2073128948,1.0520819078579304
74,2015-05-11,0,8.427857398986816,1,15922.497696164604,1.6295958369909287
75,2015-05-12,0,8.337714195251465,1,15752.192850478252,-0.9179636952192068
76,2015-05-13,0,8.287285804748535,1,15656.920007857456,-0.5389814395486723
77,2015-05-14,2,8.383570671081543,0,15822.989283998171,0.6652052773722164
78,2015-05-15,2,8.760713577270508,0,15822.989283998171,-0.07767873591757152
79,2015-05-18,2,8.826713562011719,0,15822.989283998171,-0.07747089666316188
80,2015-05-19,1,8.806857109069824,1,15807.166294714172,-0.15219926089173658
81,2015-05-20,2,8.878999710083008,0,15920.716254003364,0.43902054259413276
82,2015-05-21,2,8.900285720825195,0,15920.716254003364,-0.07803247424157114
83,2015-05-22,2,8.883856773376465,0,15920.716254003364,-0.07782357100781434
84,2015-05-26,0,8.799285888671875,0,15920.716254003364,-0.07761529629864115
85,2015-05-27,1,8.985713958740234,1,15904.79553774936,-0.15325052459750013
86,2015-05-28,2,8.950714111328125,0,15827.00264360547,-0.4565812349543657
87,2015-05-29,1,8.915143013000488,1,15811.175640961865,-0.1518678822874509
88,2015-06-01,0,8.900285720825195,1,15784.825950800967,-0.20290266547442307
89,2015-06-02,1,8.913000106811523,1,15807.375156091748,0.03291166024733905
90,2015-06-03,0,8.880857467651367,1,15750.369574399543,-0.3550070210205339
91,2015-06-04,1,8.934857368469238,1,15846.139425223117,0.3750917048937799
92,2015-06-05,1,9.04599952697754,1,16043.252156530716,0.8132503662370828
93,2015-06-08,0,8.960429191589355,1,15891.491539734592,-0.8405830783835491
94,2015-06-09,1,9.244999885559082,1,16396.183076153528,1.942999537525791
95,2015-06-10,1,9.587142944335938,1,17002.980296205762,2.1460357978650104
96,2015-06-11,2,9.509428977966309,0,16848.287946141296,-0.8079950527966918
97,2015-06-12,2,9.44185733795166,0,16848.287946141296,-0.08358747561321106
98,2015-06-15,2,9.343143463134766,0,16848.287946141296,-0.08336166263731416
99,2015-06-16,0,9.5272855758667,0,16848.287946141296,-0.08313654455490212
100,2015-06-17,0,9.427143096923828,0,16848.287946141296,-0.0829121185851401
101,2015-06-18,2,9.474286079406738,0,16848.287946141296,-0.0826883819628742
102,2015-06-19,2,9.3871431350708,0,16848.287946141296,-0.08246533193851471
103,2015-06-22,1,9.64142894744873,1,16831.439658195155,-0.15900521370822768
104,2015-06-23,1,9.73128604888916,1,16988.306901525837,0.5924272161167955
105,2015-06-24,2,9.694429397583008,0,16907.04076243387,-0.4606474360312547
106,2015-06-25,0,9.489143371582031,0,16907.04076243387,-0.08217041617274093
107,2015-06-26,0,9.308856964111328,0,16907.04076243387,-0.08194895325455823
108,2015-06-29,1,9.223142623901367,1,16890.133721671435,-0.15930886093924024
109,2015-06-30,1,9.384857177734377,1,17186.277948250096,1.1353390374561323
110,2015-07-01,0,9.363571166992188,1,17147.297355354913,-0.2622286658238098
111,2015-07-02,0,9.40442943572998,1,17222.12018427105,0.2457014671625693
112,2015-07-06,0,9.45714282989502,1,17318.65303784131,0.3365679456962752
113,2015-07-07,2,9.409143447875977,0,17213.52209587935,-0.5759927666271696
114,2015-07-08,0,9.350713729858398,0,17213.52209587935,-0.0836681140046267
115,2015-07-09,2,9.572713851928713,0,17213.52209587935,-0.08344205272386436
116,2015-07-10,1,9.722857475280762,1,17196.30857378347,-0.16204544953813832
117,2015-07-13,0,10.10871410369873,1,17878.752974967443,2.2892141417347203
118,2015-07-14,1,10.037142753601074,1,17752.168478130927,-0.6615229532166346
119,2015-07-15,0,9.812999725341797,1,17355.73844833688,-2.055608214147726
120,2015-07-16,2,11.581000328063965,0,20462.22576902435,-0.6214645562977362
121,2015-07-17,2,11.47700023651123,0,20462.22576902435,-0.08469994649534221
122,2015-07-20,0,11.05500030517578,0,20462.22576902435,-0.08447070065364021
123,2015-07-21,2,11.25100040435791,0,20462.22576902435,-0.0842421635102985
124,2015-07-22,0,11.149999618530272,0,20462.22576902435,-0.08401433220621664
125,2015-07-23,0,11.010000228881836,0,20462.22576902435,-0.08378720389856066
126,2015-07-24,2,10.934000015258787,0,20462.22576902435,-0.08356077576064123
127,2015-07-27,0,10.642999649047852,0,20462.22576902435,-0.08333504498179256
128,2015-07-28,0,10.6899995803833,0,20462.22576902435,-0.08311000876725261
129,2015-07-29,0,10.708000183105469,0,20462.22576902435,-0.08288566433804419
130,2015-07-30,1,11.156000137329102,1,20441.763543255325,-0.14035775321545052
131,2015-07-31,1,11.430999755859377,1,20945.660738242914,1.1832511020630496
132,2015-08-03,0,11.255999565124512,1,20624.99809258225,-1.0286343397212725
133,2015-08-04,2,12.114999771118164,0,22176.793262963696,2.8105054948941706
134,2015-08-05,0,12.371000289916992,0,22176.793262963696,-0.09012125715950839
135,2015-08-06,0,12.645000457763672,0,22176.793262963696,-0.08987505296060574
136,2015-08-07,2,12.35200023651123,0,22176.793262963696,-0.08962962729262318
137,2015-08-10,2,12.303000450134276,0,22176.793262963696,-0.08938497689018506
138,2015-08-11,2,12.27400016784668,0,22176.793262963696,-0.08914109850728688
139,2015-08-12,0,12.050999641418455,0,22176.793262963696,-0.08889798891714477
140,2015-08-13,1,12.373000144958496,1,22154.616469700733,-0.14534499320557195
141,2015-08-14,2,12.33899974822998,0,22071.642935040425,-0.30368503392572926
142,2015-08-17,2,12.53600025177002,0,22071.642935040425,-0.08743248853576958
143,2015-08-18,2,12.404999732971191,0,22071.642935040425,-0.08719474308487583
144,2015-08-19,0,12.206000328063965,0,22071.642935040425,-0.08695774099294401
145,2015-08-20,2,11.24899959564209,0,22071.642935040425,-0.08672147920134506
