episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,3.763698489261613,1.4930462438422136,0.71557,0.0,sharpe_ratio,1,0,2.681675300833106,0.30925468856883964,0.31769512153691704,0.9734322865039758,-0.5139143709249546,0.20398261282614905,0.12401383616879968,0.34160017686564836,0.3630379741213496,-0.5331273606652824
2,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,8.084312270909079,1.0421398594806253,0.4311400000000001,0.0,sharpe_ratio,1,0,11.955086105404286,0.6287950826227127,0.3388696187029373,1.8555664123254798,-0.3572185942107915,0.7469487093825875,0.25969273030273143,0.33995062019012534,0.7639130946650199,-0.41866045915905603
3,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-15.55819789852566,1.0488668881660315,0.14671,0.0,sharpe_ratio,0,1,19.570473105861655,0.7509946027647161,0.32319818727970073,2.3236349469831454,-0.2275133452714455,0.06471964125940621,0.07436240743081046,0.3258980687377291,0.22817688892367946,-0.5377406606469526
4,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-12.703422296001847,1.0101253125336302,0.050000000000000044,0.0,sharpe_ratio,0,2,29.57961420877176,0.8647008444983315,0.3110311725153946,2.780109908293944,-0.23666897486219496,0.26348272522239147,0.12259541746944858,0.294198339414525,0.416710093311274,-0.5223003570026719
5,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-1.6845391419128628,1.0387172370093938,0.050000000000000044,0.0,sharpe_ratio,0,3,42.5332910165657,0.9603733384478583,0.27925670798474134,3.439034089381063,-0.14048022113269476,0.054442924232797285,0.050805616951499655,0.259100479150139,0.19608461210934197,-0.44490160188168393
6,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-6.12197824697709,1.0567265244309076,0.050000000000000044,0.0,sharpe_ratio,0,4,95.05512773390274,1.2554144605615476,0.30355885729091225,4.1356541916299125,-0.1840460393634875,0.35763678691910017,0.14369096495904032,0.2794886301043111,0.5141209676594423,-0.4572771673048682
7,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-17.666222141026505,1.0646912215268842,0.050000000000000044,0.0,sharpe_ratio,1,0,124.8213289889745,1.358966688029033,0.30134854779577236,4.509617510916367,-0.2123728248539849,0.9295536801946618,0.2755761268871961,0.2781099170309219,0.9908892492192428,-0.40376170319937466
8,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-6.976401183324017,1.001328489544715,0.050000000000000044,0.0,sharpe_ratio,0,1,175.7163886946907,1.4909294036489955,0.29239922552331427,5.098951274513952,-0.1327176364482726,0.46969809786217454,0.17199435063378554,0.2785484706389317,0.6174665049830166,-0.4623074791644026
9,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-5.425768847487047,0.9736439597033307,0.050000000000000044,0.0,sharpe_ratio,0,2,188.46616210472519,1.5025264538438923,0.2671067792430075,5.625190263242734,-0.0755001799092424,0.09498604001355337,0.0571581338561129,0.23434158529695245,0.24390947848066907,-0.37776964734027896
10,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-4.314645127440304,0.9423463998353713,0.050000000000000044,0.0,sharpe_ratio,0,3,238.71976246204466,1.6029509391962198,0.26567266881225643,6.03355605362997,-0.07535545509350217,0.1460761896614997,0.07763378669907395,0.2547160948805124,0.30478555638775806,-0.4598377753183108
11,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-18.161777234025628,1.069499043818705,0.050000000000000044,0.0,sharpe_ratio,1,0,266.7754637604816,1.6644908310426771,0.2831470667748337,5.878538139214862,-0.10863919497716612,1.1247479787366879,0.3164824689545793,0.2836564878776667,1.1157244148459935,-0.34865395198534077
12,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-28.22171625772583,1.1347169147663778,0.050000000000000044,0.0,sharpe_ratio,0,1,227.3197355849841,1.57889145561766,0.26057473695869626,6.059265276617857,-0.09417251329047427,0.37474198576804896,0.13993325283328595,0.2522797268112181,0.5546749816246573,-0.24507063700825915
13,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,14.695204240098667,1.2210396765149587,0.050000000000000044,0.0,sharpe_ratio,0,2,211.49643471930503,1.5427940500251998,0.25269998343120653,6.105240012590663,-0.07145368915753292,0.17104760088102355,0.08502467299604066,0.25472629608081593,0.3337883614853224,-0.3686045062165433
14,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,27.16932478867263,1.0964464287042777,0.050000000000000044,0.0,sharpe_ratio,0,3,272.69790323599,1.656652374716304,0.25730310697246056,6.438524564313238,-0.07726053249688414,0.16066343218120216,0.08192630279993662,0.25474346328088104,0.3216031600763957,-0.42572534537411144
15,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-1.510262730520254,0.9744682369745009,0.050000000000000044,0.0,sharpe_ratio,0,4,344.18635643373415,1.7679147788103133,0.26467980915435735,6.679447081584117,-0.08318433066581399,0.3838869673808243,0.14565987177287787,0.26373496647124045,0.5522963971057727,-0.41537753255606624
16,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-30.707427119648244,1.239102098311913,0.050000000000000044,0.0,sharpe_ratio,0,5,571.645337561927,2.0123992273920472,0.2625922430040412,7.663589770856548,-0.0831843306658141,0.28637666310510346,0.1156145107084392,0.24870907588314123,0.4648584306700652,-0.4107834435192519
17,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-39.887432101600986,1.4723246624530277,0.050000000000000044,0.0,sharpe_ratio,0,6,659.9220830204965,2.0931245876290214,0.2706784772350296,7.732881494717312,-0.11185591479837431,0.1798784091893295,0.09988156608483822,0.2962750065187966,0.33712450894335366,-0.5026307526761511
18,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,-41.79108172601964,1.4413664114220428,0.050000000000000044,0.0,sharpe_ratio,0,7,445.7673804605804,1.874246475169644,0.2396445819399981,7.820942413957497,-0.06599466849640756,0.023502046855699232,0.04188701770045489,0.2606740992397396,0.160687301970618,-0.4232677676662412
19,44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,7.779785113691956,1.3364377486642074,0.050000000000000044,0.0,sharpe_ratio,0,8,444.5968440418518,1.8671277317056667,0.23091583509715827,8.085750078248507,-0.06795096372460008,-0.23761850658133998,-0.05577380552630651,0.23373503552316774,-0.23861979185734108,-0.4772012665951083
