episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,-12.119304668072411,0.8979031721559855,0.71557,0.0,sharpe_ratio,1,0,2.0267766604613113,0.2306449123526051,0.20558158146696598,1.1219142819448853,-0.2700637997098345,0.3894471476538919,0.14531481483936637,0.2556285217330784,0.5684608816503695,-0.4403299480420716
2,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,1.6155850136710312,0.9037807687927901,0.4311400000000001,0.0,sharpe_ratio,0,1,13.843768034532545,0.6237305633202292,0.24793380987552813,2.515714027196875,-0.22744701905130338,0.12302224693882224,0.08994637703968356,0.31534349233646486,0.2852330212152045,-0.5695655059356288
3,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,12.322304243627705,0.874779268073972,0.14671,0.0,sharpe_ratio,0,2,23.93711825752904,0.7703188051641758,0.24436251796618788,3.1523607285416984,-0.19195178590497375,-0.17342870481472505,-0.015287825243911701,0.2961175105439474,-0.051627562368159255,-0.5798162465958169
4,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,25.9591640764334,0.8381069080982514,0.050000000000000044,0.0,sharpe_ratio,0,3,21.000944110087545,0.7217724139833108,0.2146722718795338,3.3622060625898764,-0.15562434403112135,-0.11041131910655078,-0.0018361755452203088,0.2639362558342477,-0.006956890175684805,-0.40321497709214416
5,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,30.06043441938524,0.8311966873640686,0.050000000000000044,0.0,sharpe_ratio,0,4,52.4769890898175,1.0107715931680534,0.2406076814106924,4.200911572073923,-0.14851288621111058,0.3269065819698189,0.13619052459001546,0.28150345752540623,0.48379698703247365,-0.38492354912390125
6,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,24.083849463907008,0.7852326335115439,0.050000000000000044,0.0,sharpe_ratio,0,5,68.6192567793378,1.0925918859370398,0.2210868369299421,4.9419128750901615,-0.1374652461850694,0.057096995165599296,0.0534729003718748,0.26407935729985066,0.20248799799659706,-0.4311201315880363
7,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,42.88740966449686,0.7129582349825638,0.050000000000000044,0.0,sharpe_ratio,0,6,68.53822283211119,1.0819332398453896,0.196308472244215,5.511393509799336,-0.0817298025754617,-0.06815487250956864,0.007375016409493673,0.24286283731704147,0.030367002588650785,-0.39684919124934825
8,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,59.94302430979517,0.7091043023324124,0.050000000000000044,0.0,sharpe_ratio,0,7,105.73361066978666,1.2470354695435724,0.21752547640131745,5.732824909404587,-0.08172980257546214,-0.07160877105094732,0.005427354092731873,0.2396113918704595,0.022650651333247337,-0.3896041107905318
9,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,43.47956820437285,0.6646616931509478,0.050000000000000044,0.0,sharpe_ratio,0,8,149.53539660180647,1.3779270148855827,0.2112282013626933,6.523404573803038,-0.07593736585809308,-0.1251291889539674,-0.011526792793220775,0.24591968425232866,-0.04687218442177886,-0.4509410001793107
10,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,41.57221701031135,0.6531982485182538,0.050000000000000044,0.0,sharpe_ratio,0,9,207.15856660584762,1.5147829817060914,0.21817135984028294,6.943088143260513,-0.07593736585809341,-0.059550059462151306,0.012453250027591567,0.2513735367399853,0.04954081558900493,-0.44406337396428663
11,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,50.69875430744652,0.6063010006167527,0.050000000000000044,0.0,sharpe_ratio,0,10,205.3315130690238,1.504967326032459,0.2065268967187303,7.287028227040467,-0.07122691249588464,0.09624130953424048,0.059559792835169656,0.2419134521944287,0.24620289733743597,-0.35285538401140515
