episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,16.526157097697613,1.2631789854703805,0.71557,0.0,sharpe_ratio,1,0,1.6441805437460943,0.1917320731631098,0.15270576928483676,1.2555653533002977,-0.1311231029926474,0.21489136774356266,0.07400174117751002,0.14537441904281775,0.5090423863067268,-0.1916164201681857
2,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,-0.3590208328964645,0.9101372107156691,0.4311400000000001,0.0,sharpe_ratio,1,0,1.3110460509766515,0.16598286807831486,0.15792585098987041,1.0510177215316145,-0.15152838363766752,0.24212130642007934,0.08230054946690735,0.1505717696127035,0.5465868514303746,-0.2197900676619361
3,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,10.7350549296522,0.9294745930051835,0.14671,0.0,sharpe_ratio,0,1,1.2297704635364846,0.15833211506429268,0.15436585484359314,1.0256938960025728,-0.14534593596861367,0.04848719622736963,0.025903799187836585,0.14652929472501894,0.17678239178348873,-0.2686932127978283
4,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,18.379238619987962,0.9237006118119201,0.050000000000000044,0.0,sharpe_ratio,0,2,1.6348883391341649,0.18823888577346137,0.13641042135967513,1.3799450503648065,-0.14534593596861367,-0.03511562964861914,-0.0010001798798030537,0.14216090709074364,-0.007035547959500726,-0.2974242593628953
5,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,22.27014414892909,0.8975738828271408,0.050000000000000044,0.0,sharpe_ratio,0,3,2.698335060433657,0.2573147542882943,0.1320594965716207,1.9484759594607655,-0.11045907091277696,-0.02615307638279918,0.00023092141416958256,0.12995075582920504,0.001776991697324822,-0.27831634398790694
6,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,3.753431279782269,0.9363582448395555,0.050000000000000044,0.0,sharpe_ratio,0,4,2.64162967801915,0.2552400841666185,0.138755078172959,1.83950084946412,-0.13895631910226947,0.002682257306178659,0.009756107858633012,0.13276189761971846,0.07348575181245365,-0.29027645383238465
7,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,8.32483312792607,0.936476552574015,0.050000000000000044,0.0,sharpe_ratio,0,5,2.440767221478753,0.24350900466929737,0.1400776787573332,1.7383854931744394,-0.142724682955505,0.005649045581319623,0.011388032186287589,0.13789724717528448,0.08258346282875385,-0.2726387940873526
8,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,20.324334470795662,0.9519078443666737,0.050000000000000044,0.0,sharpe_ratio,0,6,3.1468516674491616,0.2818552494569788,0.1321343555618281,2.1330958800120197,-0.14163282728400184,0.04260101633769264,0.021556541126748208,0.12862816417163528,0.16758803381492865,-0.2313231790960909
9,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,13.331088865022664,0.9967220022069986,0.050000000000000044,0.0,sharpe_ratio,0,7,3.2100075766578557,0.283434811070183,0.12180596250386344,2.3269370829132687,-0.1200916428245351,-0.030397258842514763,-0.0031662550094565534,0.11357635665732563,-0.027877765255400373,-0.20104545299968446
10,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,21.500380689879574,0.9800554490240717,0.050000000000000044,0.0,sharpe_ratio,0,8,4.679062695439943,0.3482310649521192,0.11221128470135001,3.1033515557631755,-0.07344246852892589,-0.15300496804870722,-0.04465359287597448,0.11094078254483665,-0.4024993501188596,-0.2666862826029224
11,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,5.412204903995196,0.9496013088352138,0.050000000000000044,0.0,sharpe_ratio,0,9,5.87583703423409,0.3932596464975766,0.11751064508715431,3.3465874194283174,-0.12162917605614654,-0.010735152289164218,0.003001888900490135,0.11276189981359643,0.026621482126963757,-0.19560050597292145
12,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,16.733838941989585,0.9459357158932274,0.050000000000000044,0.0,sharpe_ratio,0,10,6.83886940216619,0.42237757848013646,0.10532559915639497,4.010208172212342,-0.065614800693651,-0.09225575625377891,-0.024311346786677013,0.10586711657794101,-0.2296402090896527,-0.22623508427721306
