episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,2.6300004097481313,0.0,0.99031,0.0,sharpe_ratio,1,0,0.4171878699101941,8.241260833226336,0.9983803530064564,8.254630420569825,-0.17915654239516055,-0.5128373397183174,-0.048803872706617235,0.5982583789680854,-0.08157658032436971,-0.8435561276167866
2,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,-11.077432862020602,0.0,0.98062,0.0,sharpe_ratio,0,1,0.4171878699101941,8.241260833226336,0.9983803530064564,8.254630420569825,-0.17915654239516055,-0.5128373397183174,-0.048803872706617235,0.5982583789680854,-0.08157658032436971,-0.8435561276167866
3,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,-8.080558544811748,0.0,0.97093,0.0,sharpe_ratio,0,2,0.4171878699101941,8.241260833226336,0.9983803530064564,8.254630420569825,-0.17915654239516055,-0.5128373397183174,-0.048803872706617235,0.5982583789680854,-0.08157658032436971,-0.8435561276167866
4,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,7.637588657796343,0.0,0.96124,0.0,sharpe_ratio,0,3,0.4171878699101941,8.241260833226336,0.9983803530064564,8.254630420569825,-0.17915654239516055,-0.5128373397183174,-0.048803872706617235,0.5982583789680854,-0.08157658032436971,-0.8435561276167866
5,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,8.232425921352817,3.45347007115682,0.95155,0.0,sharpe_ratio,0,4,0.8035517286089529,32.64386453948814,1.080643728653242,30.207795292691635,-0.1870032410445982,-0.6733039665840592,-0.1457331837145448,0.6258177211949927,-0.2328684196354631,-0.8923194004910493
6,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,22.492106691303515,3.542995340683881,0.94186,0.0,sharpe_ratio,1,0,1.19357112156221,98.21102399979856,1.169112162073663,84.00479200011137,-0.22512905955038054,-0.2903447134841557,0.1314955970744216,0.6862439814748306,0.19161639391258467,-0.8682045625045309
7,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,-11.310603940649074,3.28245515683118,0.9321699999999999,0.0,sharpe_ratio,1,0,1.6583846106239175,269.9796436392651,1.2050281605143391,224.04426094410138,-0.22512905955038043,-0.10400268768639376,0.21117395906942704,0.6792911548069418,0.31087400089795636,-0.8475896281753352
8,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,-3.570819422743695,2.7598823180385663,0.92248,0.0,sharpe_ratio,1,0,1.6583846106239175,269.9796436392651,1.2050281605143391,224.04426094410138,-0.22512905955038043,-0.10145933359038517,0.21084941864869888,0.6776241315116595,0.3111598434051207,-0.8441076705954597
9,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,1.6222287216499964,2.8642728422202315,0.91279,0.0,sharpe_ratio,1,0,1.3696534362349793,145.67259128422924,1.1751440711595527,123.96147405184914,-0.22512905955038054,0.02114864095498925,0.24360726000703048,0.6579039142130345,0.37027786998109957,-0.7851705170849117
10,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,13.270976466995684,2.6771772106488547,0.9031,0.0,sharpe_ratio,0,1,1.3961512095147572,154.90620629464715,1.179542437793418,131.32737011517088,-0.2353761310693807,-0.26674049795676225,0.10602975138040094,0.6352569914999382,0.16690843674155967,-0.7980884923541677
11,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,-5.465856215633083,2.76977374273188,0.89341,0.0,sharpe_ratio,0,2,1.617430911328535,234.04138165157974,1.1501683582618762,203.4844550977397,-0.22512905955038043,-0.2489107644076276,0.1078558896148154,0.6260610793503862,0.17227694417089284,-0.8163118881993048
12,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,10.79244398399964,3.5338765102274277,0.8837200000000001,0.0,sharpe_ratio,0,3,1.9029959856250938,385.16696433774575,1.1280221938926365,341.453356523591,-0.22512905955038043,-0.45168200325873886,-0.06573786051553576,0.4896868903750885,-0.13424468125986,-0.7466484940074337
13,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,5.534955268527249,4.545409735511331,0.87403,0.0,sharpe_ratio,0,4,1.4430219069791432,159.81576864016685,1.1208965136926705,142.57852235945614,-0.22512905955038054,-0.240929584700046,0.008635437454058259,0.43407360166201525,0.01989394752639694,-0.6539247713469539
14,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,10.49713937277085,3.614318574176115,0.86434,0.0,sharpe_ratio,0,5,0.9116907469262809,40.56166382227372,1.001207124804193,40.512759864954425,-0.22512905955038043,-0.42119216291121697,-0.04476412702257848,0.50516181195408,-0.08861344219473108,-0.813810316503945
15,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,12.129004661661503,4.353268583615621,0.85465,0.0,sharpe_ratio,1,0,1.2149039849195442,87.4592485167331,1.016058350373172,86.07699398820115,-0.22512905955038054,0.225962005159986,0.25993173491493127,0.5868791842842547,0.44290501669766746,-0.7893847848065129
16,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,-2.29361366695016,4.2276141316282985,0.8449599999999999,0.0,sharpe_ratio,0,1,2.0184685386401213,479.55675972482857,1.1484998871975514,417.55055013108665,-0.22512905955038043,-0.20497897366354245,0.10591306782609688,0.5955216429481333,0.1778492336597099,-0.8452835682510512
17,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,-13.479239169850581,4.123156430674534,0.83527,0.0,sharpe_ratio,0,2,1.7182912138097204,278.28997934156536,1.134094571250666,245.38516134035495,-0.22512905955038054,-0.09748118963882701,0.10082157934781,0.5104251088546178,0.19752472517280997,-0.7434711694120175
18,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,1.902016921423833,4.005737860997518,0.82558,0.0,sharpe_ratio,0,3,1.7113326283375199,256.22276620788284,1.0727612464389602,238.84416691823685,-0.11811750709244817,-0.32046046594864985,-0.0005748607621882673,0.4916313585339721,-0.0011692923004392609,-0.7742675954420055
19,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,0.567522691106448,3.7483158064823523,0.81589,0.0,sharpe_ratio,0,4,1.3935700970477325,142.65063653815034,1.111682784052151,128.31955175034747,-0.22512905955038043,-0.586397498850197,-0.1360061626614577,0.5110138908507256,-0.2661496391713294,-0.8340257284285586
20,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,-2.0438746016441587,4.228069728496028,0.8062,0.0,sharpe_ratio,0,5,1.8072501129649536,303.18276093702315,1.0661159464324048,284.38066417783006,-0.11811750709244817,-0.546433967561338,-0.11558391603808715,0.49958475878865327,-0.23135997246662268,-0.8067708296378893
21,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,-4.155082761888674,4.389720402511895,0.79651,0.0,sharpe_ratio,0,6,2.427104926943031,848.991511555559,1.0891515488585592,779.4980528148812,-0.11811750709244828,-0.5969884290545047,-0.1325671629025138,0.5347274768779657,-0.24791537490557639,-0.797829534635154
22,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,14.225536402773164,3.6149154363893996,0.7868200000000001,0.0,sharpe_ratio,0,7,2.7727058643870013,1374.9315705389922,1.0868565984029661,1265.0533405780718,-0.11811750709244828,-0.5570085787378962,-0.10355793917738398,0.5411147246491808,-0.1913788970435491,-0.8220023411499555
23,45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,-5.582210883320312,3.5863624343685077,0.77713,0.0,sharpe_ratio,0,8,2.7727058643870013,1374.9315705389922,1.0868565984029661,1265.0533405780718,-0.11811750709244828,-0.5898029846888941,-0.10570389542572656,0.5792964961640042,-0.18246941959027627,-0.8355047206613946
