step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,28.2450008392334,1,9990.0,-0.0010000000000000009
1,2015-01-26,2,28.274999618530273,0,9990.609685200034,6.1029549552893414e-05
2,2015-01-27,2,27.28499984741211,0,9990.609685200034,0.0
3,2015-01-28,2,28.82749938964844,0,9990.609685200034,0.0
4,2015-01-29,1,29.725000381469727,1,9980.619075514835,-0.0009999999999998899
5,2015-01-30,0,29.290000915527344,1,9834.561416577686,-0.014634128187044793
6,2015-02-02,0,29.657499313354492,1,9957.954569563524,0.0125468892570888
7,2015-02-03,0,29.662500381469727,1,9959.63375392646,0.00016862743761336674
8,2015-02-04,2,29.88999938964844,0,10025.983971497635,0.006661913400682673
9,2015-02-05,0,29.98500061035156,0,10025.983971497635,0.0
10,2015-02-06,0,29.732500076293945,0,10025.983971497635,0.0
11,2015-02-09,0,29.93000030517578,0,10025.983971497635,0.0
12,2015-02-10,2,30.5049991607666,0,10025.983971497635,0.0
13,2015-02-11,2,31.219999313354492,0,10025.983971497635,0.0
14,2015-02-12,1,31.614999771118164,1,10015.957987526137,-0.0010000000000000009
15,2015-02-13,0,31.770000457763672,1,10065.063803648818,0.004902757797490498
16,2015-02-17,2,31.957500457763672,0,10114.341271685147,0.004895892266322699
17,2015-02-18,2,32.18000030517578,0,10114.341271685147,0.0
18,2015-02-19,0,32.11249923706055,0,10114.341271685147,0.0
19,2015-02-20,0,32.375,0,10114.341271685147,0.0
20,2015-02-23,2,33.25,0,10114.341271685147,-0.019358132940497617
21,2015-02-24,2,33.04249954223633,0,10114.341271685147,-0.01930946052999664
22,2015-02-25,2,32.1974983215332,0,10114.341271685147,-0.019260911578218742
23,2015-02-26,1,32.60499954223633,1,10104.226930413462,-0.7095407042597072
24,2015-02-27,0,32.1150016784668,1,9952.377530614158,-12.093023958230704
25,2015-03-02,0,32.272499084472656,1,10001.185675180246,2.766409489496313
26,2015-03-03,0,32.34000015258789,1,10022.10412694707,1.1375421615242736
27,2015-03-04,0,32.1349983215332,1,9958.57445201352,-3.483639186740251
28,2015-03-05,2,31.602500915527344,0,9783.760970922212,-8.810011934659556
29,2015-03-06,1,31.649999618530273,1,9773.97720995129,-0.41583376785724047
30,2015-03-09,1,31.78499984741211,1,9815.667231320413,2.0169648323475453
31,2015-03-10,0,31.127500534057617,1,9612.621942797789,-7.449568101405023
32,2015-03-11,0,30.559999465942383,1,9437.369412837761,-5.12194774002743
33,2015-03-12,0,31.112499237060547,1,9607.98932552334,7.982064920541222
34,2015-03-13,1,30.897499084472656,1,9541.594171752162,-1.9810649444212263
35,2015-03-16,1,31.237499237060547,1,9646.591131715104,3.8274789593224745
36,2015-03-17,2,31.760000228881836,0,9798.139040897539,5.2983485935675825
37,2015-03-18,2,32.11750030517578,0,9798.139040897539,0.0128795186880244
38,2015-03-19,0,31.875,0,9798.139040897539,0.012847215692810198
39,2015-03-20,1,31.475000381469727,1,9788.340901856642,-0.2720294623116771
40,2015-03-23,0,31.802499771118164,1,9890.189214237162,3.1151320235417033
41,2015-03-24,1,31.67250061035156,1,9849.761062144495,-1.1344660335571823
42,2015-03-25,2,30.844999313354492,0,9582.825841864757,-7.095858398478654
43,2015-03-26,2,31.059999465942383,0,9582.825841864757,0.024491857431518157
44,2015-03-27,0,30.8125,0,9582.825841864757,0.024430113516913588
45,2015-03-30,2,31.592500686645508,0,9582.825841864757,0.024368527445918955
46,2015-03-31,0,31.107500076293945,0,9582.825841864757,0.024307098798622126
47,2015-04-01,2,31.0625,0,9582.825841864757,0.02424582715634993
48,2015-04-02,2,31.329999923706055,0,9582.825841864757,0.024184712101663612
49,2015-04-06,2,31.837499618530273,0,9582.825841864757,0.024123753218354305
50,2015-04-07,0,31.502500534057617,0,9582.825841864757,0.024062950091438582
51,2015-04-08,1,31.399999618530273,1,9573.243016022892,-0.22794836864323886
52,2015-04-09,0,31.63999938964844,1,9646.414231329156,2.058948495794284
53,2015-04-10,0,31.774999618530273,1,9687.573148972639,1.117277592803576
54,2015-04-13,0,31.712499618530273,1,9668.518126814348,-0.4745881673250516
55,2015-04-14,0,31.575000762939453,1,9626.597426973984,-1.055026039815358
56,2015-04-15,1,31.69499969482422,1,9663.182743870551,0.998369982555755
57,2015-04-16,0,31.542499542236328,1,9616.68844328327,-1.1695176353283736
58,2015-04-17,1,31.1875,1,9508.456056987327,-2.649577668268222
59,2015-04-20,2,31.899999618530273,0,9715.957510095932,6.246124074012406
60,2015-04-21,0,31.727500915527344,0,9715.957510095932,0.012865203625693265
61,2015-04-22,2,32.154998779296875,0,9715.957510095932,0.012832936675454444
62,2015-04-23,0,32.41749954223633,0,9715.957510095932,0.01280075097087633
63,2015-04-24,0,32.56999969482422,0,9715.957510095932,0.012768646305009245
64,2015-04-27,2,33.162498474121094,0,9715.957510095932,0.012736622471448435
65,2015-04-28,0,32.63999938964844,0,9715.957510095932,0.012704679264332516
66,2015-04-29,0,32.15999984741211,0,9715.957510095932,0.012672816478341889
67,2015-04-30,2,31.287500381469727,0,9715.957510095932,0.012641033908697205
68,2015-05-01,2,32.23749923706055,0,9715.957510095932,0.012609331351157821
69,2015-05-04,0,32.17499923706055,0,9715.957510095932,0.012577708602020225
70,2015-05-05,0,31.450000762939453,0,9715.957510095932,0.012546165458116524
71,2015-05-06,1,31.252500534057617,1,9706.241552585836,-0.2249498012123353
72,2015-05-07,0,31.315000534057617,1,9725.652482484886,0.49353208099957413
73,2015-05-08,0,31.905000686645508,1,9908.891708121884,4.758155472046598
74,2015-05-11,1,31.579999923706055,1,9807.954635696997,-2.3217297044245657
75,2015-05-12,1,31.467500686645508,1,9773.015198828534,-0.794151881906349
76,2015-05-13,0,31.502500534057617,1,9783.885272182037,0.26016855210083084
77,2015-05-14,2,32.23749923706055,0,10002.145247575176,5.255152907843607
78,2015-05-15,0,32.192501068115234,0,10002.145247575176,-0.004814093684160614
79,2015-05-18,0,32.54750061035156,0,10002.145247575176,-0.004802040030107743
80,2015-05-19,1,32.51750183105469,1,9992.1431023276,-0.21987527982670196
81,2015-05-20,0,32.51499938964844,1,9991.374139423673,-0.020814391785076013
82,2015-05-21,0,32.84749984741211,1,10093.546568684249,2.183334337321485
83,2015-05-22,0,33.1349983215332,1,10181.890559869184,1.829354610491666
84,2015-05-26,1,32.404998779296875,1,9957.572593238274,-5.011609727106996
85,2015-05-27,0,33.0099983215332,1,10143.47992505842,3.7407812860260043
86,2015-05-28,0,32.94499969482422,1,10123.50681694866,-0.39885010750417943
87,2015-05-29,1,32.56999969482422,1,10008.274912516374,-2.296761641956853
88,2015-06-01,0,32.6349983215332,1,10028.248020626132,0.3824868214289063
89,2015-06-02,0,32.4900016784668,1,9983.69271578125,-0.8750320224030699
90,2015-06-03,0,32.529998779296875,1,9995.983228049037,0.23628327867485768
91,2015-06-04,1,32.34000015258789,1,9937.599485128516,-1.1499555575296023
92,2015-06-05,0,32.162498474121094,1,9883.055867929432,-1.0735008006147468
93,2015-06-08,1,31.950000762939453,1,9817.758492070863,-1.2847242663512957
94,2015-06-09,1,31.854999542236328,1,9788.566034510828,-0.5727963362759976
95,2015-06-10,0,32.220001220703125,1,9900.725603926057,2.2730531708992667
96,2015-06-11,0,32.147499084472656,1,9878.446779304068,-0.43395910958663
97,2015-06-12,0,31.792499542236328,1,9769.360717105446,-2.128102201730244
98,2015-06-15,0,31.729999542236328,1,9750.155399700065,-0.3693247848857649
99,2015-06-16,0,31.899999618530273,1,9802.393886486694,1.0466987980303448
100,2015-06-17,0,31.825000762939453,1,9779.347857260102,-0.445696290467862
101,2015-06-18,0,31.969999313354492,1,9823.903748204757,0.8890814342463925
102,2015-06-19,0,31.649999618530273,1,9725.572616865169,-1.9096909651419802
103,2015-06-22,0,31.90250015258789,1,9803.162263290846,1.5575703416164877
104,2015-06-23,1,31.75749969482422,1,9758.605786246415,-0.8585344964062803
105,2015-06-24,1,32.02750015258789,1,9841.57289810161,1.649661221649948
106,2015-06-25,0,31.875,1,9794.711876744495,-0.899845158311634
107,2015-06-26,0,31.6875,1,9737.095924528352,-1.1072075634295986
108,2015-06-29,1,31.13249969482422,1,9566.552612192601,-3.2333736750673143
109,2015-06-30,0,31.357500076293945,1,9635.69187207193,1.387275908177088
110,2015-07-01,0,31.649999618530273,1,9725.572616865169,1.7781763492608849
111,2015-07-02,0,31.61000061035156,1,9713.281518497606,-0.22436748309840218
112,2015-07-06,0,31.5,1,9679.479972312209,-0.6306162862298248
113,2015-07-07,1,31.42250061035156,1,9655.665566281461,-0.4428863299568476
114,2015-07-08,1,30.642499923706055,1,9415.982994066384,-4.351633715394234
115,2015-07-09,1,30.017499923706055,1,9223.92982001257,-3.3080406184360043
116,2015-07-10,2,30.81999969482422,0,9461.05549914053,5.044274620906011
117,2015-07-13,2,31.415000915527344,0,9461.05549914053,0.01778275447536201
118,2015-07-14,0,31.40250015258789,0,9461.05549914053,0.017738074024877423
119,2015-07-15,0,31.704999923706055,0,9461.05549914053,0.017693506675445222
120,2015-07-16,2,32.127498626708984,0,9461.05549914053,0.017649052134487957
121,2015-07-17,0,32.404998779296875,0,9461.05549914053,0.017604710110231896
122,2015-07-20,0,33.01750183105469,0,9461.05549914053,0.017560480311704436
