episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,-21.694089646262448,3.644836716592694,0.71557,0.0,sharpe_ratio,1,0,1.2815632986475696,0.18101362268854548,0.23419612875287873,0.7729146662349365,-0.3621273390197828,0.6892403780979119,0.20446534725529353,0.21172230431767639,0.965724173058809,-0.18779736191155139
2,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,14.781585729887826,1.705071082972015,0.4311400000000001,0.0,sharpe_ratio,0,1,4.905858888995226,0.39189916211412834,0.2517303426858583,1.5568213109819296,-0.2642279878220458,0.21273400365087936,0.09000853051351543,0.22798969426843033,0.39479210146903065,-0.3252352814576672
3,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,7.139322181196578,1.4865489684110016,0.14671,0.0,sharpe_ratio,0,2,9.143514197519288,0.5264409291550369,0.2564526333004378,2.052780360957745,-0.26309054964090184,0.27018553564471426,0.10909941842849236,0.24032221692369296,0.45397142147341946,-0.3949310796562574
4,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,-0.32824651392191473,1.4044020187082336,0.050000000000000044,0.0,sharpe_ratio,0,3,11.828177781270123,0.5772021459237013,0.22819066664757504,2.529473069181882,-0.20908561750457821,-0.06497679788202015,0.002422842148789739,0.21637703555720442,0.01119731649225411,-0.3430578978657861
5,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,17.07945152861431,1.2753940798396974,0.050000000000000044,0.0,sharpe_ratio,0,4,22.679038298520084,0.7420697441571431,0.2111146978015317,3.515007490642649,-0.16950592637401407,-0.21442479483997945,-0.052542518315402686,0.20655917395917295,-0.25437029645455433,-0.41788473913626933
6,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,17.13461301305794,1.177782126602206,0.050000000000000044,0.0,sharpe_ratio,0,5,19.850897185483003,0.7055494974562522,0.21217765654117177,3.325277076567884,-0.19591465833485655,-0.16764421937516616,-0.0352390726345595,0.20696667544041633,-0.1702644764408195,-0.42555114584935316
7,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,25.9809070951256,1.0921054338724039,0.050000000000000044,0.0,sharpe_ratio,0,6,36.31118256591294,0.8730696733458707,0.19097768990088812,4.571579401756135,-0.14154742149918387,-0.12831841845440872,-0.02802323000063689,0.16984061389038527,-0.1649972250967193,-0.2873606261586068
8,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,24.575587066236135,1.070335841310287,0.050000000000000044,0.0,sharpe_ratio,0,7,52.253843662214585,0.9935956326558955,0.20354887967382004,4.88136134302531,-0.09603513556252574,-0.019831075751802762,0.013085823344279879,0.19619675179040616,0.0666974515371144,-0.30764863576213997
9,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,20.819282036719212,1.0297617569078026,0.050000000000000044,0.0,sharpe_ratio,0,8,49.770440492067145,0.9715330477168671,0.18752381623930672,5.1808515163591515,-0.09247088607341081,-0.14779639576628456,-0.03370081475548503,0.17691357544086292,-0.1904930962562013,-0.3070083505862695
10,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,23.145860441444743,0.9409869052843006,0.050000000000000044,0.0,sharpe_ratio,0,9,67.99110788887903,1.075352818549046,0.18625173788790098,5.773652534701538,-0.08496839214355256,-0.270718159762226,-0.08019927472532173,0.17278595304155261,-0.46415390437459303,-0.4452680124495628
11,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,35.89175076105879,0.9174268402373226,0.050000000000000044,0.0,sharpe_ratio,0,10,77.6589179144917,1.1210246116876474,0.18454048800886622,6.074681083718539,-0.07886437075828079,-0.17034879706318662,-0.041296167116998905,0.17936504249683546,-0.23023531532197805,-0.3784545965714873
