episode,seed,run_name,state_mode,reward_mode,sentiment_imputation_mode,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,46,reward_only_none_seed46,price_only,differential_sharpe,none,8.950748976556007,1.6088018694605966,0.71557,-0.4882271871072661,-0.15363116400066668,0.5825557382004843,-0.26371925281387426,-0.6647744056694793
2,46,reward_only_none_seed46,price_only,differential_sharpe,none,5161.562924114112,12106.728170443812,0.4311400000000001,-0.45891919245236734,-0.12639051036209348,0.5891627185641116,-0.2145256418636406,-0.6670848102046156
3,46,reward_only_none_seed46,price_only,differential_sharpe,none,-8.17554818166345,6329.82174553639,0.14671,-0.07596113326663456,-0.03718738789038267,0.05885707353724782,-0.631825295677478,-0.09749268760853458
4,46,reward_only_none_seed46,price_only,differential_sharpe,none,1189.2880299794094,5392.355691081178,0.050000000000000044,-0.20855917152225367,-0.030560944299967474,0.41468909005408383,-0.07369604128235376,-0.550707997846489
5,46,reward_only_none_seed46,price_only,differential_sharpe,none,4853.658447036621,8191.010766081836,0.050000000000000044,-0.029329058660058638,0.016146218931228695,0.24916230754268637,0.06480201235278146,-0.34681111445423607
6,46,reward_only_none_seed46,price_only,differential_sharpe,none,1218.152320707688,7316.990203443056,0.050000000000000044,0.07316083716354882,0.0675775130580285,0.24523550938846403,0.275561696699407,-0.26320496868075194
7,46,reward_only_none_seed46,price_only,differential_sharpe,none,6484.60019075933,11742.552015112891,0.050000000000000044,0.336358114393587,0.23302381407738437,0.3578523819813532,0.6511730138197785,-0.39825886862626947
8,46,reward_only_none_seed46,price_only,differential_sharpe,none,3506.8371107548683,8812.197019572646,0.050000000000000044,0.2912536271392481,0.19724429100024277,0.32221419476362945,0.6121527052678037,-0.27556983438988303
9,46,reward_only_none_seed46,price_only,differential_sharpe,none,6541.287925836895,14237.453656910973,0.050000000000000044,0.13864046113143935,0.13778727918739841,0.3587347622587555,0.38409235369281663,-0.3745468766521435
10,46,reward_only_none_seed46,price_only,differential_sharpe,none,131.48441197437504,9407.398142764627,0.050000000000000044,0.5359038630646764,0.32458847162933124,0.3641304226604012,0.891407175642811,-0.27343842946459584
11,46,reward_only_none_seed46,price_only,differential_sharpe,none,6536.47414453856,19117.988372503794,0.050000000000000044,0.1437844635461174,0.130553814703241,0.33374478130535173,0.3911785951906584,-0.35117421192716125
12,46,reward_only_none_seed46,price_only,differential_sharpe,none,6547.401411920029,19500.13193933408,0.050000000000000044,0.06240700624062212,0.035717468568451816,0.09805028897267457,0.36427703521002214,-0.08892584070883369
13,46,reward_only_none_seed46,price_only,differential_sharpe,none,183.10393894860968,18929.74845524565,0.050000000000000044,-0.09528064678125225,-0.03939925056483706,0.14001317025911786,-0.28139674640551415,-0.24753528761936228
14,46,reward_only_none_seed46,price_only,differential_sharpe,none,6445.202521513274,17846.461289168677,0.050000000000000044,0.07872214619106277,0.09743480474145905,0.3324404675753219,0.29308948291435966,-0.38082438925793083
15,46,reward_only_none_seed46,price_only,differential_sharpe,none,1221.3848221148849,19971.14232300394,0.050000000000000044,-0.07133054802569894,0.003592734902217787,0.2853201670460443,0.012591941675254941,-0.40670867639890207
16,46,reward_only_none_seed46,price_only,differential_sharpe,none,1782.758990537874,10892.87853894416,0.050000000000000044,0.1936144165349445,0.13482210504173908,0.27458596829395693,0.49100143710696026,-0.3125649914702774
17,46,reward_only_none_seed46,price_only,differential_sharpe,none,4833.808633119996,12705.088735954118,0.050000000000000044,-0.17236377800709046,-0.07784382058516737,0.16467202360906064,-0.4727203739839402,-0.2891181986054544
18,46,reward_only_none_seed46,price_only,differential_sharpe,none,-78.26367929249548,9266.642542058218,0.050000000000000044,-0.23643824576640016,-0.10215894667451841,0.23456202955815955,-0.4355306221853275,-0.3741787645238469
19,46,reward_only_none_seed46,price_only,differential_sharpe,none,80.39929892321689,5465.8219499643355,0.050000000000000044,-0.3606294426100589,-0.11179226883994164,0.45948312972917543,-0.24330005087636902,-0.5804796186614075
20,46,reward_only_none_seed46,price_only,differential_sharpe,none,4570.855303834963,9274.699651942265,0.050000000000000044,-0.47171435069962453,-0.215004177022311,0.39407935159529695,-0.545585999753449,-0.5327436706533314
21,46,reward_only_none_seed46,price_only,differential_sharpe,none,6536.402279307142,6744.090451666412,0.050000000000000044,-0.008046615738372953,0.0036710251401150806,0.12429496656580455,0.02953478520927521,-0.14502067362490556
22,46,reward_only_none_seed46,price_only,differential_sharpe,none,1795.3411766798383,10967.927008092722,0.050000000000000044,-0.359365120637683,-0.1774081413282066,0.23497576805617254,-0.7550061131656605,-0.43337339831451416
23,46,reward_only_none_seed46,price_only,differential_sharpe,none,493.038675360945,6410.338369275979,0.050000000000000044,-0.17216357753239353,-0.003427117777504596,0.4263004838048678,-0.008039206868630494,-0.5461682219225952
24,46,reward_only_none_seed46,price_only,differential_sharpe,none,6872.243133924017,11282.533015137524,0.050000000000000044,-0.1644912911405929,-0.06867273586330369,0.19498898654534255,-0.3521877675246781,-0.2844682799970988
25,46,reward_only_none_seed46,price_only,differential_sharpe,none,489.49107511157706,15941.075693817957,0.050000000000000044,-0.16960406232215441,-0.0833396140024587,0.11079823340347689,-0.7521745739300161,-0.21185516204767885
26,46,reward_only_none_seed46,price_only,differential_sharpe,none,880.4241086149484,16439.139389018696,0.050000000000000044,-0.1096632888399135,-0.046650645348536246,0.14497511697019835,-0.3217838089975532,-0.23260559051241003
27,46,reward_only_none_seed46,price_only,differential_sharpe,none,6540.063086333787,14068.057662880134,0.050000000000000044,-0.31722170279857353,-0.12427293141661455,0.3418938354942123,-0.36348397810968514,-0.4472707505947381
28,46,reward_only_none_seed46,price_only,differential_sharpe,none,1091.777221861198,9412.725119045419,0.050000000000000044,-0.24470901323754557,-0.11520849409102663,0.19137784728846277,-0.6019949316149089,-0.3757977973830312
29,46,reward_only_none_seed46,price_only,differential_sharpe,none,-356.0927812567836,8177.621109907258,0.050000000000000044,-0.04098415996711369,-0.01914753454347906,0.05767262761648157,-0.3320038523441078,-0.08661674979177558
30,46,reward_only_none_seed46,price_only,differential_sharpe,none,2289.5810023578206,8501.186913478829,0.050000000000000044,-0.2580633184842297,-0.05647578349336613,0.42774558691148606,-0.13203124759543747,-0.45886556976242676
31,46,reward_only_none_seed46,price_only,differential_sharpe,none,5.608569403350931,4468.49264726208,0.050000000000000044,-0.1032343739839029,-0.04090037310725991,0.16056981617212276,-0.25472018391935364,-0.25887758651821
32,46,reward_only_none_seed46,price_only,differential_sharpe,none,1091.5080874871367,7652.523768864836,0.050000000000000044,-0.2677382448545691,-0.10660370100897054,0.29514753845068703,-0.3611878370003136,-0.4595686101893911
33,46,reward_only_none_seed46,price_only,differential_sharpe,none,505.3076781627105,3206.9850111348514,0.050000000000000044,-0.3391842619296789,-0.08386311251921552,0.48972939546109046,-0.17124377931256637,-0.6417310727512717
34,46,reward_only_none_seed46,price_only,differential_sharpe,none,70.25640001893807,856.9336194406769,0.050000000000000044,0.01282231019467428,0.0957700089852318,0.4118851705456265,0.23251628326012502,-0.4691674649502511
35,46,reward_only_none_seed46,price_only,differential_sharpe,none,511.0379734198073,599.5702860633692,0.050000000000000044,-0.6424116109849363,-0.2949499479743096,0.5772987594068861,-0.5109138780712775,-0.7448081725880594
36,46,reward_only_none_seed46,price_only,differential_sharpe,none,6865.252054017806,6252.611325779714,0.050000000000000044,-0.28103915819046654,-0.036626760179554796,0.5057794705156133,-0.07241646273664668,-0.6102070294495112
37,46,reward_only_none_seed46,price_only,differential_sharpe,none,505.1593974101923,3629.9274743546944,0.050000000000000044,-0.5727209631148749,-0.2332421529222125,0.5679719323461987,-0.41065788578447443,-0.7448081725880595
38,46,reward_only_none_seed46,price_only,differential_sharpe,none,6543.00728482701,9501.214972405172,0.050000000000000044,-0.3923009241415464,-0.11538246249826234,0.5037495811413121,-0.2290472624053561,-0.6705288880775977
