episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,6.57730249422892,1.5959229602072484,0.71557,0.0,sharpe_ratio,1,0,13.974894460600876,0.7642348380283592,0.474777429230438,1.6096696914743818,-0.5089944615296402,-0.04910142015106744,0.11627990633853247,0.5018754267760246,0.23169077451250766,-0.6645269652870225
2,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,30.57061892673857,1.4108826049025567,0.4311400000000001,0.0,sharpe_ratio,1,0,40.38033320508729,1.0801062180392536,0.46123669863423333,2.3417612285352685,-0.4328255346397851,1.9039465586985433,0.5576598940069204,0.4717625211836581,1.1820775686202132,-0.5089984486101395
3,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,17.27249046517024,1.5401792459752293,0.14671,0.0,sharpe_ratio,0,1,60.81577274784279,1.207723848807564,0.4431554831451313,2.7252824228557273,-0.38712745818407013,0.5659230153964523,0.2746837503379502,0.45506469810998545,0.6036147200140789,-0.5857547374392498
4,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,26.90776261125517,1.6099139161721499,0.050000000000000044,0.0,sharpe_ratio,0,2,186.64902266018692,1.6254775383614168,0.412211763051933,3.9433070185254007,-0.30714904605196136,1.1632210821782585,0.4040300646791073,0.4455195687134959,0.906873890737963,-0.4583368650230133
5,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,26.05214771139698,1.6021455191100686,0.050000000000000044,0.0,sharpe_ratio,0,3,297.13743462802614,1.8237308382448116,0.4018007647638055,4.538893397370394,-0.40859543842244317,0.4615833484801697,0.2623826743374469,0.4802011567250348,0.5464015874657469,-0.5513507457516419
6,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,35.409353234808606,1.515426398398642,0.050000000000000044,0.0,sharpe_ratio,0,4,421.8828352568091,1.988053753141462,0.3961304647222643,5.018684322942265,-0.331836521149258,0.6929818033379598,0.312673776022941,0.4661554174971338,0.6707500637914682,-0.6202279802171244
7,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,36.20983762898697,1.4666434212294752,0.050000000000000044,0.0,sharpe_ratio,0,5,528.7186946103561,2.111993100120908,0.4031867098270475,5.238250787152375,-0.34262755398054,1.0017630425988862,0.3705902994625023,0.44662449051689534,0.8297581241763169,-0.600479088821144
8,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,48.32572590282969,1.417791789105198,0.050000000000000044,0.0,sharpe_ratio,0,6,751.5640156826274,2.2918325353279454,0.39628255511365856,5.783329358696147,-0.30606289370721396,0.5287470180410203,0.27317697951358966,0.46870639407284104,0.582831774791482,-0.6552796077702191
9,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,45.39167218117162,1.387238479090597,0.050000000000000044,0.0,sharpe_ratio,0,7,836.5856559164223,2.340129729400594,0.38745813374317173,6.03969700362971,-0.17175839479278732,0.39700144797633885,0.21985319575163165,0.4360061153265902,0.5042433764649166,-0.5739044186022388
10,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,42.04119805319333,1.385550331058069,0.050000000000000044,0.0,sharpe_ratio,0,8,1516.2157747284093,2.6507316772691456,0.35718256677059895,7.4212235530844985,-0.1717583947927872,0.33754958599428675,0.190061588691524,0.4094124084871699,0.4642301619382406,-0.5612781041570147
11,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,55.14798183277124,1.3199833786001824,0.050000000000000044,0.0,sharpe_ratio,0,9,3200.10255041759,3.162682657194032,0.3737386800945221,8.46228347677088,-0.160291654039313,0.23324326637155468,0.17468549231969632,0.4392597484542732,0.39768153793832317,-0.599128064383364
12,46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,55.838664240216836,1.2847989512110998,0.050000000000000044,0.0,sharpe_ratio,0,10,2959.7374231085873,3.0924498637617424,0.3630083078631077,8.518950659740606,-0.13567530762720836,0.13827267688847344,0.1327486422797961,0.41221380281595393,0.322038324221438,-0.5157557539166426
