episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,42,sharpe_sparse_eta0p001_seed42,sharpe,sparse,0.001,20,1e-06,-3.3159668230208497,6.349836886120149,0.71557,0.0,sharpe_ratio,1,0,1.6971196043556929,0.21459096753718732,0.23482170847546213,0.9138463770252789,-0.3669923236459939,0.13453732879252867,0.07852629903928032,0.26922308940179357,0.2916774308390994,-0.3665520464515666
2,42,sharpe_sparse_eta0p001_seed42,sharpe,sparse,0.001,20,1e-06,48.78148311752091,5.021706206685476,0.4311400000000001,0.0,sharpe_ratio,1,0,3.35603196182769,0.3230729370063521,0.25425658558177305,1.2706571051723912,-0.3053446326540754,0.23462995453185287,0.12245570041236897,0.3155178514391968,0.38811021263551965,-0.4367278247210581
3,42,sharpe_sparse_eta0p001_seed42,sharpe,sparse,0.001,20,1e-06,-12.639737905262349,3.843796940270311,0.14671,0.0,sharpe_ratio,0,1,3.704076493811617,0.333242605565891,0.23254109508722978,1.4330482336504287,-0.2739763227717078,0.09362209023988144,0.06411767239126176,0.26089045511615666,0.24576473049853262,-0.41829895160088615
4,42,sharpe_sparse_eta0p001_seed42,sharpe,sparse,0.001,20,1e-06,0.7324151056727757,3.0483400744442632,0.050000000000000044,0.0,sharpe_ratio,0,2,4.102516369989204,0.3493052242251957,0.2251531916580143,1.551411381970353,-0.25247848711552534,0.1547195763579341,0.07892229863490963,0.24954221509435442,0.3162683260027499,-0.3460646400516595
5,42,sharpe_sparse_eta0p001_seed42,sharpe,sparse,0.001,20,1e-06,9.311199349552817,2.861060088407062,0.050000000000000044,0.0,sharpe_ratio,0,3,13.000293397660668,0.6214280097888332,0.28059271656933754,2.2146975779938733,-0.23587624538397345,-0.04296491254920076,0.03398428252854324,0.30620843253363017,0.1109841497418946,-0.5390678003509339
6,42,sharpe_sparse_eta0p001_seed42,sharpe,sparse,0.001,20,1e-06,46.514524411294744,2.765157682185342,0.050000000000000044,0.0,sharpe_ratio,0,4,11.35081287389746,0.5840743860868063,0.27273344208381295,2.1415576381986776,-0.277332725775023,0.09327765760270301,0.08243598373763983,0.32015731447751783,0.25748586713432303,-0.5264689367578517
7,42,sharpe_sparse_eta0p001_seed42,sharpe,sparse,0.001,20,1e-06,72.7497254299527,2.53634270617543,0.050000000000000044,0.0,sharpe_ratio,1,0,16.08657175561568,0.6723421257028315,0.2706359985811586,2.4843041178101397,-0.19490260345316335,0.3116276758789489,0.14127891520174973,0.307197015010145,0.4598967707973467,-0.5320994170942178
8,42,sharpe_sparse_eta0p001_seed42,sharpe,sparse,0.001,20,1e-06,45.172338441135196,2.428804759272115,0.050000000000000044,0.0,sharpe_ratio,0,1,22.513745886773176,0.759173275993718,0.25884418433094364,2.932935418101114,-0.1734164483053201,-0.03688627632748498,0.0374413357342025,0.31059828727674665,0.12054585381805996,-0.5889153333144044
9,42,sharpe_sparse_eta0p001_seed42,sharpe,sparse,0.001,20,1e-06,133.8621171889944,2.5480395542755074,0.050000000000000044,0.0,sharpe_ratio,0,2,16.32371482728941,0.6593298323506509,0.2304639238855651,2.8608808755596624,-0.1374652461850694,-0.19178885468592755,-0.02528607346330569,0.2857367049241248,-0.08849431321754836,-0.5449614869562751
10,42,sharpe_sparse_eta0p001_seed42,sharpe,sparse,0.001,20,1e-06,64.29574150628659,2.6303208989147833,0.050000000000000044,0.0,sharpe_ratio,0,3,18.745134193756563,0.6948198438190625,0.2264123813248076,3.068824415667821,-0.1435772082908453,0.019642703183300192,0.04609786115625081,0.2794424106077044,0.16496372564207998,-0.42187262119844127
