episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,-27.55090064381686,1.7014669567251053,0.71557,0.0,sharpe_ratio,1,0,-0.08180790028097906,-0.005110318541937109,0.1359775232081295,-0.037582082842582513,-0.4091473105367486,0.05666295607636429,0.02109907222244023,0.08544722557273392,0.24692518781057898,-0.11498402772232674
2,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,-0.14709018526505108,1.396857174341091,0.4311400000000001,0.0,sharpe_ratio,0,1,1.1434245038354822,0.1531093657487579,0.16814227695780115,0.9105941023219515,-0.2692258139716799,0.07556255140974044,0.032178106263898165,0.13340335706087028,0.24120911926688396,-0.1817958600855324
3,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,-9.772639265992861,1.3658270129937686,0.14671,0.0,sharpe_ratio,1,0,2.7212286047065457,0.27756732922651284,0.2180489730715286,1.272958662985585,-0.3117905371288362,0.3769144487659746,0.1348211661098626,0.23091989841139995,0.583843865502094,-0.2652052758401613
4,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,0.08285456476209074,1.5000352236773862,0.050000000000000044,0.0,sharpe_ratio,0,1,2.5358941849956564,0.26210344934151864,0.20075558910286748,1.3055848183993344,-0.2308066267862502,0.15253036493922445,0.06848368445923692,0.2097322165250549,0.3265291598682731,-0.2276182613130424
5,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,-10.427277516811683,1.4985755229282953,0.050000000000000044,0.0,sharpe_ratio,1,0,3.602663479222076,0.32482945446027767,0.22036826804848822,1.4740300740068646,-0.258211242063609,0.38772279050636027,0.1377384714894454,0.23175399061207133,0.5943305274945762,-0.2062047485253482
6,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,-5.815764856917927,1.4067722246419134,0.050000000000000044,0.0,sharpe_ratio,0,1,3.9544274904290138,0.33207147636467393,0.18619537082036197,1.7834572089606389,-0.23287145245830843,0.07236573868168672,0.04413975269569703,0.2072710508098613,0.21295666965179974,-0.27089927456663687
7,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,14.81593361513006,1.3832099739121213,0.050000000000000044,0.0,sharpe_ratio,0,2,9.351040213692507,0.5121302038774336,0.2005373642653039,2.553789443447074,-0.2056745967396748,0.259507511837487,0.10026257602947308,0.21727815859282584,0.46144801980470934,-0.19965193361517442
8,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,25.175485040364954,1.3603326675090777,0.050000000000000044,0.0,sharpe_ratio,0,3,13.80061461758522,0.6076630533583969,0.2059647544277363,2.9503254333332958,-0.1994780411029884,0.2848656636657918,0.1016198658222025,0.19278137941993612,0.5271249024567032,-0.19946896133187186
9,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,25.81456901272127,1.2776058405418753,0.050000000000000044,0.0,sharpe_ratio,0,4,13.578956976288044,0.602788856307674,0.20340995797775502,2.9634186167699577,-0.1947187073722294,0.0710549510860623,0.04049144229442381,0.19129714186309607,0.21166778499702812,-0.1847527360891662
10,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,13.779371986181584,1.2559355872029372,0.050000000000000044,0.0,sharpe_ratio,0,5,14.33182590296433,0.6124536578978139,0.19110355408006738,3.204826099891433,-0.1467690444337042,-0.17859278038504167,-0.04253873165212052,0.1894826885771904,-0.22449930371761287,-0.3880445126186661
11,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,29.17624375337366,1.20443790279075,0.050000000000000044,0.0,sharpe_ratio,0,6,19.415145685460036,0.6962745860520951,0.20352895606707525,3.421009960973956,-0.19217085317103133,-0.18434988239238692,-0.044962358363986876,0.1877160508721806,-0.2395232488382285,-0.37558381050548106
12,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,32.99478236315288,1.165412014177344,0.050000000000000044,0.0,sharpe_ratio,0,7,25.280607632159995,0.7731266885409014,0.21208152892576515,3.6454220811069256,-0.1690735090243931,-0.37200297486017075,-0.1179044677839628,0.19891394914556193,-0.592741073667399,-0.43683161301886053
13,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,23.0484528773419,1.1178215273077996,0.050000000000000044,0.0,sharpe_ratio,0,8,31.956217097010693,0.8387944390765203,0.2038687450649641,4.114384668474969,-0.17281943917333487,-0.2869877680153019,-0.08325095154412376,0.19325802863955616,-0.4307761604015654,-0.3396690799902471
14,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,35.1104038748369,1.0948131872402005,0.050000000000000044,0.0,sharpe_ratio,0,9,31.14195150906263,0.8239069067227427,0.18340487003304384,4.492284782701247,-0.09950690418488606,-0.42302560525800426,-0.14649974098800211,0.16276774028227067,-0.9000539095397115,-0.44015210349932465
15,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,32.09835368503303,1.0945015218390093,0.050000000000000044,0.0,sharpe_ratio,0,10,34.35129955805406,0.8560274502164844,0.19123218825509317,4.476377423839292,-0.1892143013769727,-0.3172144143634169,-0.10072243087411825,0.1606448460690536,-0.6269882497868774,-0.44952006118031373
