episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,-16.28953589033116,1.773274420784452,0.71557,0.0,sharpe_ratio,1,0,0.2530858911373153,0.06019364416158157,0.20108758336280874,0.2993404324372343,-0.32827252452613465,0.0365639673518654,0.05569917775188116,0.28584539159534744,0.19485770766152782,-0.4832779834711973
2,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,-3.185199398905568,1.48486205806076,0.4311400000000001,0.0,sharpe_ratio,1,0,0.8037151814010561,0.14314208948852158,0.2630395178920163,0.5441847317682686,-0.3285971223144045,1.4610744589670568,0.3904969026130276,0.31544174666016894,1.2379366610397227,-0.42637317409082076
3,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,1.041570827033571,1.2468886285841108,0.14671,0.0,sharpe_ratio,0,1,0.16969926663099177,0.046435825849675316,0.1943843012343017,0.2388867082105759,-0.2587629892179246,0.19184237662582504,0.08798998607292319,0.24336678627563155,0.36155297696731625,-0.3295606268377438
4,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,10.222155364324259,1.1555809560782446,0.050000000000000044,0.0,sharpe_ratio,0,2,2.3206617316029705,0.26541385574197984,0.2585071892950516,1.0267175023865398,-0.32531187651232973,0.4887467525288458,0.17935645529434963,0.28557301275853225,0.6280581402347196,-0.4053911749361728
5,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,0.6983821768638404,1.3091732725033223,0.050000000000000044,0.0,sharpe_ratio,0,3,2.537515952613565,0.2686926902023148,0.22496808912313612,1.1943591255524513,-0.2853586241696142,0.23434569579593112,0.10942168037603772,0.27618027863485334,0.3961965746319909,-0.3556271674551963
6,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,-13.31129129894901,1.293100842731988,0.050000000000000044,0.0,sharpe_ratio,0,4,2.945085385129162,0.29127299824852915,0.22202185202694338,1.3119113978617827,-0.2982035181272469,-0.09399239090348854,0.01726762142602678,0.3022174786460128,0.05713640886486363,-0.5937556578664454
7,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,3.205804976459464,1.2530963980880832,0.050000000000000044,0.0,sharpe_ratio,0,5,4.473658373836936,0.36691300500448487,0.22984049803303114,1.596381003976743,-0.2624832886394256,-0.21248792210786294,-0.02480372864656244,0.30691792250287364,-0.08081551068862786,-0.5734765728091187
8,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,6.025832125514753,1.2581231634299916,0.050000000000000044,0.0,sharpe_ratio,0,6,5.994813082614013,0.4167895101067389,0.20591630012849615,2.0240724500520524,-0.17291088032439994,-0.1285098014737659,0.004133862807025546,0.29921814657600004,0.013815548469669982,-0.556856004251699
9,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,10.876844527619847,1.219390210622776,0.050000000000000044,0.0,sharpe_ratio,0,7,9.92033623636326,0.5249815602935208,0.1992030221357105,2.6354096171084596,-0.1096410250211125,-0.1822946775869997,-0.019048403619916887,0.28702254524615983,-0.06636553098496273,-0.5140338441596055
10,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,-12.600753314655678,1.2161570945499576,0.050000000000000044,0.0,sharpe_ratio,0,8,6.349371458858121,0.4324705586351911,0.21861792159863927,1.9782026810645652,-0.17931065554231396,-0.21928088361798348,-0.033952154220379005,0.2841212575523672,-0.11949881720526027,-0.4848799028680718
11,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,-16.21485886556864,1.3803515576806638,0.050000000000000044,0.0,sharpe_ratio,0,9,8.216332123707433,0.48895886338935735,0.2210894426533854,2.2115884753299877,-0.13828556583827945,-0.009628205382016364,0.042211118984334606,0.29012905309099335,0.14549083773108343,-0.4709877115293748
12,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,-0.8628135863268678,1.309968095245406,0.050000000000000044,0.0,sharpe_ratio,0,10,9.896853918505897,0.5256146392933143,0.20292739648197816,2.590161054670574,-0.15845273440749952,-0.24084432391786592,-0.043538814809161774,0.2796240208011241,-0.15570484497155457,-0.5013461555995076
