episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_selector
1,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,8.095987885646682,1.9315437401812046,0.71557,-0.3190881694055885,-0.06701475764038956,0.3184961131514008,-0.21040997008504564,-0.5000782054549859,sharpe_ratio
2,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,6.028190900335847,1.5640901342263283,0.4311400000000001,-0.09771115754678439,0.06264504118504033,0.43216166221238594,0.14495742372041648,-0.5266157632038477,sharpe_ratio
3,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,32.058651165863104,1.577761610149939,0.14671,0.24487607647506815,0.1975028116291071,0.4750637200849445,0.41573962245273605,-0.626876971357651,sharpe_ratio
4,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,57.17414006418603,1.7561129636181618,0.050000000000000044,-0.30195173916512186,0.037025616167272846,0.5454207961252803,0.0678844965764163,-0.7904822222158323,sharpe_ratio
5,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,40.47888374211278,1.7732110573756512,0.050000000000000044,-0.5817704000089814,-0.12803603690423415,0.5196698539557265,-0.24637957335724583,-0.7954341647924748,sharpe_ratio
6,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,40.813191203225195,1.7024606512081806,0.050000000000000044,-0.2902476255760901,0.0445684498570289,0.5492377329363958,0.08114600870328428,-0.7580607076773062,sharpe_ratio
7,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,34.06223686443826,1.684254270158932,0.050000000000000044,-0.5262340855332927,-0.10276380409725738,0.4982673418840308,-0.20624230299479498,-0.7894827599783538,sharpe_ratio
8,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,28.62393144986277,1.6747886236699805,0.050000000000000044,-0.3899550685978094,-0.003967146437760083,0.5484660641016433,-0.007233166639504025,-0.7785449358819958,sharpe_ratio
9,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,16.93559591624647,1.6945290401448547,0.050000000000000044,-0.476028711039322,-0.06752939968857963,0.5126630232051459,-0.1317227820847872,-0.7948979279718703,sharpe_ratio
10,42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,31.534976459225852,1.6968441766424822,0.050000000000000044,-0.48137144280142585,-0.08041092307781073,0.4914039786782693,-0.16363506720904503,-0.782559041618345,sharpe_ratio
