step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,15.619500160217283,1,9990.0,-0.0010000000000000009
1,2015-01-26,1,15.482999801635742,1,9902.696400765579,-0.008739099022464614
2,2015-01-27,0,15.337499618530272,1,9809.636647616382,-0.009397415550576937
3,2015-01-28,0,15.195500373840332,1,9718.816042609726,-0.009258304692531527
4,2015-01-29,2,15.58899974822998,0,9960.521897723034,0.024869886831236476
5,2015-01-30,0,17.726499557495117,0,9960.521897723034,0.0
6,2015-02-02,0,18.223499298095703,0,9960.521897723034,0.0
7,2015-02-03,0,18.177499771118164,0,9960.521897723034,0.0
8,2015-02-04,0,18.237499237060547,0,9960.521897723034,0.0
9,2015-02-05,0,18.694499969482425,0,9960.521897723034,0.0
10,2015-02-06,1,18.714000701904297,1,9950.561375825311,-0.0010000000000000009
11,2015-02-09,0,18.527999877929688,1,9851.661485609688,-0.009939126696499656
12,2015-02-10,0,18.649999618530273,1,9916.530880776343,0.00658461471310301
13,2015-02-11,0,18.756999969482425,1,9973.42483821196,0.005737284350710636
14,2015-02-12,0,18.85849952697754,1,10027.393927588528,0.00541128952712322
15,2015-02-13,1,19.09149932861328,1,10151.283995974367,0.012355161199459674
16,2015-02-17,0,18.771499633789062,1,9981.13456324138,-0.01676137056164151
17,2015-02-18,0,18.668500900268555,1,9926.368335759951,-0.005486974164552572
18,2015-02-19,0,18.950000762939453,1,10076.046734591482,0.015078868098447495
19,2015-02-20,1,19.183000564575195,1,10199.936802977321,0.012295503549077491
20,2015-02-23,0,19.006999969482425,1,10106.354209305933,-3.211190704347374
21,2015-02-24,0,18.929500579833984,1,10065.146428801398,-1.3460004999674668
22,2015-02-25,2,19.26849937438965,0,10235.152617033948,5.262597298705165
23,2015-02-26,0,19.239999771118164,0,10235.152617033948,-0.018603993594030102
24,2015-02-27,0,19.007999420166016,0,10235.152617033948,-0.01855723317285479
25,2015-03-02,1,19.28300094604492,1,10224.917464416914,-0.32426481555879283
26,2015-03-03,0,19.230499267578125,1,10197.078160225186,-0.8594010635556353
27,2015-03-04,2,19.13599967956543,0,10136.822263934719,-1.8668909216185023
28,2015-03-05,0,19.39150047302246,0,10136.822263934719,-0.010889048748710143
29,2015-03-06,0,19.004499435424805,0,10136.822263934719,-0.010861753412996118
30,2015-03-09,0,18.92799949645996,0,10136.822263934719,-0.010834526690499084
31,2015-03-10,0,18.475500106811523,0,10136.822263934719,-0.010807368407300703
32,2015-03-11,0,18.318500518798828,0,10136.822263934719,-0.010780278389934256
33,2015-03-12,2,18.711999893188477,0,10136.822263934719,-0.010753256465383413
34,2015-03-13,1,18.52899932861328,1,10126.685441670783,-0.31920863828698137
35,2015-03-16,1,18.667499542236328,1,10202.380198418869,2.240743214457935
36,2015-03-17,1,18.59600067138672,1,10163.303799219559,-1.2052768827594849
37,2015-03-18,2,18.756999969482425,0,10241.04372376045,2.2506737778226387
38,2015-03-19,0,18.66200065612793,0,10241.04372376045,-0.018049595907835662
39,2015-03-20,2,18.92449951171875,0,10241.04372376045,-0.018004239860970404
40,2015-03-23,1,18.75550079345703,1,10230.802680036688,-0.3228136796192861
41,2015-03-24,1,18.704500198364254,1,10202.982733733752,-0.8550493027989788
42,2015-03-25,0,18.54800033569336,1,10117.614753850361,-2.655059155052954
43,2015-03-26,1,18.36750030517578,1,10019.155095731812,-2.9960715471762858
44,2015-03-27,1,18.527999877929688,1,10106.704848583426,2.5611395930183867
45,2015-03-30,1,18.72949981689453,1,10216.619595104507,3.0739026919846197
46,2015-03-31,1,18.604999542236328,1,10148.706839392711,-1.9566980306805148
47,2015-04-01,1,18.51300048828125,1,10098.522939846142,-1.4246559858980845
48,2015-04-02,1,18.612499237060547,1,10152.797793761354,1.4906750236811852
49,2015-04-06,1,18.85199928283691,1,10283.440944119275,3.466502296068211
50,2015-04-07,0,18.72050094604492,1,10211.710866032467,-1.9895681827517
51,2015-04-08,2,19.059999465942383,0,10386.50456041153,4.328004303636389
52,2015-04-09,0,19.177000045776367,0,10386.50456041153,-0.02411442368517029
53,2015-04-10,1,19.13249969482422,1,10376.118055851119,-0.2849020268180419
54,2015-04-13,1,19.118000030517575,1,10368.254460867936,-0.2211226188173968
55,2015-04-14,1,19.25550079345703,1,10442.825174145688,1.7705719319496989
56,2015-04-15,0,19.17250061035156,1,10397.811730408766,-1.1777987189456909
57,2015-04-16,1,19.302000045776367,1,10468.043088128185,1.6498187967002316
58,2015-04-17,0,18.777999877929688,1,10183.862364773264,-8.402787115028326
59,2015-04-20,2,19.475500106811523,0,10551.575143697772,7.654136505674973
60,2015-04-21,0,19.55900001525879,0,10551.575143697772,-0.026343804834838135
61,2015-04-22,0,19.489999771118164,0,10551.575143697772,-0.026277318707627943
62,2015-04-23,0,19.499500274658203,0,10551.575143697772,-0.026211003098140995
63,2015-04-24,0,22.2549991607666,0,10551.575143697772,-0.02614485754864898
64,2015-04-27,0,21.92799949645996,0,10551.575143697772,-0.02607888160280369
65,2015-04-28,0,21.465499877929688,0,10551.575143697772,-0.0260130748056318
66,2015-04-29,0,21.4685001373291,0,10551.575143697772,-0.02594743670352965
67,2015-04-30,0,21.089000701904297,0,10551.575143697772,-0.025881966844258017
68,2015-05-01,0,21.14349937438965,0,10551.575143697772,-0.02581666477693702
69,2015-05-04,0,21.152000427246097,0,10551.575143697772,-0.02575153005204089
70,2015-05-05,0,21.059499740600582,0,10551.575143697772,-0.025686562221392917
71,2015-05-06,0,20.954999923706055,0,10551.575143697772,-0.02562176083816037
72,2015-05-07,1,21.3439998626709,1,10541.023568554074,-0.2325996133802173
73,2015-05-08,1,21.684499740600582,1,10709.184047444625,2.9993462098803443
74,2015-05-11,0,21.642499923706055,1,10688.441868724203,-0.42865943993208133
75,2015-05-12,0,21.551000595092773,1,10643.253685364705,-0.9097195168584108
76,2015-05-13,0,21.3435001373291,1,10540.77677242216,-2.086701156188725
77,2015-05-14,2,21.61400032043457,0,10663.692586491894,2.1870623564009066
78,2015-05-15,0,21.299999237060547,0,10663.692586491894,-0.029233906906533182
79,2015-05-18,0,21.261999130249023,0,10663.692586491894,-0.029159987979830382
80,2015-05-19,0,21.08550071716309,0,10663.692586491894,-0.029086259675561766
81,2015-05-20,0,21.19300079345703,0,10663.692586491894,-0.029012721474284606
82,2015-05-21,1,21.581499099731445,1,10653.028893905403,-0.23090988601671059
83,2015-05-22,1,21.381500244140625,1,10554.305743233097,-1.9911478115130135
84,2015-05-26,1,21.273500442504883,1,10500.995034739453,-1.055884308812491
85,2015-05-27,1,21.570999145507812,1,10647.845921433836,2.6098652765136507
86,2015-05-28,1,21.328500747680664,1,10528.14420716272,-2.369814983870802
87,2015-05-29,1,21.46150016784668,1,10593.795191802563,1.1602633844387438
88,2015-06-01,1,21.54599952697754,1,10635.505645287638,0.727123404375818
89,2015-06-02,1,21.54949951171875,1,10637.23330277816,0.005568084913378663
90,2015-06-03,2,21.829500198364254,0,10764.671396679127,2.171199725043694
91,2015-06-04,0,21.538999557495117,0,10764.671396679127,-0.03147791798281337
92,2015-06-05,1,21.34749984741211,1,10753.906725282448,-0.2264761878376252
93,2015-06-08,1,21.174999237060547,1,10667.008705044267,-1.6763588186610408
94,2015-06-09,1,21.27400016784668,1,10716.880904739786,0.8558857476170335
95,2015-06-10,1,21.53849983215332,1,10850.12389521424,2.213150065844478
96,2015-06-11,1,21.648500442504883,1,10905.537236912343,0.9124736996099582
97,2015-06-12,1,21.496000289916992,1,10828.71454440766,-1.4546945977938779
98,2015-06-15,0,21.183500289916992,1,10671.291151707264,-3.065195805663482
99,2015-06-16,2,21.363000869750977,0,10750.953725127989,1.326406757417759
100,2015-06-17,0,21.39049911499023,0,10750.953725127989,-0.028688274369955143
101,2015-06-18,1,21.969499588012695,1,10740.20277140286,-0.21753036257694688
102,2015-06-19,1,21.746000289916992,1,10630.940939052167,-2.0460841037901587
103,2015-06-22,1,21.81450080871582,1,10664.428705075165,0.5576293169838025
104,2015-06-23,1,22.29949951171875,1,10901.52943617061,3.7186774754829903
105,2015-06-24,0,22.04199981689453,1,10775.64587087104,-2.2623452828681363
106,2015-06-25,1,22.0049991607666,1,10757.55740472747,-0.3303211537454126
107,2015-06-26,1,21.905000686645508,1,10708.67127126827,-0.8586346907920892
108,2015-06-29,1,21.493000030517575,1,10507.257007323022,-3.673640996767826
109,2015-06-30,1,21.704500198364254,1,10610.652839338172,1.65368756423075
110,2015-07-01,2,21.86949920654297,0,10680.624389794933,1.0993888065920026
111,2015-07-02,0,21.885499954223633,0,10680.624389794933,-0.02266368264597882
112,2015-07-06,1,21.802000045776367,1,10669.943765405138,-0.19738119133109447
113,2015-07-07,1,21.836000442504883,1,10686.583629653052,0.248388306581913
114,2015-07-08,0,21.48500061035156,1,10514.803588240376,-3.0132600789539628
115,2015-07-09,1,21.719499588012695,1,10629.567871307794,1.805278358126796
116,2015-07-10,1,22.175500869750977,1,10852.735838599066,3.3128140481855017
117,2015-07-13,1,22.778499603271484,1,11147.844661815529,3.9296340658712956
118,2015-07-14,1,23.278499603271484,1,11392.545692523769,3.011312364985352
119,2015-07-15,0,23.059499740600582,1,11285.366708282703,-1.6050602793993554
120,2015-07-16,1,23.77400016784668,1,11635.0446902599,3.8379685754317676
121,2015-07-17,1,24.15049934387207,1,11819.30416312833,2.025487613324213
122,2015-07-20,1,24.405000686645508,1,11943.857644914913,1.3642773148075482
123,2015-07-21,1,24.399999618530273,1,11941.410111870035,-0.08915963959991217
124,2015-07-22,0,24.41349983215332,1,11948.017144246716,0.022214926839973115
125,2015-07-23,0,24.108999252319336,1,11798.99393277345,-2.089595994894955
126,2015-07-24,0,26.47100067138672,1,12954.962296333677,3.6595649196590596
127,2015-07-27,0,26.570499420166016,1,13003.657189094627,0.319453021100152
128,2015-07-28,0,26.30150032043457,1,12872.00847516688,-1.1930827433936921
129,2015-07-29,0,26.450000762939453,1,12944.68489785003,0.507902265160241
130,2015-07-30,1,26.83799934387207,1,13134.57220318512,1.3320182762577284
131,2015-07-31,0,26.8075008392334,1,13119.646172144834,-0.18590313445880755
132,2015-08-03,1,26.75149917602539,1,13092.238842728084,-0.2876598620716402
133,2015-08-04,0,26.594999313354492,1,13015.64748732555,-0.7027401530018151
134,2015-08-05,0,26.850500106811523,1,13140.690102336968,0.8851165679762082
135,2015-08-06,0,26.472999572753903,1,12955.940562783346,-1.681446700213288
136,2015-08-07,1,26.131000518798828,1,12788.565520775246,-1.519678219545117
137,2015-08-10,1,26.200000762939453,1,12822.334382495908,0.21392058343468892
