episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,-4.948850247022608,1.511171865205352,0.71557,0.0,sharpe_ratio,1,0,-0.10154784314906051,-0.010585800680592672,0.12198376498486858,-0.08678040624427179,-0.2789992673710955,0.13409362181333107,0.0596329731379317,0.19294021498618372,0.3090748765994791,-0.2983145874173795
2,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,-12.796454182912495,1.2901330203235986,0.4311400000000001,0.0,sharpe_ratio,1,0,1.0974821641689023,0.16724092157461357,0.24460452002808675,0.6837196694296986,-0.279394519473812,0.3956606597067298,0.1547389840503155,0.2825277255310431,0.547694863431424,-0.47631914986629476
3,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,-13.533495261843674,1.1076538114843961,0.14671,0.0,sharpe_ratio,0,1,1.756087032026545,0.2442600942960096,0.3084960478657767,0.79177706160529,-0.35715761967626214,0.1782921160874411,0.11120020703409339,0.32952103597295235,0.3374601160310169,-0.5593547068589106
4,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,-13.240833694572466,1.0852647312259227,0.050000000000000044,0.0,sharpe_ratio,0,2,3.3811993697627036,0.332160282706659,0.27491288805784636,1.2082383079718213,-0.30252158321587375,-0.37582220359343277,-0.09177306747666403,0.3186239941094392,-0.288029367446641,-0.6349637279540862
5,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,-13.98648046397117,1.0536764310691542,0.050000000000000044,0.0,sharpe_ratio,0,3,2.1801060488539177,0.2658681259690965,0.2852149477044289,0.9321675743468336,-0.30252158321587364,-0.2331430183649199,-0.029827273466977444,0.3239346068684968,-0.09207807018620276,-0.649089172605946
6,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,-15.183725766243812,0.9895404808387489,0.050000000000000044,0.0,sharpe_ratio,0,4,6.951878827520715,0.45886098890900695,0.23934100098066158,1.9171850499032645,-0.1527228194898821,-0.2040276108903628,-0.022276469937324905,0.3118431396131431,-0.07143485652741943,-0.5567438900067878
7,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,39.359824119807435,1.0069479073734386,0.050000000000000044,0.0,sharpe_ratio,0,5,6.67318481339498,0.4466777065491896,0.2291902107952142,1.9489388530136855,-0.1746850143168186,0.057733859130536525,0.06226362078108538,0.2928102326720111,0.21264154675505978,-0.4799682922481304
8,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,21.674412747187777,0.9843580794079588,0.050000000000000044,0.0,sharpe_ratio,0,6,6.543920408632452,0.44039142240681994,0.22267666722168278,1.97771696469839,-0.1746850143168186,0.17035023712392872,0.09008823633185448,0.27260727262924334,0.33046893966903823,-0.40361605538392464
9,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,4.033354493258951,1.0036164530532394,0.050000000000000044,0.0,sharpe_ratio,0,7,7.1048209940467615,0.45753626633028555,0.221456981881457,2.06602773343673,-0.13733567979305483,0.17131633284782843,0.09388055632542192,0.2840697761204075,0.3304841423384272,-0.3958190578092483
10,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,19.552499436436637,1.0262996059660126,0.050000000000000044,0.0,sharpe_ratio,0,8,7.84601812670633,0.4774643502169196,0.21642730464964435,2.206118821235822,-0.1373356797930546,0.3388037462545852,0.13968062941227566,0.2816962889947085,0.4958554119074656,-0.3818086836947263
11,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,16.842414233469388,1.017715084369611,0.050000000000000044,0.0,sharpe_ratio,1,0,8.884433246721844,0.5039150505128942,0.21181126117115018,2.379075823101374,-0.13733567979305494,0.5468078104297096,0.18862258720213276,0.2707553354999366,0.696653260235298,-0.3918880668878316
12,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,30.65879049324574,0.9984067834928662,0.050000000000000044,0.0,sharpe_ratio,0,1,11.15422238117676,0.5557951371750367,0.20777000836326148,2.6750498859454925,-0.13733567979305472,0.3541875164097441,0.14331123736725027,0.2800803312932485,0.5116790483127541,-0.3387822758468829
13,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,29.40696361932846,1.0009224946568946,0.050000000000000044,0.0,sharpe_ratio,0,2,15.815733162493,0.6516030397131365,0.23094757839840213,2.8214326568476578,-0.13733567979305472,0.20846511942617796,0.10535364641128075,0.2865219239432135,0.36769837700852886,-0.41216934129376315
14,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,-4.958450734288202,0.9599000461394578,0.050000000000000044,0.0,sharpe_ratio,0,3,13.44390130804419,0.6071788368806095,0.22363209859088976,2.715079099585682,-0.13733567979305472,0.17590854102263132,0.09939450922379511,0.29692869890534235,0.33474200907565693,-0.4707852412546776
15,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,31.137994834417388,0.9824900843536527,0.050000000000000044,0.0,sharpe_ratio,1,0,21.919637894324442,0.7328680972202677,0.21252113000060205,3.4484481482767926,-0.09135408108668397,0.6630593487984104,0.21902802156718604,0.2802542347820845,0.7815333164813523,-0.3372920199716809
16,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,45.68962872258268,0.983196158387618,0.050000000000000044,0.0,sharpe_ratio,0,1,13.643103047639332,0.6036130015234673,0.2024603204053786,2.981389144869849,-0.09430065148557587,0.6265908039586783,0.20727034358141294,0.2702999548028841,0.766816049719892,-0.3621165981334781
17,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,11.78857616330782,0.9919484303685611,0.050000000000000044,0.0,sharpe_ratio,0,2,21.501702588688726,0.7358435967108452,0.23451258659070906,3.1377573690537166,-0.13733567979305472,0.32089576868341463,0.13578697548610408,0.2842137967201948,0.477763490207285,-0.3643381998562917
