step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,36.45000076293945,1,9990.0,-0.0010000000000000009
1,2015-01-26,1,35.810001373291016,1,9814.592763545603,-0.01755828192736708
2,2015-01-27,1,34.189998626708984,1,9370.59202007211,-0.045238835086733986
3,2015-01-28,1,33.779998779296875,1,9258.221693874162,-0.011991806489627055
4,2015-01-29,1,34.209999084472656,1,9376.07362690001,0.012729435189894556
5,2015-01-30,1,33.040000915527344,1,9055.407468789865,-0.03420047355325284
6,2015-02-02,1,33.650001525878906,1,9222.592817757211,0.018462487695176888
7,2015-02-03,1,33.70000076293945,1,9236.296312072162,0.0014858613608708104
8,2015-02-04,1,33.599998474121094,1,9208.888277932661,-0.002967426900723935
9,2015-02-05,1,33.939998626708984,1,9302.073502987761,0.010119052619891322
10,2015-02-06,1,33.29999923706055,1,9126.666266533362,-0.018856788908199862
11,2015-02-09,1,32.93000030517578,1,9025.259153991214,-0.011111079290145542
12,2015-02-10,2,33.70000076293945,0,9227.06001576009,0.02235956423252783
13,2015-02-11,1,33.54999923706055,1,9217.832955744329,-0.001000000000000112
14,2015-02-12,0,34.130001068115234,1,9377.187951698612,0.01728768537240377
15,2015-02-13,1,34.36000061035156,1,9440.380124826597,0.006738925726292866
16,2015-02-17,1,34.7400016784668,1,9544.7850860351,0.011059402251603956
17,2015-02-18,1,34.27000045776367,1,9415.652661595233,-0.013529107599164258
18,2015-02-19,1,34.209999084472656,1,9399.167336746079,-0.0017508425004243433
19,2015-02-20,1,34.40999984741211,1,9454.117371491857,0.005846266246473775
20,2015-02-23,1,33.7599983215332,1,9275.530020589264,-3.2784669829463806
21,2015-02-24,2,34.40999984741211,0,9444.663254120365,3.7461758753011654
22,2015-02-25,2,33.95000076293945,0,9444.663254120365,0.021243824584573943
23,2015-02-26,0,33.650001525878906,0,9444.663254120365,0.021190362601974665
24,2015-02-27,0,33.25,0,9444.663254120365,0.021137036589508277
25,2015-03-02,2,34.060001373291016,0,9444.663254120365,0.021083846190656546
26,2015-03-03,2,34.099998474121094,0,9444.663254120365,0.021030791049915714
27,2015-03-04,2,34.119998931884766,0,9444.663254120365,0.020977870812793054
28,2015-03-05,2,33.72999954223633,0,9444.663254120365,0.020925085125803457
29,2015-03-06,0,33.189998626708984,0,9444.663254120365,0.02087243363646594
30,2015-03-09,1,32.720001220703125,1,9435.218590866245,-0.16202951712719782
31,2015-03-10,1,31.700000762939453,1,9141.088794939024,-5.020297783560504
32,2015-03-11,2,32.33000183105469,0,9313.434667354799,3.610139676804206
33,2015-03-12,0,30.799999237060547,0,9313.434667354799,0.02418509536321818
34,2015-03-13,1,30.93000030517578,1,9304.121232687445,-0.14284857999949685
35,2015-03-16,1,30.829999923706055,1,9274.039898599853,-0.5117350540595483
36,2015-03-17,1,30.59000015258789,1,9201.845041041866,-1.2414593157423466
37,2015-03-18,1,30.88999938964844,1,9292.08846955092,1.7574943375946463
38,2015-03-19,1,30.739999771118164,1,9246.966755296393,-0.772157333699712
39,2015-03-20,1,31.309999465942383,1,9418.429613715825,3.3876233268736957
40,2015-03-23,1,31.200000762939453,1,9385.340662597826,-0.5512498207468784
41,2015-03-24,1,30.790000915527344,1,9262.00770921705,-2.0465445009578755
42,2015-03-25,1,29.88999938964844,1,8991.276276182447,-4.181774211063597
43,2015-03-26,0,30.079999923706055,1,9048.430753573499,1.0551025745922649
44,2015-03-27,2,32.0,0,9616.364197603323,12.768766154115728
45,2015-03-30,1,31.459999084472656,1,9606.74783340572,-0.12121582749238799
46,2015-03-31,1,31.270000457763672,1,9548.7291128525,-0.7615687588866937
47,2015-04-01,1,30.809999465942383,1,9408.261418632994,-1.8443409604707257
48,2015-04-02,1,30.809999465942383,1,9408.261418632994,0.012980540810717802
49,2015-04-06,1,31.040000915527344,1,9478.49555696045,0.9768671623395742
50,2015-04-07,2,31.260000228881836,0,9536.129728613776,0.7923157030459101
51,2015-04-08,2,31.309999465942383,0,9536.129728613776,0.008516939359182886
52,2015-04-09,2,31.239999771118164,0,9536.129728613776,0.008495601851628842
53,2015-04-10,2,31.93000030517578,0,9536.129728613776,0.00847431789316086
54,2015-04-13,2,31.729999542236328,0,9536.129728613776,0.008453087348700403
55,2015-04-14,0,31.489999771118164,0,9536.129728613776,0.008431910083514859
56,2015-04-15,2,32.83000183105469,0,9536.129728613776,0.008410785963216576
57,2015-04-16,2,32.869998931884766,0,9536.129728613776,0.008389714853761972
58,2015-04-17,2,32.470001220703125,0,9536.129728613776,0.008368696621450606
59,2015-04-20,2,32.72999954223633,0,9536.129728613776,0.008347731132924262
60,2015-04-21,2,32.43000030517578,0,9536.129728613776,0.008326818255166032
61,2015-04-22,2,32.70000076293945,0,9536.129728613776,0.008305957855499412
62,2015-04-23,2,32.349998474121094,0,9536.129728613776,0.008285149801587385
63,2015-04-24,2,32.08000183105469,0,9536.129728613776,0.008264393961431535
64,2015-04-27,2,32.5,0,9536.129728613776,0.008243690203371113
65,2015-04-28,2,33.02000045776367,0,9536.129728613776,0.008223038396082167
66,2015-04-29,2,32.88999938964844,0,9536.129728613776,0.008202438408576634
67,2015-04-30,2,32.54999923706055,0,9536.129728613776,0.008181890110201437
68,2015-05-01,2,33.41999816894531,0,9536.129728613776,0.008161393370637603
69,2015-05-04,2,33.43000030517578,0,9536.129728613776,0.008140948059899377
70,2015-05-05,0,32.63999938964844,0,9536.129728613776,0.00812055404833332
71,2015-05-06,0,32.220001220703125,0,9536.129728613776,0.00810021120661744
72,2015-05-07,2,32.2400016784668,0,9536.129728613776,0.008079919405760303
73,2015-05-08,2,32.79999923706055,0,9536.129728613776,0.008059678517100162
74,2015-05-11,1,32.689998626708984,1,9526.593598885162,-0.12701928129590498
