episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,10.736214316936849,1.3585900683433583,0.71557,0.0,sharpe_ratio,1,0,0.2740734919171002,0.06126830616049239,0.19254965815124014,0.3181948321734675,-0.3753533892217452,0.24414209755490268,0.08394235035008424,0.1571130679891579,0.5342798751525683,-0.20888080663938247
2,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,29.16057314556982,1.1362215342645894,0.4311400000000001,0.0,sharpe_ratio,0,1,0.028331165270095715,0.0209601797442307,0.17813395781278657,0.11766526720446653,-0.4123296079309666,0.16307492612222507,0.06181205837727588,0.1596929531086082,0.38706816533874916,-0.20888080663938247
3,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,9.301872988592333,1.0567481417057112,0.14671,0.0,sharpe_ratio,0,2,0.2944249425676204,0.06379553792374826,0.19103547921924577,0.33394601978898386,-0.3753533892217452,0.15144052184713197,0.05850456755890088,0.15981461512375206,0.3660777051810813,-0.20888080663938247
4,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,8.995875138701715,1.0926549151967826,0.050000000000000044,0.0,sharpe_ratio,0,3,0.458352734793005,0.08291672495406033,0.17883918161058945,0.46363847232652877,-0.3753533892217452,0.07650591064916301,0.035286228673400366,0.1523556276501109,0.23160436682021493,-0.2038257143596608
5,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,16.31564354573201,1.0488276022947385,0.050000000000000044,0.0,sharpe_ratio,0,4,0.790400883940841,0.12011120211122739,0.17440725002603344,0.6886823918919576,-0.3753533892217453,0.002497129652008656,0.012146926782622636,0.14993374942710228,0.0810152939484013,-0.22451919990084412
6,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,11.774339730501177,1.0514840778304324,0.050000000000000044,0.0,sharpe_ratio,0,5,0.7207787647914663,0.11245190827450191,0.1732217594197055,0.6491788829025686,-0.3526506075680512,-0.05959003138294405,-0.0080909034841391,0.14834761172226518,-0.05454016677590202,-0.280420791473312
7,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,22.67121707167287,1.0380317599437359,0.050000000000000044,0.0,sharpe_ratio,0,6,0.7285759367571383,0.11230495150531516,0.16808530086112364,0.6681426093177796,-0.35329795696048305,-0.016742359460424794,0.005731557353534811,0.14783958982470424,0.03876875849243636,-0.23789029251266114
8,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,16.57389354752537,1.0632186690886656,0.050000000000000044,0.0,sharpe_ratio,0,7,1.0634887757190468,0.14587782141134875,0.16762011735986254,0.8702882667607529,-0.30003724412790056,-0.008397827421982473,0.008537774212520777,0.14883947042465584,0.057362299047164986,-0.24554651304843567
9,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,19.751111274678387,1.0736461225834861,0.050000000000000044,0.0,sharpe_ratio,0,8,0.9825167257437764,0.13785630584444952,0.16592470502742326,0.8308365280605156,-0.30003724412790056,-0.059293665258494,-0.008075143968926946,0.1477806952748765,-0.05464275258623555,-0.26858544486232794
10,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,12.24550846755664,1.0809872588397824,0.050000000000000044,0.0,sharpe_ratio,0,9,1.327192590414826,0.16450345878229733,0.14136504743491554,1.1636784464563965,-0.14382855383903348,0.013569104268397858,0.015138928302552479,0.14670293120331282,0.1031944500248037,-0.22696184472527725
11,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,31.511161996438258,1.0972791824566976,0.050000000000000044,0.0,sharpe_ratio,0,10,1.3731932278033505,0.16830029874620345,0.14107188201807117,1.1930109412210461,-0.14382855383903337,0.003916923014203766,0.012664410782804447,0.15038836638905012,0.08421137277362267,-0.21629894212133305
